date,predicted_flux
2011-05-20,44.673462
2011-05-21,45.098335
2011-05-22,45.1696
2011-05-23,45.038185
2011-05-24,45.159832
2011-05-25,45.38513
2011-05-26,45.56185
2011-05-27,45.61372
2011-05-28,45.272648
2011-05-29,44.5009
2011-05-30,43.98748
2011-05-31,43.858063
2011-06-01,43.89056
2011-06-02,43.84172
2011-06-03,43.831665
2011-06-04,44.003166
2011-06-05,44.137398
2011-06-06,43.695995
2011-06-07,43.85475
2011-06-08,44.089294
2011-06-09,44.28369
2011-06-10,44.589344
2011-06-11,44.790867
2011-06-12,45.02006
2011-06-13,45.422203
2011-06-14,45.831566
2011-06-15,46.065468
2011-06-16,46.325684
2011-06-17,46.47022
2011-06-18,46.307766
2011-06-19,46.27585
2011-06-20,46.400074
2011-06-21,46.5352
2011-06-22,46.52276
2011-06-23,46.41599
2011-06-24,46.17178
2011-06-25,46.231148
2011-06-26,46.4965
2011-06-27,46.989162
2011-06-28,47.608013
2011-06-29,47.95206
2011-06-30,48.14102
2011-07-01,48.027306
2011-07-02,47.563465
2011-07-03,47.262432
2011-07-04,46.94489
2011-07-05,46.521618
2011-07-06,46.56581
2011-07-07,46.753967
2011-07-08,46.945618
2011-07-09,46.87393
2011-07-10,46.569874
2011-07-11,46.258183
2011-07-12,45.83995
2011-07-13,45.779694
2011-07-14,46.06832
2011-07-15,46.306038
2011-07-16,46.347164
2011-07-17,46.502583
2011-07-18,46.433342
2011-07-19,45.961857
2011-07-20,45.37175
2011-07-21,45.126072
2011-07-22,45.267727
2011-07-23,45.56986
2011-07-24,46.21026
2011-07-25,46.828312
2011-07-26,47.196304
2011-07-27,47.460445
2011-07-28,47.61592
2011-07-29,47.37823
2011-07-30,46.87123
2011-07-31,46.059223
2011-08-01,45.47848
2011-08-02,45.222225
2011-08-03,45.34534
2011-08-04,45.56179
2011-08-05,45.623417
2011-08-06,45.205097
2011-08-07,44.55582
2011-08-08,44.51306
2011-08-09,44.714848
2011-08-10,45.01093
2011-08-11,45.52781
2011-08-12,46.17768
2011-08-13,46.778145
2011-08-14,47.346935
2011-08-15,47.650894
2011-08-16,47.853336
2011-08-17,47.949417
2011-08-18,47.856564
2011-08-19,47.616425
2011-08-20,47.351986
2011-08-21,47.07068
2011-08-22,46.589264
2011-08-23,45.99903
2011-08-24,45.45158
2011-08-25,45.270363
2011-08-26,45.36919
2011-08-27,45.41708
2011-08-28,45.430332
2011-08-29,45.43806
2011-08-30,45.461105
2011-08-31,45.52454
2011-09-01,45.52959
2011-09-02,45.402203
2011-09-03,45.209396
2011-09-04,44.808357
2011-09-05,44.46475
2011-09-06,44.210854
2011-09-07,44.15019
2011-09-08,44.387585
2011-09-09,44.813026
2011-09-10,44.86289
2011-09-11,44.344353
2011-09-12,44.147064
2011-09-13,43.947304
2011-09-14,43.76633
2011-09-15,43.782833
2011-09-16,43.786674
2011-09-17,43.789093
2011-09-18,43.49496
2011-09-19,43.34985
2011-09-20,43.34689
2011-09-21,43.45391
2011-09-22,43.622158
2011-09-23,43.65388
2011-09-24,43.759735
2011-09-25,43.8674
2011-09-26,43.799007
2011-09-27,43.223736
2011-09-28,42.796837
2011-09-29,42.874695
2011-09-30,42.88687
2011-10-01,43.084488
2011-10-02,43.165676
2011-10-03,43.240883
2011-10-04,43.43699
2011-10-05,43.565567
2011-10-06,43.344555
2011-10-07,43.063583
2011-10-08,43.17721
2011-10-09,43.426083
2011-10-10,43.49936
2011-10-11,43.56263
2011-10-12,43.538902
2011-10-13,43.41524
2011-10-14,43.32295
2011-10-15,43.139812
2011-10-16,42.923805
2011-10-17,42.84512
2011-10-18,42.89409
2011-10-19,42.991543
2011-10-20,43.054543
