date,predicted_flux
2012-01-07,42.95262
2012-01-08,42.871037
2012-01-09,42.84386
2012-01-10,42.879246
2012-01-11,42.95931
2012-01-12,43.067635
2012-01-13,43.29178
2012-01-14,43.38167
2012-01-15,43.499985
2012-01-16,43.527637
2012-01-17,43.195126
2012-01-18,43.072636
2012-01-19,43.065525
2012-01-20,43.16801
2012-01-21,43.239784
2012-01-22,43.14537
2012-01-23,42.578007
2012-01-24,42.28303
2012-01-25,42.098602
2012-01-26,42.093266
2012-01-27,42.407574
2012-01-28,42.6685
2012-01-29,43.011715
2012-01-30,43.386497
2012-01-31,43.670055
2012-02-01,43.7466
2012-02-02,43.604176
2012-02-03,43.60631
2012-02-04,43.616837
2012-02-05,43.65712
2012-02-06,43.8439
2012-02-07,43.969883
2012-02-08,43.937874
2012-02-09,44.17893
2012-02-10,44.354603
2012-02-11,44.396896
2012-02-12,44.55316
2012-02-13,44.580658
2012-02-14,44.315044
2012-02-15,44.065613
2012-02-16,43.643703
2012-02-17,43.547115
2012-02-18,43.615784
2012-02-19,43.633926
2012-02-20,43.387978
2012-02-21,43.281834
2012-02-22,43.420372
2012-02-23,43.405254
2012-02-24,43.55501
2012-02-25,43.713444
2012-02-26,43.80742
2012-02-27,43.933247
2012-02-28,43.73044
2012-02-29,43.299717
2012-03-01,43.266586
2012-03-02,43.409813
2012-03-03,43.73688
2012-03-04,43.85439
2012-03-05,43.929237
2012-03-06,43.849396
2012-03-07,43.55232
2012-03-08,42.974976
2012-03-09,42.361717
2012-03-10,41.919693
2012-03-11,41.999878
2012-03-12,42.328266
2012-03-13,42.30601
2012-03-14,42.262184
2012-03-15,42.501793
2012-03-16,42.438473
2012-03-17,42.337063
2012-03-18,42.473267
2012-03-19,42.949013
2012-03-20,43.391903
2012-03-21,43.851902
2012-03-22,44.248688
2012-03-23,44.440434
2012-03-24,44.360573
2012-03-25,44.17549
2012-03-26,44.170864
2012-03-27,44.258274
2012-03-28,43.97249
2012-03-29,43.820526
2012-03-30,43.8551
2012-03-31,43.769543
2012-04-01,43.67744
2012-04-02,43.675945
2012-04-03,43.66415
2012-04-04,43.7812
2012-04-05,43.855846
2012-04-06,43.790413
2012-04-07,43.531284
2012-04-08,43.470375
2012-04-09,43.837807
2012-04-10,44.456745
2012-04-11,44.883564
2012-04-12,45.048233
2012-04-13,44.672108
2012-04-14,44.59865
2012-04-15,44.812817
2012-04-16,45.01571
2012-04-17,45.27106
2012-04-18,45.2166
2012-04-19,44.935944
2012-04-20,44.68872
2012-04-21,44.2913
2012-04-22,43.94154
2012-04-23,43.700527
2012-04-24,43.242786
2012-04-25,42.81359
2012-04-26,42.432575
2012-04-27,42.337864
2012-04-28,42.650486
2012-04-29,43.027847
2012-04-30,43.420242
2012-05-01,43.772762
2012-05-02,43.945015
2012-05-03,44.026867
2012-05-04,44.00078
2012-05-05,43.840332
2012-05-06,43.7995
2012-05-07,43.647537
2012-05-08,43.58913
2012-05-09,43.426407
2012-05-10,43.090683
2012-05-11,43.069313
2012-05-12,43.11652
2012-05-13,43.208298
2012-05-14,43.374126
2012-05-15,43.582443
2012-05-16,43.64455
2012-05-17,43.66131
2012-05-18,43.41928
2012-05-19,43.220295
2012-05-20,43.277596
2012-05-21,43.33604
2012-05-22,43.499317
2012-05-23,43.205833
2012-05-24,42.9945
2012-05-25,43.05146
2012-05-26,43.254105
2012-05-27,43.585697
2012-05-28,43.87023
2012-05-29,43.892094
