date,HMF_pred,HMF_pred_std,wind_speed_pred,wind_speed_pred_std,HCS_tilt_pred,HCS_tilt_pred_std,daily_OSF_pred,daily_OSF_pred_std
2019-12-31,,,,,7.265347565370179,11.631319423549897,,
2020-01-31,,,,,7.534129671295562,11.630222289790803,,
2020-02-29,,,,,7.343281625072684,11.611976635943671,,
2020-03-31,,,,,7.816350400564684,11.577075918998725,,
2020-04-30,,,,,8.055637340857306,11.56360703432639,,
2020-05-31,4.906826175990979,0.6286767937132256,,,8.196954723108211,11.565140868919574,,
2020-06-30,4.928956023853044,0.6270946477874194,,,8.202175322710543,11.565351485105936,,
2020-07-31,4.959775041762129,0.6268639042799719,,,8.411995005276385,11.579155379432713,,
2020-08-31,4.969211517890727,0.6268475955670931,,,9.311994895382318,11.63002294366484,7.2226801889046595,1.0972659114815717
2020-09-30,4.962508541672423,0.6264247997561627,,,10.279730380504287,11.69593796783365,7.25073685331157,1.0958097191194394
2020-10-31,4.979147434852609,0.6256327804998367,,,10.663621440785551,11.775679515666141,7.289809821558584,1.0955974900821643
2020-11-30,4.987594170789818,0.6253235165274875,,,11.079251049546006,11.816953191593388,7.30177357501835,1.0955824913529923
2020-12-31,4.99259231957573,0.6253593121702916,,,11.57545352218453,12.13679796322248,7.2932754075001345,1.0951937208097555
2021-01-31,4.992777101571105,0.625364205651391,,,12.217949621364966,12.586354453782521,7.314370529570954,1.0944657756276455
2021-02-28,5.0002118231445305,0.6256860995883659,,,13.240878371270009,12.823484873216328,7.325079470590394,1.0941816496910737
2021-03-31,5.032285909929699,0.6269029686379199,,,14.145157661363774,13.147888475355693,7.331416223740085,1.0942145323269195
2021-04-30,5.067113508144162,0.6285400645012864,,,14.945331465351837,13.586695153117002,7.331650494055226,1.0942190276517967
2021-05-31,5.081029092191093,0.6305287139586023,,,15.806773314107831,13.767233319875768,7.341076382992402,1.094514767499281
2021-06-30,5.09616030902829,0.631603564439987,,,17.841726129168816,14.182959264776805,7.381740552701049,1.0956334173800484
2021-07-31,5.114314784098403,0.639782850271296,,,19.23038244832182,14.437651816539942,7.425895679355892,1.097139998716643
2021-08-31,5.137969644640855,0.6517359162074301,,,20.432040144310474,14.660876016817806,7.443538135556423,1.0989726013466918
2021-09-30,5.1759838866510375,0.6587633323224052,,,21.402535901868465,14.548829053127351,7.462721795359035,1.0999642444391198
2021-10-31,5.209960566366807,0.6685035644614156,,,22.786331106398197,14.964667789503654,7.485738402508825,1.1075361880803896
2021-11-30,5.240325855633957,0.6819212056453489,,,24.855663024938814,14.817288952039862,7.515728508539761,1.118682403937551
2021-12-31,5.273340881395847,0.6884006886968036,,,26.74578512094641,15.451910156852032,7.563923726031112,1.1252791876592163
2022-01-31,5.352729594414088,0.7045205550927429,,,28.638302668496276,15.718785402394824,7.6070000411683925,1.1344748205173167
2022-02-28,5.4080948434607246,0.7155591919152898,,,29.747492417354607,15.39900524400713,7.645497763154433,1.147239225408295
2022-03-31,5.456831705176532,0.7258542497496318,,,30.899379354511048,15.70215810410231,7.687354874145904,1.1534425088979634
2022-04-30,5.496780691783769,0.7245342116983347,,,32.511846695089716,15.837254894668485,7.788005474761528,1.168982882215312
2022-05-31,5.55469659091119,0.7431699386708273,,,34.562786078734675,15.848029713689918,7.858198646535168,1.1797108388754434
2022-06-30,5.6435355494061,0.7445421287020547,,,36.859123931944126,15.724628953827654,7.919988216076238,1.1897773280910293
2022-07-31,5.727215187305715,0.7767697872518129,,,37.79385676953694,15.798852421134024,7.970636341522989,1.188483351113921
2022-08-31,5.813663465437399,0.7971701220995856,,,39.27710124911749,16.181274701207602,8.044063278561627,1.2068375895236254
2022-09-30,5.865675322418018,0.7893737338823624,,,41.11150440447466,15.926054177731382,8.156695089692317,1.2081962944048592
2022-10-31,5.920822483977265,0.8095944847390839,409.6306038035368,24.901637825962315,42.50832217835193,15.923299437826074,8.262785810824917,1.240380918095788
2022-11-30,6.000106783302269,0.8267403339778621,410.04696364264055,24.887512345349126,44.11705211241418,15.531355527167843,8.372386669502918,1.2610137312566747
2022-12-31,6.104824765346908,0.8433118456037363,410.6268050142551,24.88545456057312,45.32775296054721,15.574057394103715,8.438328343642796,1.2531055817314505
2023-01-31,6.2279280810564535,0.857824624945663,410.804346663303,24.885309140687347,46.34019510111118,15.348678755754058,8.50824501973137,1.273673251851138
2023-02-28,6.280039345546475,0.8718369224219483,410.6782341786097,24.881540221635323,46.962479845459335,14.911665126086255,8.608763242575177,1.2912553664939934
2023-03-31,6.365405574814555,0.9127906059492527,410.9912849926301,24.87448525167882,47.500466354660595,14.931439013893272,8.741526797838095,1.3083672211604855
2023-04-30,6.476089292271096,0.9234277212665875,411.15020527250226,24.871732340433113,48.30270397667583,14.568784931881254,8.897599647401655,1.3234454383411007
2023-05-31,6.564729444446426,0.9470280654637844,411.24424244967986,24.872050921049397,48.942368803037,14.233605197765694,8.963667352373207,1.3380825256760915
2023-06-30,6.672293848284875,0.9494927234900385,411.2477190122999,24.87209447404835,49.13298926168159,14.225707252261923,9.071896367827193,1.3812829680209062
2023-07-31,6.757755237423447,0.9805406637007442,411.3875988477776,24.874959977964565,48.87068353403304,14.164594135775074,9.212223401946153,1.3926011089185866
2023-08-31,6.8326913464341406,0.9877646639050514,411.9910535889267,24.885802897628118,49.49171996429826,14.058493134780996,9.324603162442552,1.4178478484889487
2023-09-30,6.880527413774551,0.9650825906685407,412.6463139991802,24.9004160120648,50.087627471321255,13.788588575304852,9.460975468272903,1.4204949137877956
