variable,best_lag,model,a,b,c,r2,rmse,pearson,spearman
HMF,5,linear,4.816094081886657,0.017739288393863083,,0.7521080898416841,0.6252330010159951,0.8452049416696911,0.8693170326260097
wind_speed,34,linear,407.9235337713213,0.3337540911948402,,0.40587239096045,24.870926817065943,0.20406074377394032,0.2393227618175426
HCS_tilt,-2,quadratic,3.082874326840293,0.5268035066326795,-0.0012868104981376425,0.7070713074443142,11.559688017954311,0.8082381071655557,0.852143563991163
daily_OSF,8,linear,7.10764822252658,0.02249022516495323,,0.6120841899018016,1.0940985042137847,0.728664252540631,0.7400944665558443
