bartels_rotation_number,rigidity_min GV,rigidity_max GV,proton_flux m^-2sr^-1s^-1GV^-1,proton_flux_error_statistical m^-2sr^-1s^-1GV^-1,proton_flux_error_timedependent m^-2sr^-1s^-1GV^-1,proton_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2433,1.92,2.97,4.845E+2,0.002E+2,0.011E+2,0.059E+2
2433,2.97,4.02,2.677E+2,0.001E+2,0.005E+2,0.029E+2
2433,4.02,4.88,1.658E+2,0.001E+2,0.004E+2,0.018E+2
2433,4.88,5.90,1.105E+2,0.001E+2,0.002E+2,0.012E+2
2433,5.90,7.09,7.244E+1,0.004E+1,0.016E+1,0.077E+1
2433,7.09,8.48,4.706E+1,0.002E+1,0.010E+1,0.050E+1
2433,8.48,11.00,2.746E+1,0.001E+1,0.005E+1,0.030E+1
2433,11.00,16.60,1.161E+1,0.001E+1,0.002E+1,0.013E+1
2433,16.60,22.80,4.379E+0,0.002E+0,0.006E+0,0.050E+0
2433,22.80,41.90,1.257E+0,0.001E+0,0.001E+0,0.015E+0
2434,1.00,1.92,8.189E+2,0.003E+2,0.027E+2,0.157E+2
2434,1.92,2.97,4.875E+2,0.002E+2,0.011E+2,0.059E+2
2434,2.97,4.02,2.686E+2,0.001E+2,0.005E+2,0.029E+2
2434,4.02,4.88,1.663E+2,0.001E+2,0.003E+2,0.018E+2
2434,4.88,5.90,1.107E+2,0.001E+2,0.002E+2,0.012E+2
2434,5.90,7.09,7.265E+1,0.004E+1,0.014E+1,0.077E+1
2434,7.09,8.48,4.724E+1,0.002E+1,0.009E+1,0.050E+1
2434,8.48,11.00,2.754E+1,0.001E+1,0.004E+1,0.030E+1
2434,11.00,16.60,1.165E+1,0.001E+1,0.001E+1,0.013E+1
2434,16.60,22.80,4.378E+0,0.002E+0,0.006E+0,0.050E+0
2434,22.80,41.90,1.253E+0,0.001E+0,0.001E+0,0.015E+0
2435,1.00,1.92,7.874E+2,0.003E+2,0.026E+2,0.152E+2
2435,1.92,2.97,4.677E+2,0.002E+2,0.010E+2,0.057E+2
2435,2.97,4.02,2.590E+2,0.001E+2,0.005E+2,0.028E+2
2435,4.02,4.88,1.611E+2,0.001E+2,0.003E+2,0.017E+2
2435,4.88,5.90,1.074E+2,0.001E+2,0.002E+2,0.011E+2
2435,5.90,7.09,7.058E+1,0.003E+1,0.013E+1,0.074E+1
2435,7.09,8.48,4.604E+1,0.002E+1,0.009E+1,0.049E+1
2435,8.48,11.00,2.690E+1,0.001E+1,0.004E+1,0.029E+1
2435,11.00,16.60,1.143E+1,0.001E+1,0.001E+1,0.013E+1
2435,16.60,22.80,4.324E+0,0.002E+0,0.005E+0,0.050E+0
2435,22.80,41.90,1.245E+0,0.001E+0,0.001E+0,0.015E+0
2436,1.00,1.92,7.720E+2,0.003E+2,0.026E+2,0.149E+2
2436,1.92,2.97,4.603E+2,0.002E+2,0.010E+2,0.056E+2
2436,2.97,4.02,2.557E+2,0.001E+2,0.005E+2,0.028E+2
2436,4.02,4.88,1.591E+2,0.001E+2,0.003E+2,0.017E+2
2436,4.88,5.90,1.062E+2,0.001E+2,0.002E+2,0.011E+2
2436,5.90,7.09,6.998E+1,0.003E+1,0.014E+1,0.074E+1
2436,7.09,8.48,4.567E+1,0.002E+1,0.009E+1,0.048E+1
2436,8.48,11.00,2.677E+1,0.001E+1,0.004E+1,0.029E+1
2436,11.00,16.60,1.139E+1,0.000E+1,0.001E+1,0.013E+1
2436,16.60,22.80,4.318E+0,0.002E+0,0.006E+0,0.050E+0
2436,22.80,41.90,1.245E+0,0.001E+0,0.001E+0,0.015E+0
2437,1.00,1.92,6.304E+2,0.003E+2,0.021E+2,0.121E+2
2437,1.92,2.97,3.924E+2,0.002E+2,0.008E+2,0.048E+2
2437,2.97,4.02,2.259E+2,0.001E+2,0.004E+2,0.024E+2
2437,4.02,4.88,1.443E+2,0.001E+2,0.003E+2,0.015E+2
2437,4.88,5.90,9.803E+1,0.005E+1,0.020E+1,0.103E+1
2437,5.90,7.09,6.533E+1,0.003E+1,0.013E+1,0.069E+1
2437,7.09,8.48,4.315E+1,0.002E+1,0.009E+1,0.046E+1
2437,8.48,11.00,2.560E+1,0.001E+1,0.004E+1,0.027E+1
2437,11.00,16.60,1.106E+1,0.000E+1,0.001E+1,0.012E+1
2437,16.60,22.80,4.233E+0,0.002E+0,0.006E+0,0.049E+0
2437,22.80,41.90,1.235E+0,0.001E+0,0.001E+0,0.015E+0
2438,1.00,1.92,7.093E+2,0.003E+2,0.025E+2,0.136E+2
2438,1.92,2.97,4.442E+2,0.002E+2,0.010E+2,0.054E+2
2438,2.97,4.02,2.529E+2,0.001E+2,0.006E+2,0.027E+2
2438,4.02,4.88,1.591E+2,0.001E+2,0.004E+2,0.017E+2
2438,4.88,5.90,1.070E+2,0.001E+2,0.003E+2,0.011E+2
2438,5.90,7.09,7.067E+1,0.003E+1,0.018E+1,0.075E+1
2438,7.09,8.48,4.622E+1,0.002E+1,0.012E+1,0.050E+1
2438,8.48,11.00,2.707E+1,0.001E+1,0.006E+1,0.029E+1
2438,11.00,16.60,1.150E+1,0.001E+1,0.002E+1,0.013E+1
2438,16.60,22.80,4.343E+0,0.002E+0,0.008E+0,0.050E+0
2438,22.80,41.90,1.250E+0,0.001E+0,0.002E+0,0.015E+0
2439,1.00,1.92,7.450E+2,0.003E+2,0.026E+2,0.143E+2
2439,1.92,2.97,4.565E+2,0.002E+2,0.010E+2,0.055E+2
2439,2.97,4.02,2.575E+2,0.001E+2,0.005E+2,0.028E+2
2439,4.02,4.88,1.614E+2,0.001E+2,0.004E+2,0.017E+2
2439,4.88,5.90,1.083E+2,0.001E+2,0.002E+2,0.011E+2
2439,5.90,7.09,7.135E+1,0.003E+1,0.016E+1,0.076E+1
2439,7.09,8.48,4.648E+1,0.002E+1,0.011E+1,0.050E+1
2439,8.48,11.00,2.719E+1,0.001E+1,0.005E+1,0.029E+1
2439,11.00,16.60,1.152E+1,0.001E+1,0.002E+1,0.013E+1
2439,16.60,22.80,4.342E+0,0.002E+0,0.007E+0,0.050E+0
2439,22.80,41.90,1.250E+0,0.001E+0,0.001E+0,0.015E+0
2440,1.00,1.92,6.927E+2,0.003E+2,0.024E+2,0.133E+2
2440,1.92,2.97,4.299E+2,0.002E+2,0.009E+2,0.052E+2
2440,2.97,4.02,2.450E+2,0.001E+2,0.005E+2,0.026E+2
2440,4.02,4.88,1.547E+2,0.001E+2,0.003E+2,0.016E+2
2440,4.88,5.90,1.041E+2,0.001E+2,0.002E+2,0.011E+2
2440,5.90,7.09,6.894E+1,0.003E+1,0.015E+1,0.073E+1
2440,7.09,8.48,4.522E+1,0.002E+1,0.010E+1,0.048E+1
2440,8.48,11.00,2.659E+1,0.001E+1,0.005E+1,0.029E+1
2440,11.00,16.60,1.135E+1,0.001E+1,0.002E+1,0.013E+1
2440,16.60,22.80,4.296E+0,0.002E+0,0.006E+0,0.049E+0
2440,22.80,41.90,1.241E+0,0.001E+0,0.001E+0,0.015E+0
2441,1.00,1.92,6.741E+2,0.003E+2,0.027E+2,0.130E+2
2441,1.92,2.97,4.203E+2,0.002E+2,0.013E+2,0.052E+2
2441,2.97,4.02,2.402E+2,0.001E+2,0.007E+2,0.027E+2
2441,4.02,4.88,1.517E+2,0.001E+2,0.006E+2,0.017E+2
2441,4.88,5.90,1.024E+2,0.000E+2,0.004E+2,0.011E+2
2441,5.90,7.09,6.787E+1,0.003E+1,0.025E+1,0.074E+1
2441,7.09,8.48,4.454E+1,0.002E+1,0.016E+1,0.049E+1
2441,8.48,11.00,2.617E+1,0.001E+1,0.008E+1,0.029E+1
2441,11.00,16.60,1.121E+1,0.000E+1,0.003E+1,0.013E+1
2441,16.60,22.80,4.267E+0,0.002E+0,0.011E+0,0.050E+0
2441,22.80,41.90,1.236E+0,0.001E+0,0.002E+0,0.015E+0
2442,1.00,1.92,5.699E+2,0.003E+2,0.020E+2,0.109E+2
2442,1.92,2.97,3.677E+2,0.001E+2,0.007E+2,0.044E+2
2442,2.97,4.02,2.164E+2,0.001E+2,0.004E+2,0.023E+2
2442,4.02,4.88,1.399E+2,0.001E+2,0.003E+2,0.015E+2
2442,4.88,5.90,9.578E+1,0.005E+1,0.017E+1,0.100E+1
2442,5.90,7.09,6.438E+1,0.003E+1,0.012E+1,0.068E+1
2442,7.09,8.48,4.275E+1,0.002E+1,0.008E+1,0.045E+1
2442,8.48,11.00,2.547E+1,0.001E+1,0.004E+1,0.027E+1
2442,11.00,16.60,1.103E+1,0.000E+1,0.001E+1,0.012E+1
2442,16.60,22.80,4.229E+0,0.002E+0,0.005E+0,0.048E+0
2442,22.80,41.90,1.230E+0,0.001E+0,0.001E+0,0.014E+0
2443,1.00,1.92,5.542E+2,0.003E+2,0.022E+2,0.106E+2
2443,1.92,2.97,3.701E+2,0.001E+2,0.010E+2,0.045E+2
2443,2.97,4.02,2.219E+2,0.001E+2,0.006E+2,0.024E+2
2443,4.02,4.88,1.444E+2,0.001E+2,0.005E+2,0.016E+2
2443,4.88,5.90,9.894E+1,0.005E+1,0.035E+1,0.107E+1
2443,5.90,7.09,6.649E+1,0.003E+1,0.023E+1,0.073E+1
2443,7.09,8.48,4.410E+1,0.002E+1,0.015E+1,0.049E+1
2443,8.48,11.00,2.615E+1,0.001E+1,0.007E+1,0.029E+1
2443,11.00,16.60,1.126E+1,0.000E+1,0.003E+1,0.013E+1
2443,16.60,22.80,4.297E+0,0.002E+0,0.011E+0,0.050E+0
2443,22.80,41.90,1.244E+0,0.001E+0,0.002E+0,0.015E+0
2444,1.00,1.92,5.831E+2,0.003E+2,0.021E+2,0.111E+2
2444,1.92,2.97,3.910E+2,0.002E+2,0.009E+2,0.047E+2
2444,2.97,4.02,2.333E+2,0.001E+2,0.005E+2,0.025E+2
2444,4.02,4.88,1.505E+2,0.001E+2,0.004E+2,0.016E+2
2444,4.88,5.90,1.024E+2,0.000E+2,0.003E+2,0.011E+2
2444,5.90,7.09,6.847E+1,0.003E+1,0.018E+1,0.073E+1
2444,7.09,8.48,4.513E+1,0.002E+1,0.012E+1,0.049E+1
2444,8.48,11.00,2.661E+1,0.001E+1,0.006E+1,0.029E+1
2444,11.00,16.60,1.139E+1,0.000E+1,0.002E+1,0.013E+1
2444,16.60,22.80,4.313E+0,0.002E+0,0.008E+0,0.050E+0
2444,22.80,41.90,1.246E+0,0.001E+0,0.002E+0,0.015E+0
2445,1.00,1.92,5.544E+2,0.003E+2,0.023E+2,0.107E+2
2445,1.92,2.97,3.785E+2,0.002E+2,0.012E+2,0.047E+2
2445,2.97,4.02,2.275E+2,0.001E+2,0.008E+2,0.025E+2
2445,4.02,4.88,1.474E+2,0.001E+2,0.006E+2,0.016E+2
2445,4.88,5.90,1.007E+2,0.001E+2,0.004E+2,0.011E+2
2445,5.90,7.09,6.747E+1,0.003E+1,0.027E+1,0.075E+1
2445,7.09,8.48,4.461E+1,0.002E+1,0.018E+1,0.050E+1
2445,8.48,11.00,2.637E+1,0.001E+1,0.009E+1,0.029E+1
2445,11.00,16.60,1.132E+1,0.001E+1,0.003E+1,0.013E+1
2445,16.60,22.80,4.299E+0,0.002E+0,0.012E+0,0.051E+0
2445,22.80,41.90,1.240E+0,0.001E+0,0.003E+0,0.015E+0
2446,1.00,1.92,5.557E+2,0.003E+2,0.020E+2,0.106E+2
2446,1.92,2.97,3.815E+2,0.001E+2,0.007E+2,0.046E+2
2446,2.97,4.02,2.294E+2,0.001E+2,0.004E+2,0.025E+2
2446,4.02,4.88,1.487E+2,0.001E+2,0.003E+2,0.016E+2
2446,4.88,5.90,1.014E+2,0.000E+2,0.002E+2,0.011E+2
2446,5.90,7.09,6.777E+1,0.003E+1,0.013E+1,0.071E+1
2446,7.09,8.48,4.479E+1,0.002E+1,0.008E+1,0.047E+1
2446,8.48,11.00,2.647E+1,0.001E+1,0.004E+1,0.028E+1
2446,11.00,16.60,1.134E+1,0.000E+1,0.001E+1,0.013E+1
2446,16.60,22.80,4.303E+0,0.002E+0,0.006E+0,0.049E+0
2446,22.80,41.90,1.245E+0,0.001E+0,0.001E+0,0.015E+0
2447,1.00,1.92,5.611E+2,0.002E+2,0.020E+2,0.107E+2
2447,1.92,2.97,3.902E+2,0.001E+2,0.007E+2,0.047E+2
2447,2.97,4.02,2.348E+2,0.001E+2,0.004E+2,0.025E+2
2447,4.02,4.88,1.517E+2,0.001E+2,0.003E+2,0.016E+2
2447,4.88,5.90,1.032E+2,0.000E+2,0.002E+2,0.011E+2
2447,5.90,7.09,6.885E+1,0.003E+1,0.013E+1,0.072E+1
2447,7.09,8.48,4.533E+1,0.002E+1,0.009E+1,0.048E+1
2447,8.48,11.00,2.671E+1,0.001E+1,0.004E+1,0.029E+1
2447,11.00,16.60,1.141E+1,0.000E+1,0.001E+1,0.013E+1
2447,16.60,22.80,4.321E+0,0.002E+0,0.006E+0,0.050E+0
2447,22.80,41.90,1.247E+0,0.001E+0,0.001E+0,0.015E+0
2448,1.00,1.92,5.929E+2,0.003E+2,0.022E+2,0.113E+2
2448,1.92,2.97,4.068E+2,0.002E+2,0.008E+2,0.049E+2
2448,2.97,4.02,2.421E+2,0.001E+2,0.004E+2,0.026E+2
2448,4.02,4.88,1.556E+2,0.001E+2,0.003E+2,0.016E+2
2448,4.88,5.90,1.056E+2,0.000E+2,0.002E+2,0.011E+2
2448,5.90,7.09,7.023E+1,0.003E+1,0.014E+1,0.074E+1
2448,7.09,8.48,4.606E+1,0.002E+1,0.009E+1,0.049E+1
2448,8.48,11.00,2.707E+1,0.001E+1,0.004E+1,0.029E+1
2448,11.00,16.60,1.151E+1,0.001E+1,0.001E+1,0.013E+1
2448,16.60,22.80,4.343E+0,0.002E+0,0.006E+0,0.050E+0
2448,22.80,41.90,1.250E+0,0.001E+0,0.001E+0,0.015E+0
2449,1.00,1.92,6.171E+2,0.003E+2,0.024E+2,0.118E+2
