date YYY-MM-DD,rigidity_min GV,rigidity_max GV,electron_flux m^-2sr^-1s^-1GV^-1,electron_flux_error_statistical m^-2sr^-1s^-1GV^-1,electron_flux_error_timedependent m^-2sr^-1s^-1GV^-1,electron_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2011-5-26,22.80,41.90,6.266E-3,0.197E-3,0.063E-3,0.093E-3,
2011-5-27,1.00,1.71,2.563E+1,0.111E+1,0.051E+1,0.074E+1,
2011-5-27,1.71,2.97,1.262E+1,0.014E+1,0.019E+1,0.027E+1,
2011-5-27,2.97,4.02,5.225E+0,0.074E+0,0.052E+0,0.086E+0,
2011-5-27,4.02,5.90,2.188E+0,0.030E+0,0.022E+0,0.033E+0,
2011-5-27,5.90,7.09,9.691E-1,0.206E-1,0.097E-1,0.144E-1,
2011-5-27,7.09,8.48,5.372E-1,0.132E-1,0.054E-1,0.080E-1,
2011-5-27,8.48,11.00,2.791E-1,0.068E-1,0.028E-1,0.041E-1,
2011-5-27,11.00,16.60,9.922E-2,0.256E-2,0.099E-2,0.148E-2,
2011-5-27,16.60,22.80,2.8310E-2,0.112E-2,0.028E-2,0.042E-2,
2011-5-27,22.80,41.90,6.909E-3,0.266E-3,0.069E-3,0.103E-3,
2011-5-28,1.00,1.71,2.340E+1,0.083E+1,0.047E+1,0.068E+1,
2011-5-28,1.71,2.97,1.140E+1,0.011E+1,0.017E+1,0.024E+1,
2011-5-28,2.97,4.02,4.936E+0,0.058E+0,0.049E+0,0.081E+0,
2011-5-28,4.02,5.90,2.124E+0,0.022E+0,0.021E+0,0.032E+0,
2011-5-28,5.90,7.09,9.535E-1,0.156E-1,0.095E-1,0.142E-1,
2011-5-28,7.09,8.48,5.255E-1,0.0100E-1,0.053E-1,0.078E-1,
2011-5-28,8.48,11.00,2.664E-1,0.051E-1,0.027E-1,0.040E-1,
2011-5-28,11.00,16.60,9.124E-2,0.190E-2,0.091E-2,0.136E-2,
2011-5-28,16.60,22.80,2.967E-2,0.090E-2,0.030E-2,0.044E-2,
2011-5-28,22.80,41.90,6.738E-3,0.1100E-3,0.067E-3,0.100E-3,
2011-5-29,1.00,1.71,2.094E+1,0.081E+1,0.042E+1,0.061E+1,
2011-5-29,1.71,2.97,1.001E+1,0.011E+1,0.015E+1,0.021E+1,
2011-5-29,2.97,4.02,4.471E+0,0.061E+0,0.045E+0,0.073E+0,
2011-5-29,4.02,5.90,1.924E+0,0.024E+0,0.019E+0,0.029E+0,
2011-5-29,5.90,7.09,8.284E-1,0.161E-1,0.083E-1,0.123E-1,
2011-5-29,7.09,8.48,4.778E-1,0.104E-1,0.048E-1,0.071E-1,
2011-5-29,8.48,11.00,2.512E-1,0.053E-1,0.025E-1,0.037E-1,
2011-5-29,11.00,16.60,8.541E-2,0.196E-2,0.085E-2,0.127E-2,
2011-5-29,16.60,22.80,2.508E-2,0.087E-2,0.025E-2,0.037E-2,
2011-5-29,22.80,41.90,5.714E-3,0.197E-3,0.057E-3,0.085E-3,
2011-5-30,1.00,1.71,2.035E+1,0.058E+1,0.041E+1,0.059E+1,
2011-5-30,1.71,2.97,9.740E+0,0.085E+0,0.146E+0,0.207E+0,
2011-5-30,2.97,4.02,4.282E+0,0.048E+0,0.043E+0,0.070E+0,
2011-5-30,4.02,5.90,1.856E+0,0.019E+0,0.019E+0,0.028E+0,
2011-5-30,5.90,7.09,8.418E-1,0.127E-1,0.084E-1,0.125E-1,
2011-5-30,7.09,8.48,4.777E-1,0.081E-1,0.048E-1,0.071E-1,
2011-5-30,8.48,11.00,2.453E-1,0.041E-1,0.025E-1,0.036E-1,
2011-5-30,11.00,16.60,8.4710E-2,0.153E-2,0.085E-2,0.126E-2,
2011-5-30,16.60,22.80,2.629E-2,0.070E-2,0.026E-2,0.039E-2,
2011-5-30,22.80,41.90,6.232E-3,0.158E-3,0.062E-3,0.093E-3,
2011-5-31,1.00,1.71,2.005E+1,0.046E+1,0.040E+1,0.058E+1,
2011-5-31,1.71,2.97,9.578E+0,0.080E+0,0.144E+0,0.203E+0,
2011-5-31,2.97,4.02,4.179E+0,0.044E+0,0.042E+0,0.069E+0,
2011-5-31,4.02,5.90,1.852E+0,0.017E+0,0.019E+0,0.028E+0,
2011-5-31,5.90,7.09,8.165E-1,0.118E-1,0.082E-1,0.121E-1,
2011-5-31,7.09,8.48,4.687E-1,0.077E-1,0.047E-1,0.070E-1,
2011-5-31,8.48,11.00,2.440E-1,0.039E-1,0.024E-1,0.036E-1,
2011-5-31,11.00,16.60,8.436E-2,0.147E-2,0.084E-2,0.125E-2,
2011-5-31,16.60,22.80,2.418E-2,0.065E-2,0.024E-2,0.036E-2,
2011-5-31,22.80,41.90,5.806E-3,0.151E-3,0.058E-3,0.086E-3,
2011-6-1,1.00,1.71,2.057E+1,0.071E+1,0.041E+1,0.060E+1,
2011-6-1,1.71,2.97,9.944E+0,0.078E+0,0.149E+0,0.211E+0,
2011-6-1,2.97,4.02,4.332E+0,0.044E+0,0.043E+0,0.071E+0,
2011-6-1,4.02,5.90,1.885E+0,0.017E+0,0.019E+0,0.028E+0,
