bartels_rotation_number,rigidity_min GV,rigidity_max GV,antiproton_flux m^-2sr^-1s^-1GV^-1,antiproton_flux_error_statistical m^-2sr^-1s^-1GV^-1, antiproton_flux_error_systematic_timedependent m^-2sr^-1s^-1GV^-1,antiproton_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2433,1.92,2.97,1.55E-2,0.12E-2,0.07E-2,0.12E-2
2433,2.97,4.02,1.53E-2,0.12E-2,0.03E-2,0.08E-2
2433,4.02,4.88,1.49E-2,0.06E-2,0.01E-2,0.07E-2
2433,4.88,5.90,1.21E-2,0.05E-2,0.01E-2,0.05E-2
2433,5.90,7.09,9.92E-3,0.35E-3,0.17E-3,0.44E-3
2433,7.09,8.48,7.61E-3,0.27E-3,0.09E-3,0.31E-3
2433,8.48,11.00,4.79E-3,0.15E-3,0.05E-3,0.19E-3
2433,11.00,16.60,1.99E-3,0.06E-3,0.03E-3,0.07E-3
2433,16.60,22.80,8.93E-4,0.33E-4,0.18E-4,0.34E-4
2433,22.80,41.90,2.42E-4,0.08E-4,0.06E-4,0.09E-4
2434,1.00,1.92,9.70E-3,1.31E-3,0.46E-3,0.90E-3
2434,1.92,2.97,1.59E-2,0.13E-2,0.07E-2,0.13E-2
2434,2.97,4.02,1.87E-2,0.14E-2,0.03E-2,0.10E-2
2434,4.02,4.88,1.39E-2,0.06E-2,0.01E-2,0.06E-2
2434,4.88,5.90,1.38E-2,0.05E-2,0.01E-2,0.06E-2
2434,5.90,7.09,1.00E-2,0.04E-2,0.02E-2,0.05E-2
2434,7.09,8.48,7.01E-3,0.27E-3,0.11E-3,0.30E-3
2434,8.48,11.00,4.60E-3,0.15E-3,0.05E-3,0.18E-3
2434,11.00,16.60,2.19E-3,0.06E-3,0.03E-3,0.08E-3
2434,16.60,22.80,7.84E-4,0.32E-4,0.15E-4,0.29E-4
2434,22.80,41.90,2.59E-4,0.09E-4,0.04E-4,0.09E-4
2435,1.00,1.92,1.18E-2,0.14E-2,0.06E-2,0.11E-2
2435,1.92,2.97,1.50E-2,0.12E-2,0.06E-2,0.12E-2
2435,2.97,4.02,1.56E-2,0.12E-2,0.03E-2,0.08E-2
2435,4.02,4.88,1.43E-2,0.06E-2,0.02E-2,0.07E-2
2435,4.88,5.90,1.26E-2,0.05E-2,0.01E-2,0.06E-2
2435,5.90,7.09,1.03E-2,0.04E-2,0.02E-2,0.05E-2
2435,7.09,8.48,6.73E-3,0.24E-3,0.12E-3,0.29E-3
2435,8.48,11.00,4.41E-3,0.14E-3,0.04E-3,0.17E-3
2435,11.00,16.60,2.06E-3,0.06E-3,0.02E-3,0.07E-3
2435,16.60,22.80,8.12E-4,0.30E-4,0.15E-4,0.30E-4
2435,22.80,41.90,2.54E-4,0.08E-4,0.04E-4,0.08E-4
2436,1.00,1.92,9.64E-3,1.30E-3,0.46E-3,0.90E-3
2436,1.92,2.97,1.48E-2,0.12E-2,0.06E-2,0.12E-2
2436,2.97,4.02,1.60E-2,0.12E-2,0.02E-2,0.08E-2
2436,4.02,4.88,1.31E-2,0.06E-2,0.01E-2,0.06E-2
2436,4.88,5.90,1.27E-2,0.05E-2,0.01E-2,0.06E-2
2436,5.90,7.09,9.94E-3,0.35E-3,0.20E-3,0.45E-3
2436,7.09,8.48,6.51E-3,0.24E-3,0.08E-3,0.27E-3
2436,8.48,11.00,4.56E-3,0.14E-3,0.05E-3,0.18E-3
2436,11.00,16.60,2.09E-3,0.06E-3,0.02E-3,0.08E-3
2436,16.60,22.80,8.05E-4,0.30E-4,0.18E-4,0.32E-4
2436,22.80,41.90,2.67E-4,0.08E-4,0.04E-4,0.09E-4
2437,1.00,1.92,1.09E-2,0.16E-2,0.05E-2,0.10E-2
2437,1.92,2.97,1.39E-2,0.13E-2,0.06E-2,0.11E-2
2437,2.97,4.02,1.36E-2,0.12E-2,0.02E-2,0.07E-2
2437,4.02,4.88,1.30E-2,0.06E-2,0.02E-2,0.06E-2
2437,4.88,5.90,1.23E-2,0.05E-2,0.01E-2,0.05E-2
2437,5.90,7.09,8.64E-3,0.35E-3,0.17E-3,0.40E-3
2437,7.09,8.48,6.78E-3,0.26E-3,0.11E-3,0.29E-3
2437,8.48,11.00,4.37E-3,0.14E-3,0.05E-3,0.17E-3
2437,11.00,16.60,1.97E-3,0.06E-3,0.02E-3,0.07E-3
2437,16.60,22.80,8.34E-4,0.32E-4,0.13E-4,0.30E-4
2437,22.80,41.90,2.56E-4,0.08E-4,0.05E-4,0.09E-4
2438,1.00,1.92,1.07E-2,0.14E-2,0.05E-2,0.10E-2
2438,1.92,2.97,1.55E-2,0.13E-2,0.07E-2,0.12E-2
2438,2.97,4.02,1.69E-2,0.13E-2,0.03E-2,0.09E-2
2438,4.02,4.88,1.33E-2,0.06E-2,0.01E-2,0.06E-2
2438,4.88,5.90,1.32E-2,0.05E-2,0.01E-2,0.06E-2
2438,5.90,7.09,1.03E-2,0.04E-2,0.02E-2,0.05E-2
2438,7.09,8.48,7.42E-3,0.25E-3,0.08E-3,0.30E-3
2438,8.48,11.00,4.16E-3,0.13E-3,0.05E-3,0.16E-3
2438,11.00,16.60,2.05E-3,0.06E-3,0.02E-3,0.07E-3
2438,16.60,22.80,8.99E-4,0.32E-4,0.18E-4,0.34E-4
2438,22.80,41.90,2.62E-4,0.08E-4,0.04E-4,0.09E-4
2439,1.00,1.92,9.28E-3,1.37E-3,0.46E-3,0.87E-3
2439,1.92,2.97,1.43E-2,0.12E-2,0.06E-2,0.11E-2
2439,2.97,4.02,1.66E-2,0.13E-2,0.03E-2,0.09E-2
2439,4.02,4.88,1.48E-2,0.07E-2,0.01E-2,0.07E-2
2439,4.88,5.90,1.36E-2,0.05E-2,0.01E-2,0.06E-2
2439,5.90,7.09,1.00E-2,0.04E-2,0.02E-2,0.04E-2
2439,7.09,8.48,6.96E-3,0.24E-3,0.14E-3,0.31E-3
2439,8.48,11.00,4.51E-3,0.14E-3,0.05E-3,0.18E-3
2439,11.00,16.60,2.10E-3,0.06E-3,0.02E-3,0.08E-3
2439,16.60,22.80,8.15E-4,0.29E-4,0.15E-4,0.30E-4
2439,22.80,41.90,2.55E-4,0.08E-4,0.05E-4,0.09E-4
2440,1.00,1.92,9.09E-3,1.33E-3,0.44E-3,0.85E-3
2440,1.92,2.97,1.58E-2,0.12E-2,0.07E-2,0.12E-2
2440,2.97,4.02,1.60E-2,0.13E-2,0.03E-2,0.08E-2
2440,4.02,4.88,1.33E-2,0.06E-2,0.01E-2,0.06E-2
2440,4.88,5.90,1.30E-2,0.05E-2,0.01E-2,0.06E-2
2440,5.90,7.09,9.84E-3,0.36E-3,0.20E-3,0.45E-3
2440,7.09,8.48,7.03E-3,0.25E-3,0.09E-3,0.29E-3
2440,8.48,11.00,4.55E-3,0.14E-3,0.08E-3,0.19E-3
2440,11.00,16.60,2.06E-3,0.06E-3,0.03E-3,0.08E-3
2440,16.60,22.80,9.19E-4,0.33E-4,0.16E-4,0.33E-4
2440,22.80,41.90,2.45E-4,0.08E-4,0.04E-4,0.08E-4
2441,1.00,1.92,8.74E-3,1.28E-3,0.42E-3,0.82E-3
2441,1.92,2.97,1.56E-2,0.12E-2,0.07E-2,0.12E-2
2441,2.97,4.02,1.52E-2,0.12E-2,0.03E-2,0.08E-2
2441,4.02,4.88,1.39E-2,0.06E-2,0.01E-2,0.06E-2
2441,4.88,5.90,1.28E-2,0.05E-2,0.01E-2,0.06E-2
2441,5.90,7.09,1.04E-2,0.04E-2,0.02E-2,0.05E-2
2441,7.09,8.48,6.69E-3,0.24E-3,0.07E-3,0.27E-3
2441,8.48,11.00,4.42E-3,0.14E-3,0.05E-3,0.17E-3
2441,11.00,16.60,2.04E-3,0.06E-3,0.02E-3,0.07E-3
2441,16.60,22.80,8.41E-4,0.31E-4,0.14E-4,0.31E-4
2441,22.80,41.90,2.64E-4,0.08E-4,0.04E-4,0.09E-4
2442,1.00,1.92,7.37E-3,1.14E-3,0.36E-3,0.69E-3
2442,1.92,2.97,1.37E-2,0.12E-2,0.06E-2,0.11E-2
2442,2.97,4.02,1.25E-2,0.11E-2,0.03E-2,0.07E-2
2442,4.02,4.88,1.28E-2,0.06E-2,0.02E-2,0.06E-2
2442,4.88,5.90,1.16E-2,0.05E-2,0.01E-2,0.05E-2
2442,5.90,7.09,9.67E-3,0.36E-3,0.16E-3,0.43E-3
2442,7.09,8.48,7.03E-3,0.25E-3,0.08E-3,0.29E-3
2442,8.48,11.00,4.42E-3,0.14E-3,0.04E-3,0.17E-3
2442,11.00,16.60,2.05E-3,0.06E-3,0.02E-3,0.07E-3
2442,16.60,22.80,9.44E-4,0.34E-4,0.16E-4,0.34E-4
2442,22.80,41.90,2.47E-4,0.08E-4,0.05E-4,0.09E-4
2443,1.00,1.92,7.61E-3,1.05E-3,0.36E-3,0.71E-3
2443,1.92,2.97,1.44E-2,0.11E-2,0.06E-2,0.11E-2
2443,2.97,4.02,1.48E-2,0.12E-2,0.03E-2,0.08E-2
2443,4.02,4.88,1.33E-2,0.06E-2,0.01E-2,0.06E-2
2443,4.88,5.90,1.15E-2,0.05E-2,0.01E-2,0.05E-2
2443,5.90,7.09,8.99E-3,0.34E-3,0.20E-3,0.42E-3
2443,7.09,8.48,7.05E-3,0.25E-3,0.09E-3,0.29E-3
2443,8.48,11.00,4.55E-3,0.14E-3,0.05E-3,0.18E-3
2443,11.00,16.60,1.96E-3,0.06E-3,0.02E-3,0.07E-3
2443,16.60,22.80,9.31E-4,0.33E-4,0.17E-4,0.34E-4
2443,22.80,41.90,2.54E-4,0.08E-4,0.05E-4,0.09E-4
2444,1.00,1.92,7.74E-3,1.06E-3,0.37E-3,0.72E-3
2444,1.92,2.97,1.44E-2,0.11E-2,0.06E-2,0.11E-2
2444,2.97,4.02,1.40E-2,0.11E-2,0.02E-2,0.07E-2
2444,4.02,4.88,1.38E-2,0.06E-2,0.01E-2,0.06E-2
2444,4.88,5.90,1.25E-2,0.05E-2,0.01E-2,0.05E-2
2444,5.90,7.09,9.19E-3,0.34E-3,0.17E-3,0.42E-3
2444,7.09,8.48,6.99E-3,0.24E-3,0.08E-3,0.29E-3
2444,8.48,11.00,4.52E-3,0.13E-3,0.03E-3,0.17E-3
2444,11.00,16.60,2.17E-3,0.06E-3,0.02E-3,0.08E-3
2444,16.60,22.80,8.65E-4,0.30E-4,0.10E-4,0.29E-4
2444,22.80,41.90,2.54E-4,0.08E-4,0.05E-4,0.09E-4
2445,1.00,1.92,8.68E-3,1.35E-3,0.41E-3,0.81E-3
2445,1.92,2.97,1.68E-2,0.14E-2,0.07E-2,0.13E-2
2445,2.97,4.02,1.75E-2,0.14E-2,0.02E-2,0.09E-2
2445,4.02,4.88,1.44E-2,0.07E-2,0.01E-2,0.07E-2
2445,4.88,5.90,1.20E-2,0.05E-2,0.01E-2,0.05E-2
2445,5.90,7.09,1.00E-2,0.04E-2,0.02E-2,0.05E-2
2445,7.09,8.48,7.39E-3,0.26E-3,0.14E-3,0.32E-3
2445,8.48,11.00,4.36E-3,0.14E-3,0.04E-3,0.17E-3
2445,11.00,16.60,2.16E-3,0.06E-3,0.02E-3,0.08E-3
2445,16.60,22.80,9.02E-4,0.32E-4,0.12E-4,0.32E-4
2445,22.80,41.90,2.34E-4,0.08E-4,0.04E-4,0.08E-4
2446,1.00,1.92,7.28E-3,1.04E-3,0.35E-3,0.68E-3
2446,1.92,2.97,1.50E-2,0.11E-2,0.06E-2,0.12E-2
2446,2.97,4.02,1.57E-2,0.12E-2,0.03E-2,0.08E-2
2446,4.02,4.88,1.41E-2,0.06E-2,0.01E-2,0.07E-2
2446,4.88,5.90,1.20E-2,0.05E-2,0.01E-2,0.05E-2
2446,5.90,7.09,9.04E-3,0.33E-3,0.17E-3,0.41E-3
2446,7.09,8.48,7.25E-3,0.24E-3,0.11E-3,0.31E-3
2446,8.48,11.00,4.45E-3,0.13E-3,0.04E-3,0.17E-3
2446,11.00,16.60,2.01E-3,0.06E-3,0.02E-3,0.07E-3
2446,16.60,22.80,9.46E-4,0.32E-4,0.16E-4,0.34E-4
2446,22.80,41.90,2.56E-4,0.08E-4,0.03E-4,0.08E-4
2447,1.00,1.92,8.01E-3,1.01E-3,0.38E-3,0.74E-3
2447,1.92,2.97,1.23E-2,0.10E-2,0.05E-2,0.10E-2
2447,2.97,4.02,1.16E-2,0.11E-2,0.03E-2,0.07E-2
2447,4.02,4.88,1.38E-2,0.06E-2,0.01E-2,0.06E-2
2447,4.88,5.90,1.18E-2,0.05E-2,0.01E-2,0.05E-2
2447,5.90,7.09,9.49E-3,0.34E-3,0.18E-3,0.43E-3
2447,7.09,8.48,7.24E-3,0.24E-3,0.08E-3,0.30E-3
2447,8.48,11.00,4.33E-3,0.13E-3,0.05E-3,0.17E-3
2447,11.00,16.60,2.14E-3,0.06E-3,0.02E-3,0.08E-3
2447,16.60,22.80,8.67E-4,0.30E-4,0.14E-4,0.31E-4
2447,22.80,41.90,2.69E-4,0.08E-4,0.04E-4,0.09E-4
2448,1.00,1.92,8.40E-3,1.10E-3,0.40E-3,0.78E-3
2448,1.92,2.97,1.25E-2,0.11E-2,0.05E-2,0.10E-2
2448,2.97,4.02,1.54E-2,0.12E-2,0.03E-2,0.08E-2
2448,4.02,4.88,1.42E-2,0.06E-2,0.02E-2,0.07E-2
2448,4.88,5.90,1.20E-2,0.05E-2,0.01E-2,0.05E-2
2448,5.90,7.09,9.76E-3,0.35E-3,0.11E-3,0.42E-3
2448,7.09,8.48,6.96E-3,0.23E-3,0.07E-3,0.28E-3
2448,8.48,11.00,4.66E-3,0.13E-3,0.04E-3,0.18E-3
2448,11.00,16.60,2.07E-3,0.05E-3,0.01E-3,0.07E-3
2448,16.60,22.80,8.62E-4,0.30E-4,0.13E-4,0.31E-4
2448,22.80,41.90,2.46E-4,0.07E-4,0.04E-4,0.08E-4
2449,1.00,1.92,8.26E-3,1.03E-3,0.39E-3,0.77E-3
2449,1.92,2.97,1.38E-2,0.11E-2,0.06E-2,0.11E-2
2449,2.97,4.02,1.90E-2,0.11E-2,0.02E-2,0.10E-2
2449,4.02,4.88,1.50E-2,0.06E-2,0.01E-2,0.07E-2
2449,4.88,5.90,1.28E-2,0.05E-2,0.01E-2,0.06E-2
2449,5.90,7.09,9.95E-3,0.34E-3,0.16E-3,0.44E-3
2449,7.09,8.48,7.01E-3,0.23E-3,0.05E-3,0.28E-3
2449,8.48,11.00,4.37E-3,0.13E-3,0.05E-3,0.17E-3
2449,11.00,16.60,2.14E-3,0.06E-3,0.02E-3,0.08E-3
2449,16.60,22.80,8.84E-4,0.30E-4,0.15E-4,0.32E-4
2449,22.80,41.90,2.51E-4,0.08E-4,0.03E-4,0.08E-4
2450,1.00,1.92,8.86E-3,1.17E-3,0.41E-3,0.82E-3
2450,1.92,2.97,1.63E-2,0.12E-2,0.07E-2,0.13E-2
2450,2.97,4.02,1.40E-2,0.12E-2,0.03E-2,0.07E-2
2450,4.02,4.88,1.38E-2,0.06E-2,0.01E-2,0.06E-2
2450,4.88,5.90,1.22E-2,0.05E-2,0.01E-2,0.05E-2
2450,5.90,7.09,9.47E-3,0.35E-3,0.18E-3,0.43E-3
2450,7.09,8.48,6.58E-3,0.24E-3,0.10E-3,0.28E-3
2450,8.48,11.00,4.57E-3,0.14E-3,0.05E-3,0.18E-3
2450,11.00,16.60,2.26E-3,0.06E-3,0.02E-3,0.08E-3
2450,16.60,22.80,8.52E-4,0.32E-4,0.17E-4,0.32E-4
2450,22.80,41.90,2.41E-4,0.08E-4,0.03E-4,0.08E-4
2451,1.00,1.92,9.51E-3,1.37E-3,0.45E-3,0.88E-3
2451,1.92,2.97,1.51E-2,0.13E-2,0.06E-2,0.12E-2
2451,2.97,4.02,1.59E-2,0.13E-2,0.03E-2,0.08E-2
2451,4.02,4.88,1.28E-2,0.06E-2,0.02E-2,0.06E-2
2451,4.88,5.90,1.21E-2,0.05E-2,0.01E-2,0.05E-2
2451,5.90,7.09,9.67E-3,0.37E-3,0.18E-3,0.44E-3
2451,7.09,8.48,6.61E-3,0.24E-3,0.10E-3,0.28E-3
2451,8.48,11.00,4.44E-3,0.14E-3,0.05E-3,0.17E-3
2451,11.00,16.60,2.20E-3,0.06E-3,0.02E-3,0.08E-3
2451,16.60,22.80,9.05E-4,0.32E-4,0.11E-4,0.31E-4
2451,22.80,41.90,2.53E-4,0.08E-4,0.03E-4,0.08E-4
2452,1.00,1.92,7.17E-3,1.03E-3,0.35E-3,0.67E-3
2452,1.92,2.97,1.62E-2,0.12E-2,0.07E-2,0.13E-2
2452,2.97,4.02,1.59E-2,0.12E-2,0.03E-2,0.08E-2
2452,4.02,4.88,1.41E-2,0.06E-2,0.01E-2,0.06E-2
2452,4.88,5.90,1.23E-2,0.05E-2,0.01E-2,0.05E-2
2452,5.90,7.09,9.30E-3,0.34E-3,0.17E-3,0.42E-3
2452,7.09,8.48,6.78E-3,0.24E-3,0.06E-3,0.28E-3
2452,8.48,11.00,4.55E-3,0.13E-3,0.05E-3,0.18E-3
2452,11.00,16.60,2.17E-3,0.06E-3,0.02E-3,0.08E-3
2452,16.60,22.80,8.24E-4,0.29E-4,0.07E-4,0.27E-4
2452,22.80,41.90,2.54E-4,0.08E-4,0.04E-4,0.08E-4
2453,1.00,1.92,7.83E-3,1.20E-3,0.37E-3,0.73E-3
2453,1.92,2.97,1.41E-2,0.12E-2,0.06E-2,0.11E-2
2453,2.97,4.02,1.58E-2,0.11E-2,0.02E-2,0.08E-2
2453,4.02,4.88,1.28E-2,0.06E-2,0.01E-2,0.06E-2
2453,4.88,5.90,1.13E-2,0.05E-2,0.01E-2,0.05E-2
2453,5.90,7.09,8.20E-3,0.32E-3,0.17E-3,0.38E-3
2453,7.09,8.48,6.11E-3,0.22E-3,0.08E-3,0.25E-3
2453,8.48,11.00,4.24E-3,0.13E-3,0.03E-3,0.16E-3
2453,11.00,16.60,2.07E-3,0.06E-3,0.03E-3,0.08E-3
2453,16.60,22.80,8.04E-4,0.29E-4,0.12E-4,0.29E-4
2453,22.80,41.90,2.32E-4,0.07E-4,0.03E-4,0.07E-4
2454,1.00,1.92,5.51E-3,0.96E-3,0.28E-3,0.52E-3
2454,1.92,2.97,1.06E-2,0.10E-2,0.05E-2,0.08E-2
2454,2.97,4.02,1.30E-2,0.12E-2,0.03E-2,0.07E-2
2454,4.02,4.88,1.23E-2,0.06E-2,0.01E-2,0.06E-2
2454,4.88,5.90,1.18E-2,0.05E-2,0.01E-2,0.05E-2
2454,5.90,7.09,9.67E-3,0.35E-3,0.19E-3,0.44E-3
2454,7.09,8.48,6.61E-3,0.24E-3,0.12E-3,0.29E-3
2454,8.48,11.00,4.10E-3,0.13E-3,0.05E-3,0.16E-3
2454,11.00,16.60,2.09E-3,0.06E-3,0.02E-3,0.08E-3
2454,16.60,22.80,8.26E-4,0.30E-4,0.18E-4,0.32E-4
2454,22.80,41.90,2.57E-4,0.08E-4,0.04E-4,0.09E-4
2455,1.00,1.92,6.76E-3,1.14E-3,0.34E-3,0.64E-3
2455,1.92,2.97,1.25E-2,0.11E-2,0.05E-2,0.10E-2
2455,2.97,4.02,1.52E-2,0.11E-2,0.02E-2,0.08E-2
2455,4.02,4.88,1.38E-2,0.06E-2,0.01E-2,0.06E-2
2455,4.88,5.90,1.10E-2,0.05E-2,0.01E-2,0.05E-2
2455,5.90,7.09,9.22E-3,0.34E-3,0.15E-3,0.41E-3
2455,7.09,8.48,6.90E-3,0.24E-3,0.08E-3,0.29E-3
2455,8.48,11.00,3.95E-3,0.13E-3,0.04E-3,0.15E-3
2455,11.00,16.60,2.11E-3,0.06E-3,0.02E-3,0.08E-3
2455,16.60,22.80,8.83E-4,0.31E-4,0.15E-4,0.32E-4
2455,22.80,41.90,2.44E-4,0.08E-4,0.04E-4,0.08E-4
2456,1.00,1.92,6.51E-3,1.02E-3,0.33E-3,0.62E-3
2456,1.92,2.97,1.23E-2,0.10E-2,0.05E-2,0.10E-2
2456,2.97,4.02,1.49E-2,0.12E-2,0.03E-2,0.08E-2
