bartels_rotation_number,rigidity_min GV,rigidity_max GV,antiproton_flux m^-2sr^-1s^-1GV^-1,antiproton_flux_error_statistical m^-2sr^-1s^-1GV^-1, antiproton_flux_error_systematic_timedependent m^-2sr^-1s^-1GV^-1,antiproton_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2457,5.90,7.09,8.92E-3,0.33E-3,0.17E-3,0.41E-3
2457,7.09,8.48,6.59E-3,0.24E-3,0.06E-3,0.27E-3
2457,8.48,11.00,4.47E-3,0.14E-3,0.05E-3,0.18E-3
2457,11.00,16.60,2.15E-3,0.06E-3,0.02E-3,0.08E-3
2457,16.60,22.80,8.40E-4,0.31E-4,0.09E-4,0.28E-4
2457,22.80,41.90,2.58E-4,0.08E-4,0.03E-4,0.08E-4
2458,1.00,1.92,6.66E-3,0.99E-3,0.32E-3,0.62E-3
2458,1.92,2.97,1.22E-2,0.10E-2,0.05E-2,0.10E-2
2458,2.97,4.02,1.38E-2,0.11E-2,0.02E-2,0.07E-2
2458,4.02,4.88,1.28E-2,0.06E-2,0.01E-2,0.06E-2
2458,4.88,5.90,1.17E-2,0.05E-2,0.01E-2,0.05E-2
2458,5.90,7.09,9.21E-3,0.34E-3,0.16E-3,0.41E-3
2458,7.09,8.48,7.00E-3,0.24E-3,0.08E-3,0.29E-3
2458,8.48,11.00,4.31E-3,0.13E-3,0.05E-3,0.17E-3
2458,11.00,16.60,2.18E-3,0.06E-3,0.03E-3,0.08E-3
2458,16.60,22.80,8.74E-4,0.31E-4,0.13E-4,0.31E-4
2458,22.80,41.90,2.55E-4,0.08E-4,0.06E-4,0.10E-4
2459,1.00,1.92,6.67E-3,1.03E-3,0.32E-3,0.62E-3
2459,1.92,2.97,1.18E-2,0.10E-2,0.05E-2,0.09E-2
2459,2.97,4.02,1.47E-2,0.12E-2,0.02E-2,0.08E-2
2459,4.02,4.88,1.31E-2,0.06E-2,0.02E-2,0.06E-2
2459,4.88,5.90,1.20E-2,0.05E-2,0.01E-2,0.05E-2
2459,5.90,7.09,8.76E-3,0.34E-3,0.13E-3,0.38E-3
2459,7.09,8.48,7.16E-3,0.27E-3,0.09E-3,0.30E-3
2459,8.48,11.00,4.17E-3,0.14E-3,0.04E-3,0.16E-3
2459,11.00,16.60,2.10E-3,0.06E-3,0.02E-3,0.08E-3
2459,16.60,22.80,8.50E-4,0.33E-4,0.13E-4,0.30E-4
2459,22.80,41.90,2.54E-4,0.09E-4,0.05E-4,0.09E-4
2460,1.00,1.92,6.65E-3,0.96E-3,0.33E-3,0.62E-3
2460,1.92,2.97,1.39E-2,0.10E-2,0.06E-2,0.11E-2
2460,2.97,4.02,1.54E-2,0.11E-2,0.02E-2,0.08E-2
2460,4.02,4.88,1.28E-2,0.06E-2,0.01E-2,0.06E-2
2460,4.88,5.90,1.16E-2,0.05E-2,0.01E-2,0.05E-2
2460,5.90,7.09,9.27E-3,0.35E-3,0.18E-3,0.42E-3
2460,7.09,8.48,6.36E-3,0.23E-3,0.08E-3,0.27E-3
2460,8.48,11.00,4.40E-3,0.13E-3,0.06E-3,0.18E-3
2460,11.00,16.60,2.12E-3,0.06E-3,0.01E-3,0.08E-3
2460,16.60,22.80,8.50E-4,0.31E-4,0.12E-4,0.30E-4
2460,22.80,41.90,2.57E-4,0.08E-4,0.04E-4,0.09E-4
2461,1.00,1.92,6.71E-3,0.96E-3,0.33E-3,0.63E-3
2461,1.92,2.97,1.42E-2,0.10E-2,0.06E-2,0.11E-2
2461,2.97,4.02,1.52E-2,0.11E-2,0.02E-2,0.08E-2
2461,4.02,4.88,1.31E-2,0.06E-2,0.01E-2,0.06E-2
2461,4.88,5.90,1.13E-2,0.04E-2,0.01E-2,0.05E-2
2461,5.90,7.09,9.63E-3,0.34E-3,0.18E-3,0.44E-3
2461,7.09,8.48,6.01E-3,0.22E-3,0.08E-3,0.25E-3
2461,8.48,11.00,4.48E-3,0.13E-3,0.05E-3,0.18E-3
2461,11.00,16.60,2.15E-3,0.06E-3,0.02E-3,0.08E-3
2461,16.60,22.80,8.70E-4,0.30E-4,0.08E-4,0.29E-4
2461,22.80,41.90,2.38E-4,0.07E-4,0.04E-4,0.08E-4
2462,1.00,1.92,5.99E-3,0.89E-3,0.29E-3,0.56E-3
2462,1.92,2.97,1.34E-2,0.10E-2,0.06E-2,0.11E-2
2462,2.97,4.02,1.46E-2,0.10E-2,0.02E-2,0.08E-2
2462,4.02,4.88,1.38E-2,0.06E-2,0.01E-2,0.06E-2
2462,4.88,5.90,1.16E-2,0.04E-2,0.01E-2,0.05E-2
2462,5.90,7.09,9.45E-3,0.33E-3,0.13E-3,0.41E-3
2462,7.09,8.48,6.47E-3,0.22E-3,0.08E-3,0.27E-3
2462,8.48,11.00,4.32E-3,0.13E-3,0.04E-3,0.17E-3
2462,11.00,16.60,1.96E-3,0.05E-3,0.02E-3,0.07E-3
2462,16.60,22.80,8.52E-4,0.29E-4,0.14E-4,0.31E-4
2462,22.80,41.90,2.48E-4,0.07E-4,0.04E-4,0.08E-4
2463,1.00,1.92,6.14E-3,0.97E-3,0.29E-3,0.57E-3
2463,1.92,2.97,1.36E-2,0.11E-2,0.06E-2,0.11E-2
2463,2.97,4.02,1.48E-2,0.11E-2,0.02E-2,0.08E-2
2463,4.02,4.88,1.25E-2,0.06E-2,0.01E-2,0.06E-2
2463,4.88,5.90,1.19E-2,0.05E-2,0.01E-2,0.05E-2
2463,5.90,7.09,8.71E-3,0.33E-3,0.15E-3,0.39E-3
2463,7.09,8.48,6.37E-3,0.23E-3,0.06E-3,0.26E-3
2463,8.48,11.00,4.25E-3,0.13E-3,0.04E-3,0.17E-3
2463,11.00,16.60,2.11E-3,0.06E-3,0.02E-3,0.08E-3
2463,16.60,22.80,8.31E-4,0.30E-4,0.17E-4,0.32E-4
2463,22.80,41.90,2.52E-4,0.08E-4,0.04E-4,0.08E-4
2464,1.00,1.92,6.40E-3,0.91E-3,0.31E-3,0.60E-3
2464,1.92,2.97,1.28E-2,0.10E-2,0.06E-2,0.10E-2
2464,2.97,4.02,1.07E-2,0.10E-2,0.03E-2,0.06E-2
2464,4.02,4.88,1.28E-2,0.05E-2,0.01E-2,0.06E-2
2464,4.88,5.90,1.14E-2,0.04E-2,0.01E-2,0.05E-2
2464,5.90,7.09,8.84E-3,0.33E-3,0.17E-3,0.40E-3
2464,7.09,8.48,6.31E-3,0.22E-3,0.05E-3,0.26E-3
2464,8.48,11.00,4.14E-3,0.12E-3,0.03E-3,0.16E-3
2464,11.00,16.60,2.05E-3,0.05E-3,0.01E-3,0.07E-3
2464,16.60,22.80,8.68E-4,0.30E-4,0.13E-4,0.31E-4
2464,22.80,41.90,2.48E-4,0.08E-4,0.04E-4,0.08E-4
2465,1.00,1.92,5.86E-3,0.94E-3,0.29E-3,0.55E-3
2465,1.92,2.97,1.18E-2,0.10E-2,0.05E-2,0.09E-2
2465,2.97,4.02,1.25E-2,0.10E-2,0.03E-2,0.07E-2
2465,4.02,4.88,1.24E-2,0.05E-2,0.01E-2,0.06E-2
2465,4.88,5.90,1.13E-2,0.04E-2,0.01E-2,0.05E-2
2465,5.90,7.09,8.81E-3,0.33E-3,0.16E-3,0.40E-3
2465,7.09,8.48,6.69E-3,0.22E-3,0.08E-3,0.28E-3
2465,8.48,11.00,4.21E-3,0.13E-3,0.05E-3,0.17E-3
2465,11.00,16.60,2.07E-3,0.06E-3,0.03E-3,0.08E-3
2465,16.60,22.80,8.96E-4,0.30E-4,0.10E-4,0.31E-4
2465,22.80,41.90,2.54E-4,0.07E-4,0.03E-4,0.08E-4
2466,1.00,1.92,5.52E-3,0.89E-3,0.27E-3,0.52E-3
2466,1.92,2.97,1.29E-2,0.11E-2,0.06E-2,0.10E-2
2466,2.97,4.02,1.41E-2,0.11E-2,0.03E-2,0.07E-2
2466,4.02,4.88,1.22E-2,0.06E-2,0.01E-2,0.06E-2
2466,4.88,5.90,1.12E-2,0.04E-2,0.01E-2,0.05E-2
2466,5.90,7.09,9.08E-3,0.33E-3,0.15E-3,0.40E-3
2466,7.09,8.48,7.37E-3,0.25E-3,0.10E-3,0.31E-3
2466,8.48,11.00,4.29E-3,0.13E-3,0.05E-3,0.17E-3
2466,11.00,16.60,2.05E-3,0.06E-3,0.02E-3,0.07E-3
2466,16.60,22.80,8.81E-4,0.31E-4,0.18E-4,0.34E-4
2466,22.80,41.90,2.53E-4,0.08E-4,0.04E-4,0.08E-4
2467,1.00,1.92,5.81E-3,0.87E-3,0.28E-3,0.54E-3
2467,1.92,2.97,1.36E-2,0.10E-2,0.06E-2,0.11E-2
2467,2.97,4.02,1.30E-2,0.10E-2,0.02E-2,0.07E-2
2467,4.02,4.88,1.20E-2,0.05E-2,0.01E-2,0.06E-2
2467,4.88,5.90,1.14E-2,0.04E-2,0.01E-2,0.05E-2
2467,5.90,7.09,9.45E-3,0.33E-3,0.16E-3,0.42E-3
2467,7.09,8.48,6.97E-3,0.24E-3,0.09E-3,0.29E-3
2467,8.48,11.00,4.22E-3,0.13E-3,0.03E-3,0.16E-3
2467,11.00,16.60,1.98E-3,0.06E-3,0.02E-3,0.07E-3
2467,16.60,22.80,8.77E-4,0.31E-4,0.12E-4,0.31E-4
2467,22.80,41.90,2.41E-4,0.08E-4,0.04E-4,0.08E-4
2468,1.00,1.92,7.21E-3,0.94E-3,0.35E-3,0.67E-3
2468,1.92,2.97,1.24E-2,0.10E-2,0.05E-2,0.10E-2
2468,2.97,4.02,1.45E-2,0.11E-2,0.02E-2,0.07E-2
2468,4.02,4.88,1.31E-2,0.05E-2,0.01E-2,0.06E-2
2468,4.88,5.90,1.15E-2,0.04E-2,0.01E-2,0.05E-2
2468,5.90,7.09,8.53E-3,0.31E-3,0.15E-3,0.38E-3
2468,7.09,8.48,6.22E-3,0.22E-3,0.08E-3,0.26E-3
2468,8.48,11.00,4.24E-3,0.13E-3,0.05E-3,0.17E-3
2468,11.00,16.60,2.11E-3,0.06E-3,0.03E-3,0.08E-3
2468,16.60,22.80,8.97E-4,0.30E-4,0.13E-4,0.32E-4
2468,22.80,41.90,2.46E-4,0.07E-4,0.03E-4,0.08E-4
2469,1.00,1.92,6.57E-3,0.94E-3,0.32E-3,0.61E-3
2469,1.92,2.97,1.25E-2,0.10E-2,0.05E-2,0.10E-2
2469,2.97,4.02,1.46E-2,0.11E-2,0.03E-2,0.08E-2
2469,4.02,4.88,1.31E-2,0.06E-2,0.01E-2,0.06E-2
2469,4.88,5.90,1.12E-2,0.04E-2,0.01E-2,0.05E-2
2469,5.90,7.09,8.98E-3,0.32E-3,0.14E-3,0.40E-3
2469,7.09,8.48,7.08E-3,0.24E-3,0.09E-3,0.29E-3
2469,8.48,11.00,4.21E-3,0.13E-3,0.04E-3,0.16E-3
2469,11.00,16.60,2.12E-3,0.06E-3,0.02E-3,0.08E-3
2469,16.60,22.80,8.46E-4,0.30E-4,0.15E-4,0.31E-4
2469,22.80,41.90,2.43E-4,0.08E-4,0.03E-4,0.08E-4
2470,1.00,1.92,6.50E-3,0.98E-3,0.32E-3,0.61E-3
2470,1.92,2.97,1.25E-2,0.11E-2,0.05E-2,0.10E-2
2470,2.97,4.02,1.45E-2,0.12E-2,0.03E-2,0.08E-2
2470,4.02,4.88,1.28E-2,0.06E-2,0.01E-2,0.06E-2
2470,4.88,5.90,1.14E-2,0.04E-2,0.01E-2,0.05E-2
2470,5.90,7.09,9.03E-3,0.33E-3,0.14E-3,0.40E-3
2470,7.09,8.48,7.12E-3,0.24E-3,0.10E-3,0.30E-3
2470,8.48,11.00,4.47E-3,0.13E-3,0.04E-3,0.17E-3
2470,11.00,16.60,2.16E-3,0.06E-3,0.02E-3,0.08E-3
2470,16.60,22.80,8.41E-4,0.30E-4,0.07E-4,0.28E-4
2470,22.80,41.90,2.35E-4,0.07E-4,0.04E-4,0.08E-4
2471,1.00,1.92,6.19E-3,1.17E-3,0.31E-3,0.58E-3
2471,1.92,2.97,1.23E-2,0.13E-2,0.05E-2,0.10E-2
2471,2.97,4.02,1.41E-2,0.14E-2,0.03E-2,0.07E-2
2471,4.02,4.88,1.34E-2,0.07E-2,0.02E-2,0.06E-2
2471,4.88,5.90,1.15E-2,0.05E-2,0.01E-2,0.05E-2
2471,5.90,7.09,9.08E-3,0.40E-3,0.19E-3,0.42E-3
2471,7.09,8.48,6.20E-3,0.28E-3,0.10E-3,0.27E-3
2471,8.48,11.00,4.25E-3,0.16E-3,0.05E-3,0.17E-3
2471,11.00,16.60,2.11E-3,0.07E-3,0.03E-3,0.08E-3
2471,16.60,22.80,7.89E-4,0.35E-4,0.10E-4,0.27E-4
2471,22.80,41.90,2.56E-4,0.09E-4,0.04E-4,0.09E-4
2474,1.00,1.92,6.55E-3,1.04E-3,0.35E-3,0.63E-3
2474,1.92,2.97,1.22E-2,0.10E-2,0.05E-2,0.10E-2
2474,2.97,4.02,1.45E-2,0.11E-2,0.02E-2,0.08E-2
2474,4.02,4.88,1.24E-2,0.05E-2,0.01E-2,0.06E-2
2474,4.88,5.90,1.13E-2,0.04E-2,0.01E-2,0.05E-2
2474,5.90,7.09,8.93E-3,0.32E-3,0.13E-3,0.39E-3
2474,7.09,8.48,6.10E-3,0.22E-3,0.09E-3,0.26E-3
2474,8.48,11.00,4.09E-3,0.13E-3,0.03E-3,0.16E-3
2474,11.00,16.60,1.95E-3,0.05E-3,0.02E-3,0.07E-3
2474,16.60,22.80,8.24E-4,0.30E-4,0.12E-4,0.29E-4
2474,22.80,41.90,2.48E-4,0.08E-4,0.04E-4,0.08E-4
2475,1.00,1.92,6.59E-3,1.02E-3,0.34E-3,0.63E-3
2475,1.92,2.97,1.35E-2,0.11E-2,0.06E-2,0.11E-2
2475,2.97,4.02,1.44E-2,0.11E-2,0.03E-2,0.08E-2
2475,4.02,4.88,1.21E-2,0.05E-2,0.01E-2,0.06E-2
2475,4.88,5.90,1.11E-2,0.04E-2,0.01E-2,0.05E-2
2475,5.90,7.09,8.33E-3,0.32E-3,0.16E-3,0.38E-3
2475,7.09,8.48,6.53E-3,0.23E-3,0.08E-3,0.27E-3
2475,8.48,11.00,4.11E-3,0.13E-3,0.06E-3,0.17E-3
2475,11.00,16.60,2.19E-3,0.06E-3,0.02E-3,0.08E-3
2475,16.60,22.80,8.20E-4,0.30E-4,0.13E-4,0.29E-4
2475,22.80,41.90,2.44E-4,0.08E-4,0.04E-4,0.08E-4
2476,1.00,1.92,8.30E-3,1.08E-3,0.40E-3,0.78E-3
2476,1.92,2.97,1.18E-2,0.10E-2,0.05E-2,0.09E-2
2476,2.97,4.02,1.24E-2,0.10E-2,0.02E-2,0.06E-2
2476,4.02,4.88,1.13E-2,0.05E-2,0.01E-2,0.05E-2
2476,4.88,5.90,1.08E-2,0.04E-2,0.01E-2,0.05E-2
2476,5.90,7.09,8.37E-3,0.32E-3,0.17E-3,0.38E-3
2476,7.09,8.48,6.06E-3,0.22E-3,0.07E-3,0.25E-3
2476,8.48,11.00,4.03E-3,0.13E-3,0.04E-3,0.16E-3
2476,11.00,16.60,1.94E-3,0.05E-3,0.02E-3,0.07E-3
2476,16.60,22.80,8.70E-4,0.31E-4,0.15E-4,0.32E-4
2476,22.80,41.90,2.48E-4,0.08E-4,0.05E-4,0.09E-4
2477,1.00,1.92,7.08E-3,1.05E-3,0.35E-3,0.66E-3
2477,1.92,2.97,1.10E-2,0.10E-2,0.05E-2,0.09E-2
2477,2.97,4.02,1.34E-2,0.10E-2,0.02E-2,0.07E-2
2477,4.02,4.88,1.12E-2,0.05E-2,0.01E-2,0.05E-2
2477,4.88,5.90,1.03E-2,0.04E-2,0.01E-2,0.05E-2
2477,5.90,7.09,8.60E-3,0.32E-3,0.13E-3,0.38E-3
2477,7.09,8.48,6.65E-3,0.24E-3,0.09E-3,0.28E-3
2477,8.48,11.00,3.98E-3,0.13E-3,0.04E-3,0.16E-3
2477,11.00,16.60,1.99E-3,0.06E-3,0.02E-3,0.07E-3
2477,16.60,22.80,8.91E-4,0.31E-4,0.13E-4,0.31E-4
2477,22.80,41.90,2.56E-4,0.08E-4,0.05E-4,0.09E-4
2478,1.00,1.92,5.33E-3,0.98E-3,0.27E-3,0.50E-3
2478,1.92,2.97,9.89E-3,1.09E-3,0.43E-3,0.79E-3
2478,2.97,4.02,1.11E-2,0.11E-2,0.02E-2,0.06E-2
2478,4.02,4.88,1.17E-2,0.06E-2,0.01E-2,0.05E-2
2478,4.88,5.90,1.09E-2,0.05E-2,0.01E-2,0.05E-2
2478,5.90,7.09,8.21E-3,0.34E-3,0.16E-3,0.37E-3
2478,7.09,8.48,6.34E-3,0.25E-3,0.11E-3,0.27E-3
2478,8.48,11.00,4.06E-3,0.13E-3,0.06E-3,0.16E-3
2478,11.00,16.60,2.06E-3,0.06E-3,0.02E-3,0.08E-3
2478,16.60,22.80,7.91E-4,0.30E-4,0.10E-4,0.27E-4
2478,22.80,41.90,2.32E-4,0.08E-4,0.03E-4,0.07E-4
2479,1.00,1.92,8.06E-3,1.09E-3,0.39E-3,0.76E-3
2479,1.92,2.97,1.07E-2,0.10E-2,0.05E-2,0.08E-2
2479,2.97,4.02,1.33E-2,0.11E-2,0.03E-2,0.07E-2
2479,4.02,4.88,1.21E-2,0.05E-2,0.01E-2,0.06E-2
2479,4.88,5.90,1.17E-2,0.05E-2,0.01E-2,0.05E-2
2479,5.90,7.09,7.93E-3,0.32E-3,0.15E-3,0.36E-3
2479,7.09,8.48,6.09E-3,0.22E-3,0.07E-3,0.25E-3
2479,8.48,11.00,4.24E-3,0.13E-3,0.05E-3,0.17E-3
2479,11.00,16.60,1.89E-3,0.05E-3,0.02E-3,0.07E-3
2479,16.60,22.80,8.13E-4,0.29E-4,0.14E-4,0.29E-4
2479,22.80,41.90,2.45E-4,0.07E-4,0.03E-4,0.08E-4
2480,1.00,1.92,5.47E-3,0.91E-3,0.27E-3,0.52E-3
2480,1.92,2.97,1.13E-2,0.10E-2,0.05E-2,0.09E-2
2480,2.97,4.02,1.22E-2,0.11E-2,0.02E-2,0.06E-2
2480,4.02,4.88,1.19E-2,0.05E-2,0.01E-2,0.05E-2
2480,4.88,5.90,1.14E-2,0.05E-2,0.01E-2,0.05E-2
2480,5.90,7.09,8.94E-3,0.33E-3,0.16E-3,0.40E-3
2480,7.09,8.48,6.34E-3,0.23E-3,0.09E-3,0.27E-3
2480,8.48,11.00,4.28E-3,0.13E-3,0.04E-3,0.17E-3
2480,11.00,16.60,2.05E-3,0.06E-3,0.02E-3,0.08E-3
2480,16.60,22.80,8.18E-4,0.30E-4,0.12E-4,0.29E-4
2480,22.80,41.90,2.51E-4,0.08E-4,0.03E-4,0.08E-4
2481,1.00,1.92,6.71E-3,1.06E-3,0.33E-3,0.63E-3
2481,1.92,2.97,1.08E-2,0.11E-2,0.05E-2,0.09E-2
2481,2.97,4.02,1.40E-2,0.11E-2,0.02E-2,0.07E-2
2481,4.02,4.88,1.14E-2,0.06E-2,0.01E-2,0.05E-2
2481,4.88,5.90,1.10E-2,0.05E-2,0.01E-2,0.05E-2
2481,5.90,7.09,8.62E-3,0.34E-3,0.13E-3,0.38E-3
2481,7.09,8.48,7.03E-3,0.26E-3,0.12E-3,0.30E-3
2481,8.48,11.00,3.80E-3,0.13E-3,0.04E-3,0.15E-3
2481,11.00,16.60,1.99E-3,0.06E-3,0.03E-3,0.07E-3
2481,16.60,22.80,8.61E-4,0.32E-4,0.14E-4,0.31E-4
2481,22.80,41.90,2.51E-4,0.08E-4,0.04E-4,0.08E-4
2482,1.00,1.92,6.83E-3,1.07E-3,0.34E-3,0.64E-3
2482,1.92,2.97,1.17E-2,0.11E-2,0.05E-2,0.09E-2
2482,2.97,4.02,1.50E-2,0.11E-2,0.02E-2,0.08E-2
2482,4.02,4.88,1.19E-2,0.06E-2,0.01E-2,0.06E-2
2482,4.88,5.90,1.02E-2,0.04E-2,0.01E-2,0.05E-2
2482,5.90,7.09,9.04E-3,0.34E-3,0.17E-3,0.41E-3
2482,7.09,8.48,6.79E-3,0.24E-3,0.09E-3,0.28E-3
2482,8.48,11.00,4.09E-3,0.13E-3,0.04E-3,0.16E-3
2482,11.00,16.60,2.02E-3,0.06E-3,0.02E-3,0.07E-3
2482,16.60,22.80,8.00E-4,0.29E-4,0.08E-4,0.27E-4
2482,22.80,41.90,2.48E-4,0.08E-4,0.03E-4,0.08E-4
2483,1.00,1.92,7.72E-3,1.16E-3,0.37E-3,0.72E-3
2483,1.92,2.97,1.19E-2,0.12E-2,0.05E-2,0.10E-2
2483,2.97,4.02,1.48E-2,0.12E-2,0.03E-2,0.08E-2
2483,4.02,4.88,1.25E-2,0.06E-2,0.02E-2,0.06E-2
2483,4.88,5.90,1.13E-2,0.05E-2,0.01E-2,0.05E-2
2483,5.90,7.09,9.67E-3,0.36E-3,0.18E-3,0.44E-3
2483,7.09,8.48,6.64E-3,0.24E-3,0.07E-3,0.27E-3
2483,8.48,11.00,4.36E-3,0.14E-3,0.04E-3,0.17E-3
2483,11.00,16.60,1.91E-3,0.06E-3,0.01E-3,0.07E-3
2483,16.60,22.80,8.48E-4,0.31E-4,0.11E-4,0.29E-4
2483,22.80,41.90,2.37E-4,0.08E-4,0.03E-4,0.08E-4
2484,1.00,1.92,6.63E-3,1.25E-3,0.34E-3,0.63E-3
2484,1.92,2.97,1.15E-2,0.13E-2,0.05E-2,0.09E-2
2484,2.97,4.02,1.58E-2,0.12E-2,0.02E-2,0.08E-2
2484,4.02,4.88,1.26E-2,0.06E-2,0.01E-2,0.06E-2
2484,4.88,5.90,1.10E-2,0.05E-2,0.01E-2,0.05E-2
2484,5.90,7.09,9.29E-3,0.36E-3,0.15E-3,0.41E-3
2484,7.09,8.48,6.25E-3,0.24E-3,0.10E-3,0.27E-3
2484,8.48,11.00,4.33E-3,0.14E-3,0.05E-3,0.17E-3
2484,11.00,16.60,2.04E-3,0.06E-3,0.03E-3,0.08E-3
2484,16.60,22.80,8.50E-4,0.32E-4,0.17E-4,0.32E-4
2484,22.80,41.90,2.47E-4,0.08E-4,0.05E-4,0.09E-4
2485,1.00,1.92,1.01E-2,0.15E-2,0.05E-2,0.09E-2
2485,1.92,2.97,1.22E-2,0.12E-2,0.05E-2,0.10E-2
2485,2.97,4.02,1.43E-2,0.11E-2,0.02E-2,0.07E-2
2485,4.02,4.88,1.18E-2,0.06E-2,0.01E-2,0.05E-2
2485,4.88,5.90,1.16E-2,0.05E-2,0.01E-2,0.05E-2
2485,5.90,7.09,9.35E-3,0.36E-3,0.18E-3,0.43E-3
2485,7.09,8.48,6.43E-3,0.24E-3,0.10E-3,0.27E-3
2485,8.48,11.00,4.34E-3,0.14E-3,0.04E-3,0.17E-3
2485,11.00,16.60,1.96E-3,0.06E-3,0.02E-3,0.07E-3
2485,16.60,22.80,9.03E-4,0.33E-4,0.18E-4,0.34E-4
2485,22.80,41.90,2.32E-4,0.08E-4,0.03E-4,0.07E-4
2486,1.00,1.92,5.21E-3,1.05E-3,0.27E-3,0.49E-3
2486,1.92,2.97,1.33E-2,0.12E-2,0.06E-2,0.11E-2
2486,2.97,4.02,1.36E-2,0.11E-2,0.03E-2,0.07E-2
2486,4.02,4.88,1.17E-2,0.06E-2,0.01E-2,0.05E-2
2486,4.88,5.90,1.15E-2,0.05E-2,0.01E-2,0.05E-2
2486,5.90,7.09,8.67E-3,0.34E-3,0.17E-3,0.40E-3
2486,7.09,8.48,6.56E-3,0.25E-3,0.13E-3,0.29E-3
2486,8.48,11.00,4.24E-3,0.14E-3,0.03E-3,0.16E-3
2486,11.00,16.60,2.05E-3,0.06E-3,0.03E-3,0.08E-3
2486,16.60,22.80,9.26E-4,0.34E-4,0.14E-4,0.33E-4
2486,22.80,41.90,2.47E-4,0.08E-4,0.04E-4,0.08E-4
2487,1.00,1.92,7.98E-3,1.13E-3,0.39E-3,0.75E-3
2487,1.92,2.97,1.28E-2,0.11E-2,0.05E-2,0.10E-2
2487,2.97,4.02,1.50E-2,0.11E-2,0.02E-2,0.08E-2
2487,4.02,4.88,1.32E-2,0.06E-2,0.01E-2,0.06E-2
2487,4.88,5.90,1.19E-2,0.05E-2,0.01E-2,0.05E-2
2487,5.90,7.09,8.87E-3,0.34E-3,0.18E-3,0.41E-3
2487,7.09,8.48,6.08E-3,0.22E-3,0.09E-3,0.26E-3
2487,8.48,11.00,4.62E-3,0.14E-3,0.03E-3,0.18E-3
2487,11.00,16.60,2.02E-3,0.05E-3,0.02E-3,0.07E-3
2487,16.60,22.80,8.85E-4,0.31E-4,0.13E-4,0.31E-4
2487,22.80,41.90,2.41E-4,0.07E-4,0.03E-4,0.08E-4
2488,1.00,1.92,7.62E-3,1.24E-3,0.39E-3,0.72E-3
2488,1.92,2.97,1.20E-2,0.12E-2,0.05E-2,0.10E-2
2488,2.97,4.02,1.39E-2,0.12E-2,0.03E-2,0.07E-2
2488,4.02,4.88,1.39E-2,0.06E-2,0.01E-2,0.06E-2
2488,4.88,5.90,1.28E-2,0.05E-2,0.01E-2,0.06E-2
2488,5.90,7.09,9.59E-3,0.36E-3,0.16E-3,0.43E-3
2488,7.09,8.48,6.40E-3,0.24E-3,0.08E-3,0.27E-3
2488,8.48,11.00,4.18E-3,0.14E-3,0.05E-3,0.16E-3
2488,11.00,16.60,2.07E-3,0.06E-3,0.02E-3,0.08E-3
2488,16.60,22.80,7.89E-4,0.30E-4,0.10E-4,0.27E-4
2488,22.80,41.90,2.42E-4,0.08E-4,0.03E-4,0.08E-4
2489,1.00,1.92,7.72E-3,1.18E-3,0.38E-3,0.72E-3
2489,1.92,2.97,1.36E-2,0.12E-2,0.06E-2,0.11E-2
2489,2.97,4.02,1.31E-2,0.11E-2,0.03E-2,0.07E-2
2489,4.02,4.88,1.29E-2,0.06E-2,0.01E-2,0.06E-2
2489,4.88,5.90,1.13E-2,0.05E-2,0.01E-2,0.05E-2
2489,5.90,7.09,1.04E-2,0.04E-2,0.01E-2,0.04E-2
2489,7.09,8.48,6.88E-3,0.25E-3,0.10E-3,0.29E-3
2489,8.48,11.00,4.20E-3,0.13E-3,0.05E-3,0.17E-3
2489,11.00,16.60,2.14E-3,0.06E-3,0.02E-3,0.08E-3
2489,16.60,22.80,7.90E-4,0.30E-4,0.09E-4,0.27E-4
2489,22.80,41.90,2.42E-4,0.08E-4,0.04E-4,0.08E-4
2490,1.00,1.92,8.53E-3,1.33E-3,0.42E-3,0.80E-3
2490,1.92,2.97,1.46E-2,0.12E-2,0.06E-2,0.12E-2
2490,2.97,4.02,1.39E-2,0.13E-2,0.03E-2,0.08E-2
2490,4.02,4.88,1.40E-2,0.06E-2,0.02E-2,0.07E-2
2490,4.88,5.90,1.19E-2,0.05E-2,0.01E-2,0.05E-2
2490,5.90,7.09,9.99E-3,0.38E-3,0.21E-3,0.46E-3
2490,7.09,8.48,6.95E-3,0.26E-3,0.09E-3,0.29E-3
2490,8.48,11.00,4.31E-3,0.14E-3,0.04E-3,0.17E-3
2490,11.00,16.60,2.10E-3,0.06E-3,0.03E-3,0.08E-3
2490,16.60,22.80,9.03E-4,0.33E-4,0.21E-4,0.36E-4
2490,22.80,41.90,2.47E-4,0.08E-4,0.03E-4,0.08E-4
2491,1.00,1.92,9.49E-3,1.41E-3,0.46E-3,0.89E-3
2491,1.92,2.97,1.38E-2,0.12E-2,0.06E-2,0.11E-2
2491,2.97,4.02,1.38E-2,0.12E-2,0.03E-2,0.07E-2
2491,4.02,4.88,1.31E-2,0.06E-2,0.01E-2,0.06E-2
2491,4.88,5.90,1.18E-2,0.05E-2,0.01E-2,0.05E-2
2491,5.90,7.09,9.82E-3,0.36E-3,0.18E-3,0.44E-3
2491,7.09,8.48,6.11E-3,0.24E-3,0.11E-3,0.26E-3
