bartels_rotation_number,rigidity_min_GV,rigidity_max_GV,helium_flux m^-2sr^-1s^-1GV^-1,helium_flux_error_statistical m^-2sr^-1s^-1GV^-1,helium_flux_error_time_dependent m^-2sr^-1s^-1GV^-1,helium_flux_error_time_independent m^-2sr^-1s^-1GV^-1,center_date
2426,1.92,2.15,75.17,0.23,0.48,1.13,2011-05-28
2426,2.15,2.4,68.11,0.2,0.4,0.87,2011-05-28
2426,2.4,2.67,61.08,0.17,0.34,0.71,2011-05-28
2426,2.67,2.97,53.93,0.14,0.29,0.6,2011-05-28
2426,2.97,3.29,46.95,0.12,0.25,0.51,2011-05-28
2426,3.29,3.64,40.4,0.1,0.21,0.43,2011-05-28
2426,3.64,4.02,34.19,0.08,0.18,0.37,2011-05-28
2426,4.02,4.43,28.94,0.07,0.15,0.31,2011-05-28
2426,4.43,4.88,24.06,0.06,0.12,0.26,2011-05-28
2426,4.88,5.37,20.08,0.05,0.1,0.22,2011-05-28
2426,5.37,5.9,16.54,0.04,0.08,0.18,2011-05-28
2426,5.9,6.47,13.57,0.03,0.07,0.15,2011-05-28
2426,6.47,7.09,11.11,0.03,0.06,0.12,2011-05-28
2426,7.09,7.76,9.052,0.023,0.045,0.1,2011-05-28
2426,7.76,8.48,7.38,0.019,0.037,0.082,2011-05-28
2426,8.48,9.26,5.985,0.016,0.03,0.067,2011-05-28
2426,9.26,10.1,4.86,0.014,0.024,0.055,2011-05-28
2426,10.1,11.0,3.959,0.012,0.02,0.045,2011-05-28
2426,11.0,12.0,3.199,0.01,0.016,0.037,2011-05-28
2426,12.0,13.0,2.617,0.009,0.013,0.03,2011-05-28
2426,13.0,14.1,2.131,0.007,0.011,0.025,2011-05-28
2426,14.1,15.3,1.741,0.006,0.009,0.02,2011-05-28
2426,15.3,16.6,1.414,0.005,0.007,0.017,2011-05-28
2426,16.6,18.0,1.151,0.004,0.006,0.014,2011-05-28
2426,18.0,19.5,0.9341,0.0034,0.0046,0.0112,2011-05-28
2426,19.5,21.1,0.7582,0.0029,0.0038,0.0091,2011-05-28
2426,21.1,22.8,0.6205,0.0024,0.0031,0.0075,2011-05-28
2426,22.8,24.7,0.5018,0.002,0.0025,0.0061,2011-05-28
2426,24.7,26.7,0.4092,0.0018,0.002,0.005,2011-05-28
2426,26.7,28.8,0.3337,0.0016,0.0017,0.0041,2011-05-28
2426,28.8,31.1,0.2723,0.0013,0.0014,0.0034,2011-05-28
2426,31.1,33.5,0.2209,0.0012,0.0011,0.0028,2011-05-28
2426,33.5,36.1,0.1819,0.001,0.0009,0.0023,2011-05-28
2426,36.1,38.9,0.1485,0.0009,0.0007,0.0019,2011-05-28
2426,38.9,41.9,0.121,0.0008,0.0006,0.0015,2011-05-28
2426,41.9,45.1,0.09939,0.00068,0.00049,0.00128,2011-05-28
2426,45.1,48.5,0.0817,0.0006,0.00041,0.00107,2011-05-28
2426,48.5,52.2,0.06612,0.00052,0.00033,0.00088,2011-05-28
2426,52.2,56.1,0.05415,0.00046,0.00027,0.00073,2011-05-28
2426,56.1,60.3,0.04376,0.00039,0.00022,0.0006,2011-05-28
2427,1.92,2.15,69.25,0.17,0.46,1.04,2011-06-24
2427,2.15,2.4,63.25,0.15,0.38,0.81,2011-06-24
2427,2.4,2.67,57.0,0.12,0.31,0.66,2011-06-24
2427,2.67,2.97,50.64,0.1,0.27,0.56,2011-06-24
2427,2.97,3.29,44.28,0.09,0.23,0.48,2011-06-24
2427,3.29,3.64,38.36,0.08,0.19,0.41,2011-06-24
2427,3.64,4.02,32.67,0.06,0.16,0.35,2011-06-24
2427,4.02,4.43,27.63,0.05,0.14,0.3,2011-06-24
2427,4.43,4.88,23.19,0.04,0.11,0.25,2011-06-24
2427,4.88,5.37,19.25,0.04,0.09,0.21,2011-06-24
2427,5.37,5.9,15.98,0.03,0.08,0.17,2011-06-24
2427,5.9,6.47,13.11,0.02,0.06,0.14,2011-06-24
2427,6.47,7.09,10.79,0.02,0.05,0.12,2011-06-24
2427,7.09,7.76,8.804,0.017,0.042,0.098,2011-06-24
2427,7.76,8.48,7.175,0.015,0.034,0.08,2011-06-24
2427,8.48,9.26,5.841,0.012,0.028,0.066,2011-06-24
2427,9.26,10.1,4.76,0.01,0.023,0.054,2011-06-24
2427,10.1,11.0,3.879,0.009,0.018,0.044,2011-06-24
2427,11.0,12.0,3.147,0.007,0.015,0.036,2011-06-24
2427,12.0,13.0,2.568,0.007,0.012,0.03,2011-06-24
2427,13.0,14.1,2.114,0.006,0.01,0.024,2011-06-24
2427,14.1,15.3,1.722,0.005,0.008,0.02,2011-06-24
2427,15.3,16.6,1.39,0.004,0.007,0.016,2011-06-24
2427,16.6,18.0,1.139,0.003,0.005,0.014,2011-06-24
2427,18.0,19.5,0.922,0.0026,0.0044,0.011,2011-06-24
2427,19.5,21.1,0.7486,0.0022,0.0035,0.009,2011-06-24
2427,21.1,22.8,0.6181,0.0019,0.0029,0.0075,2011-06-24
2427,22.8,24.7,0.5001,0.0016,0.0024,0.0061,2011-06-24
2427,24.7,26.7,0.4032,0.0014,0.0019,0.005,2011-06-24
2427,26.7,28.8,0.3308,0.0012,0.0016,0.0041,2011-06-24
2427,28.8,31.1,0.2693,0.001,0.0013,0.0033,2011-06-24
2427,31.1,33.5,0.2213,0.0009,0.001,0.0028,2011-06-24
2427,33.5,36.1,0.1798,0.0008,0.0008,0.0023,2011-06-24
2427,36.1,38.9,0.1471,0.0007,0.0007,0.0019,2011-06-24
2427,38.9,41.9,0.121,0.0006,0.0006,0.0015,2011-06-24
2427,41.9,45.1,0.0994,0.00054,0.00047,0.00128,2011-06-24
2427,45.1,48.5,0.0816,0.00047,0.00038,0.00107,2011-06-24
2427,48.5,52.2,0.06631,0.00041,0.00031,0.00088,2011-06-24
2427,52.2,56.1,0.05455,0.00036,0.00026,0.00074,2011-06-24
2427,56.1,60.3,0.0447,0.00031,0.00021,0.00061,2011-06-24
2428,1.92,2.15,71.81,0.17,0.42,1.08,2011-07-21
2428,2.15,2.4,65.72,0.15,0.35,0.84,2011-07-21
2428,2.4,2.67,59.04,0.12,0.29,0.69,2011-07-21
2428,2.67,2.97,52.35,0.1,0.25,0.58,2011-07-21
2428,2.97,3.29,46.02,0.09,0.22,0.5,2011-07-21
2428,3.29,3.64,39.65,0.08,0.19,0.43,2011-07-21
2428,3.64,4.02,33.73,0.06,0.16,0.36,2011-07-21
2428,4.02,4.43,28.57,0.05,0.13,0.31,2011-07-21
2428,4.43,4.88,23.88,0.04,0.11,0.26,2011-07-21
2428,4.88,5.37,19.89,0.04,0.09,0.22,2011-07-21
2428,5.37,5.9,16.45,0.03,0.07,0.18,2011-07-21
2428,5.9,6.47,13.53,0.02,0.06,0.15,2011-07-21
2428,6.47,7.09,11.11,0.02,0.05,0.12,2011-07-21
2428,7.09,7.76,9.062,0.017,0.041,0.101,2011-07-21
2428,7.76,8.48,7.342,0.014,0.033,0.082,2011-07-21
2428,8.48,9.26,6.005,0.012,0.027,0.067,2011-07-21
2428,9.26,10.1,4.868,0.01,0.022,0.055,2011-07-21
2428,10.1,11.0,3.972,0.009,0.018,0.045,2011-07-21
2428,11.0,12.0,3.229,0.007,0.014,0.037,2011-07-21
2428,12.0,13.0,2.622,0.007,0.012,0.03,2011-07-21
2428,13.0,14.1,2.146,0.005,0.01,0.025,2011-07-21
2428,14.1,15.3,1.753,0.005,0.008,0.02,2011-07-21
2428,15.3,16.6,1.419,0.004,0.006,0.017,2011-07-21
2428,16.6,18.0,1.153,0.003,0.005,0.014,2011-07-21
2428,18.0,19.5,0.9357,0.0026,0.0042,0.0112,2011-07-21
2428,19.5,21.1,0.7577,0.0022,0.0034,0.0091,2011-07-21
2428,21.1,22.8,0.6188,0.0019,0.0028,0.0075,2011-07-21
2428,22.8,24.7,0.5029,0.0016,0.0022,0.0061,2011-07-21
2428,24.7,26.7,0.4064,0.0013,0.0018,0.005,2011-07-21
2428,26.7,28.8,0.333,0.0012,0.0015,0.0041,2011-07-21
2428,28.8,31.1,0.2698,0.001,0.0012,0.0034,2011-07-21
2428,31.1,33.5,0.2234,0.0009,0.001,0.0028,2011-07-21
2428,33.5,36.1,0.1818,0.0008,0.0008,0.0023,2011-07-21
2428,36.1,38.9,0.1497,0.0007,0.0007,0.0019,2011-07-21
2428,38.9,41.9,0.1214,0.0006,0.0005,0.0016,2011-07-21
2428,41.9,45.1,0.09958,0.00052,0.00045,0.00129,2011-07-21
2428,45.1,48.5,0.08241,0.00046,0.00037,0.00108,2011-07-21
2428,48.5,52.2,0.06691,0.0004,0.0003,0.00089,2011-07-21
2428,52.2,56.1,0.0546,0.00035,0.00025,0.00074,2011-07-21
2428,56.1,60.3,0.04511,0.00031,0.0002,0.00062,2011-07-21
2429,1.92,2.15,71.67,0.16,0.41,1.08,2011-08-17
2429,2.15,2.4,65.75,0.14,0.34,0.84,2011-08-17
2429,2.4,2.67,59.12,0.12,0.28,0.69,2011-08-17
2429,2.67,2.97,52.44,0.1,0.24,0.58,2011-08-17
2429,2.97,3.29,46.1,0.09,0.21,0.5,2011-08-17
2429,3.29,3.64,39.75,0.07,0.18,0.43,2011-08-17
2429,3.64,4.02,33.89,0.06,0.15,0.36,2011-08-17
2429,4.02,4.43,28.58,0.05,0.13,0.31,2011-08-17
2429,4.43,4.88,23.99,0.04,0.11,0.26,2011-08-17
2429,4.88,5.37,19.96,0.03,0.09,0.22,2011-08-17
2429,5.37,5.9,16.53,0.03,0.07,0.18,2011-08-17
2429,5.9,6.47,13.61,0.02,0.06,0.15,2011-08-17
2429,6.47,7.09,11.15,0.02,0.05,0.12,2011-08-17
2429,7.09,7.76,9.089,0.016,0.039,0.101,2011-08-17
2429,7.76,8.48,7.423,0.014,0.032,0.083,2011-08-17
2429,8.48,9.26,6.031,0.012,0.026,0.068,2011-08-17
2429,9.26,10.1,4.896,0.01,0.021,0.055,2011-08-17
2429,10.1,11.0,3.984,0.008,0.017,0.045,2011-08-17
2429,11.0,12.0,3.243,0.007,0.014,0.037,2011-08-17
2429,12.0,13.0,2.648,0.006,0.011,0.03,2011-08-17
2429,13.0,14.1,2.153,0.005,0.009,0.025,2011-08-17
2429,14.1,15.3,1.761,0.004,0.008,0.021,2011-08-17
2429,15.3,16.6,1.423,0.004,0.006,0.017,2011-08-17
2429,16.6,18.0,1.157,0.003,0.005,0.014,2011-08-17
2429,18.0,19.5,0.9384,0.0025,0.004,0.0112,2011-08-17
2429,19.5,21.1,0.7619,0.0021,0.0033,0.0092,2011-08-17
2429,21.1,22.8,0.6225,0.0018,0.0027,0.0076,2011-08-17
2429,22.8,24.7,0.5064,0.0015,0.0022,0.0062,2011-08-17
2429,24.7,26.7,0.4097,0.0013,0.0017,0.005,2011-08-17
2429,26.7,28.8,0.3359,0.0012,0.0014,0.0042,2011-08-17
2429,28.8,31.1,0.2718,0.001,0.0012,0.0034,2011-08-17
2429,31.1,33.5,0.2235,0.0009,0.001,0.0028,2011-08-17
2429,33.5,36.1,0.1823,0.0008,0.0008,0.0023,2011-08-17
2429,36.1,38.9,0.15,0.0007,0.0006,0.0019,2011-08-17
2429,38.9,41.9,0.123,0.0006,0.0005,0.0016,2011-08-17
2429,41.9,45.1,0.1002,0.0005,0.0004,0.0013,2011-08-17
2429,45.1,48.5,0.08202,0.00045,0.00035,0.00107,2011-08-17
2429,48.5,52.2,0.06672,0.00039,0.00028,0.00089,2011-08-17
2429,52.2,56.1,0.0549,0.00034,0.00023,0.00074,2011-08-17
2429,56.1,60.3,0.04518,0.0003,0.00019,0.00062,2011-08-17
2430,1.92,2.15,72.88,0.16,0.38,1.1,2011-09-13
2430,2.15,2.4,66.19,0.14,0.32,0.84,2011-09-13
2430,2.4,2.67,59.47,0.12,0.27,0.69,2011-09-13
2430,2.67,2.97,52.67,0.1,0.23,0.58,2011-09-13
2430,2.97,3.29,46.35,0.09,0.2,0.5,2011-09-13
2430,3.29,3.64,39.89,0.07,0.17,0.43,2011-09-13
2430,3.64,4.02,34.02,0.06,0.14,0.36,2011-09-13
2430,4.02,4.43,28.6,0.05,0.12,0.31,2011-09-13
2430,4.43,4.88,24.03,0.04,0.1,0.26,2011-09-13
2430,4.88,5.37,19.98,0.03,0.08,0.22,2011-09-13
2430,5.37,5.9,16.56,0.03,0.07,0.18,2011-09-13
2430,5.9,6.47,13.59,0.02,0.05,0.15,2011-09-13
2430,6.47,7.09,11.17,0.02,0.04,0.12,2011-09-13
2430,7.09,7.76,9.061,0.016,0.036,0.101,2011-09-13
2430,7.76,8.48,7.382,0.014,0.029,0.082,2011-09-13
2430,8.48,9.26,6.019,0.012,0.024,0.068,2011-09-13
2430,9.26,10.1,4.887,0.01,0.019,0.055,2011-09-13
2430,10.1,11.0,3.974,0.008,0.016,0.045,2011-09-13
2430,11.0,12.0,3.238,0.007,0.013,0.037,2011-09-13
2430,12.0,13.0,2.635,0.006,0.01,0.03,2011-09-13
2430,13.0,14.1,2.151,0.005,0.008,0.025,2011-09-13
2430,14.1,15.3,1.748,0.004,0.007,0.02,2011-09-13
2430,15.3,16.6,1.425,0.004,0.006,0.017,2011-09-13
2430,16.6,18.0,1.153,0.003,0.004,0.014,2011-09-13
2430,18.0,19.5,0.9397,0.0024,0.0037,0.0112,2011-09-13
2430,19.5,21.1,0.7598,0.002,0.003,0.0092,2011-09-13
2430,21.1,22.8,0.6204,0.0018,0.0024,0.0075,2011-09-13
2430,22.8,24.7,0.5079,0.0015,0.002,0.0062,2011-09-13
2430,24.7,26.7,0.4097,0.0013,0.0016,0.005,2011-09-13
2430,26.7,28.8,0.3319,0.0011,0.0013,0.0041,2011-09-13
2430,28.8,31.1,0.2744,0.001,0.0011,0.0034,2011-09-13
2430,31.1,33.5,0.2219,0.0009,0.0009,0.0028,2011-09-13
2430,33.5,36.1,0.181,0.0007,0.0007,0.0023,2011-09-13
2430,36.1,38.9,0.148,0.0006,0.0006,0.0019,2011-09-13
2430,38.9,41.9,0.1209,0.0006,0.0005,0.0015,2011-09-13
2430,41.9,45.1,0.09965,0.0005,0.00039,0.00129,2011-09-13
2430,45.1,48.5,0.08101,0.00044,0.00032,0.00106,2011-09-13
2430,48.5,52.2,0.0666,0.00038,0.00026,0.00088,2011-09-13
2430,52.2,56.1,0.05424,0.00033,0.00021,0.00073,2011-09-13
2430,56.1,60.3,0.045,0.00029,0.00018,0.00062,2011-09-13
2431,1.92,2.15,66.0,0.15,0.4,0.99,2011-10-10
2431,2.15,2.4,60.92,0.13,0.33,0.78,2011-10-10
2431,2.4,2.67,55.12,0.11,0.26,0.64,2011-10-10
2431,2.67,2.97,49.38,0.09,0.22,0.55,2011-10-10
2431,2.97,3.29,43.47,0.08,0.19,0.47,2011-10-10
2431,3.29,3.64,37.79,0.07,0.16,0.41,2011-10-10
2431,3.64,4.02,32.4,0.06,0.14,0.35,2011-10-10
2431,4.02,4.43,27.43,0.05,0.11,0.29,2011-10-10
2431,4.43,4.88,23.05,0.04,0.09,0.25,2011-10-10
2431,4.88,5.37,19.25,0.03,0.08,0.21,2011-10-10
2431,5.37,5.9,16.0,0.03,0.06,0.17,2011-10-10
2431,5.9,6.47,13.16,0.02,0.05,0.14,2011-10-10
2431,6.47,7.09,10.82,0.02,0.04,0.12,2011-10-10
2431,7.09,7.76,8.846,0.016,0.035,0.098,2011-10-10
2431,7.76,8.48,7.197,0.013,0.029,0.08,2011-10-10
2431,8.48,9.26,5.883,0.011,0.024,0.066,2011-10-10
2431,9.26,10.1,4.788,0.01,0.019,0.054,2011-10-10
2431,10.1,11.0,3.909,0.008,0.016,0.044,2011-10-10
2431,11.0,12.0,3.177,0.007,0.013,0.036,2011-10-10
2431,12.0,13.0,2.588,0.006,0.01,0.03,2011-10-10
2431,13.0,14.1,2.119,0.005,0.008,0.025,2011-10-10
2431,14.1,15.3,1.727,0.004,0.007,0.02,2011-10-10
2431,15.3,16.6,1.402,0.004,0.006,0.017,2011-10-10
2431,16.6,18.0,1.141,0.003,0.005,0.014,2011-10-10
2431,18.0,19.5,0.9241,0.0024,0.0037,0.011,2011-10-10
2431,19.5,21.1,0.7556,0.0021,0.003,0.0091,2011-10-10
2431,21.1,22.8,0.6142,0.0017,0.0024,0.0074,2011-10-10
2431,22.8,24.7,0.501,0.0015,0.002,0.0061,2011-10-10
2431,24.7,26.7,0.407,0.0013,0.0016,0.005,2011-10-10
2431,26.7,28.8,0.3334,0.0011,0.0013,0.0041,2011-10-10
2431,28.8,31.1,0.2718,0.001,0.0011,0.0034,2011-10-10
2431,31.1,33.5,0.2216,0.0009,0.0009,0.0028,2011-10-10
2431,33.5,36.1,0.1821,0.0007,0.0007,0.0023,2011-10-10
2431,36.1,38.9,0.1508,0.0007,0.0006,0.0019,2011-10-10
2431,38.9,41.9,0.1215,0.0006,0.0005,0.0016,2011-10-10
2431,41.9,45.1,0.09912,0.0005,0.0004,0.00128,2011-10-10
2431,45.1,48.5,0.08152,0.00044,0.00033,0.00107,2011-10-10
2431,48.5,52.2,0.06636,0.00038,0.00026,0.00088,2011-10-10
2431,52.2,56.1,0.05509,0.00034,0.00022,0.00074,2011-10-10
2431,56.1,60.3,0.0449,0.00029,0.00018,0.00062,2011-10-10
2432,1.92,2.15,71.11,0.16,0.36,1.07,2011-11-06
2432,2.15,2.4,64.99,0.14,0.29,0.83,2011-11-06
2432,2.4,2.67,58.49,0.12,0.23,0.68,2011-11-06
2432,2.67,2.97,52.19,0.1,0.19,0.58,2011-11-06
2432,2.97,3.29,45.62,0.09,0.17,0.49,2011-11-06
2432,3.29,3.64,39.6,0.07,0.14,0.43,2011-11-06
2432,3.64,4.02,33.62,0.06,0.12,0.36,2011-11-06
2432,4.02,4.43,28.41,0.05,0.1,0.3,2011-11-06
2432,4.43,4.88,23.89,0.04,0.08,0.26,2011-11-06
2432,4.88,5.37,19.88,0.03,0.07,0.22,2011-11-06
2432,5.37,5.9,16.4,0.03,0.06,0.18,2011-11-06
2432,5.9,6.47,13.55,0.02,0.05,0.15,2011-11-06
2432,6.47,7.09,11.14,0.02,0.04,0.12,2011-11-06
2432,7.09,7.76,9.042,0.016,0.03,0.1,2011-11-06
2432,7.76,8.48,7.382,0.014,0.024,0.082,2011-11-06
2432,8.48,9.26,5.998,0.012,0.02,0.067,2011-11-06
2432,9.26,10.1,4.86,0.01,0.016,0.055,2011-11-06
2432,10.1,11.0,3.981,0.008,0.013,0.045,2011-11-06
2432,11.0,12.0,3.218,0.007,0.011,0.037,2011-11-06
2432,12.0,13.0,2.624,0.006,0.009,0.03,2011-11-06
2432,13.0,14.1,2.142,0.005,0.007,0.025,2011-11-06
2432,14.1,15.3,1.751,0.004,0.006,0.02,2011-11-06
2432,15.3,16.6,1.424,0.004,0.005,0.017,2011-11-06
2432,16.6,18.0,1.153,0.003,0.004,0.014,2011-11-06
2432,18.0,19.5,0.9367,0.0025,0.0031,0.0112,2011-11-06
2432,19.5,21.1,0.7581,0.0021,0.0025,0.0091,2011-11-06
2432,21.1,22.8,0.6228,0.0018,0.002,0.0076,2011-11-06
2432,22.8,24.7,0.5054,0.0015,0.0017,0.0062,2011-11-06
2432,24.7,26.7,0.4073,0.0013,0.0013,0.005,2011-11-06
2432,26.7,28.8,0.3322,0.0011,0.0011,0.0041,2011-11-06
2432,28.8,31.1,0.2725,0.001,0.0009,0.0034,2011-11-06
2432,31.1,33.5,0.2212,0.0009,0.0007,0.0028,2011-11-06
2432,33.5,36.1,0.1836,0.0008,0.0006,0.0023,2011-11-06
2432,36.1,38.9,0.1489,0.0007,0.0005,0.0019,2011-11-06
2432,38.9,41.9,0.121,0.0006,0.0004,0.0015,2011-11-06
2432,41.9,45.1,0.1003,0.0005,0.0003,0.0013,2011-11-06
2432,45.1,48.5,0.08012,0.00044,0.00026,0.00105,2011-11-06
2432,48.5,52.2,0.0674,0.00038,0.00022,0.00089,2011-11-06
2432,52.2,56.1,0.05502,0.00034,0.00018,0.00074,2011-11-06
2432,56.1,60.3,0.0452,0.0003,0.00015,0.00062,2011-11-06
2433,1.92,2.15,74.22,0.17,0.35,1.12,2011-12-03
2433,2.15,2.4,67.97,0.15,0.29,0.87,2011-12-03
2433,2.4,2.67,61.24,0.12,0.24,0.71,2011-12-03
2433,2.67,2.97,54.53,0.1,0.21,0.6,2011-12-03
2433,2.97,3.29,47.76,0.09,0.18,0.52,2011-12-03
2433,3.29,3.64,41.09,0.08,0.15,0.44,2011-12-03
2433,3.64,4.02,34.86,0.06,0.13,0.37,2011-12-03
2433,4.02,4.43,29.52,0.05,0.11,0.32,2011-12-03
2433,4.43,4.88,24.67,0.04,0.09,0.27,2011-12-03
2433,4.88,5.37,20.44,0.03,0.07,0.22,2011-12-03
2433,5.37,5.9,16.9,0.03,0.06,0.18,2011-12-03
2433,5.9,6.47,13.87,0.02,0.05,0.15,2011-12-03
2433,6.47,7.09,11.33,0.02,0.04,0.13,2011-12-03
2433,7.09,7.76,9.226,0.017,0.032,0.102,2011-12-03
2433,7.76,8.48,7.475,0.014,0.025,0.083,2011-12-03
2433,8.48,9.26,6.088,0.012,0.021,0.068,2011-12-03
2433,9.26,10.1,4.941,0.01,0.017,0.056,2011-12-03
2433,10.1,11.0,4.008,0.008,0.014,0.045,2011-12-03
2433,11.0,12.0,3.272,0.007,0.011,0.037,2011-12-03
2433,12.0,13.0,2.661,0.006,0.009,0.031,2011-12-03
2433,13.0,14.1,2.161,0.005,0.007,0.025,2011-12-03
2433,14.1,15.3,1.766,0.004,0.006,0.021,2011-12-03
2433,15.3,16.6,1.427,0.004,0.005,0.017,2011-12-03
2433,16.6,18.0,1.155,0.003,0.004,0.014,2011-12-03
2433,18.0,19.5,0.9412,0.0025,0.0032,0.0113,2011-12-03
2433,19.5,21.1,0.7592,0.0021,0.0026,0.0091,2011-12-03
2433,21.1,22.8,0.625,0.0018,0.0021,0.0076,2011-12-03
2433,22.8,24.7,0.5062,0.0015,0.0017,0.0062,2011-12-03
2433,24.7,26.7,0.4107,0.0013,0.0014,0.005,2011-12-03
2433,26.7,28.8,0.3344,0.0012,0.0011,0.0041,2011-12-03
2433,28.8,31.1,0.2746,0.001,0.0009,0.0034,2011-12-03
2433,31.1,33.5,0.2226,0.0009,0.0007,0.0028,2011-12-03
2433,33.5,36.1,0.181,0.0008,0.0006,0.0023,2011-12-03
2433,36.1,38.9,0.1483,0.0007,0.0005,0.0019,2011-12-03
2433,38.9,41.9,0.1221,0.0006,0.0004,0.0016,2011-12-03
2433,41.9,45.1,0.09898,0.00051,0.00033,0.00128,2011-12-03
2433,45.1,48.5,0.08198,0.00045,0.00028,0.00107,2011-12-03
2433,48.5,52.2,0.06668,0.00039,0.00022,0.00088,2011-12-03
2433,52.2,56.1,0.05422,0.00034,0.00018,0.00073,2011-12-03
2433,56.1,60.3,0.04558,0.0003,0.00015,0.00063,2011-12-03
2434,1.92,2.15,75.08,0.17,0.41,1.13,2011-12-30
2434,2.15,2.4,68.46,0.15,0.35,0.87,2011-12-30
2434,2.4,2.67,61.41,0.12,0.3,0.71,2011-12-30
2434,2.67,2.97,54.61,0.1,0.26,0.6,2011-12-30
2434,2.97,3.29,47.8,0.09,0.23,0.52,2011-12-30
2434,3.29,3.64,41.19,0.08,0.19,0.44,2011-12-30
2434,3.64,4.02,34.96,0.06,0.16,0.37,2011-12-30
2434,4.02,4.43,29.43,0.05,0.14,0.32,2011-12-30
2434,4.43,4.88,24.56,0.04,0.11,0.26,2011-12-30
2434,4.88,5.37,20.39,0.03,0.09,0.22,2011-12-30
2434,5.37,5.9,16.89,0.03,0.08,0.18,2011-12-30
2434,5.9,6.47,13.9,0.02,0.06,0.15,2011-12-30
2434,6.47,7.09,11.36,0.02,0.05,0.13,2011-12-30
2434,7.09,7.76,9.214,0.016,0.041,0.102,2011-12-30
2434,7.76,8.48,7.535,0.014,0.034,0.084,2011-12-30
2434,8.48,9.26,6.104,0.012,0.027,0.068,2011-12-30
2434,9.26,10.1,4.94,0.01,0.022,0.056,2011-12-30
2434,10.1,11.0,4.025,0.008,0.018,0.046,2011-12-30
2434,11.0,12.0,3.26,0.007,0.014,0.037,2011-12-30
2434,12.0,13.0,2.657,0.006,0.012,0.031,2011-12-30
2434,13.0,14.1,2.164,0.005,0.01,0.025,2011-12-30
2434,14.1,15.3,1.769,0.004,0.008,0.021,2011-12-30
2434,15.3,16.6,1.432,0.004,0.006,0.017,2011-12-30
2434,16.6,18.0,1.16,0.003,0.005,0.014,2011-12-30
2434,18.0,19.5,0.9414,0.0025,0.0042,0.0113,2011-12-30
2434,19.5,21.1,0.7638,0.0021,0.0034,0.0092,2011-12-30
2434,21.1,22.8,0.6225,0.0018,0.0028,0.0075,2011-12-30
2434,22.8,24.7,0.503,0.0015,0.0022,0.0061,2011-12-30
2434,24.7,26.7,0.4104,0.0013,0.0018,0.005,2011-12-30
2434,26.7,28.8,0.3359,0.0011,0.0015,0.0042,2011-12-30
2434,28.8,31.1,0.272,0.001,0.0012,0.0034,2011-12-30
2434,31.1,33.5,0.2211,0.0009,0.001,0.0028,2011-12-30
2434,33.5,36.1,0.1817,0.0008,0.0008,0.0023,2011-12-30
2434,36.1,38.9,0.1484,0.0007,0.0007,0.0019,2011-12-30
2434,38.9,41.9,0.1213,0.0006,0.0005,0.0016,2011-12-30
2434,41.9,45.1,0.09947,0.0005,0.00044,0.00129,2011-12-30
2434,45.1,48.5,0.08086,0.00044,0.00036,0.00106,2011-12-30
2434,48.5,52.2,0.0656,0.00038,0.00029,0.00087,2011-12-30
2434,52.2,56.1,0.05464,0.00034,0.00024,0.00074,2011-12-30
2434,56.1,60.3,0.04446,0.00029,0.0002,0.00061,2011-12-30
2435,1.92,2.15,72.24,0.16,0.4,1.09,2012-01-26
2435,2.15,2.4,65.66,0.14,0.34,0.84,2012-01-26
2435,2.4,2.67,58.93,0.12,0.28,0.68,2012-01-26
2435,2.67,2.97,52.37,0.1,0.24,0.58,2012-01-26
2435,2.97,3.29,46.18,0.09,0.21,0.5,2012-01-26
2435,3.29,3.64,39.63,0.07,0.18,0.43,2012-01-26
2435,3.64,4.02,33.78,0.06,0.15,0.36,2012-01-26
2435,4.02,4.43,28.4,0.05,0.12,0.3,2012-01-26
2435,4.43,4.88,23.92,0.04,0.1,0.26,2012-01-26
2435,4.88,5.37,19.87,0.03,0.09,0.22,2012-01-26
2435,5.37,5.9,16.43,0.03,0.07,0.18,2012-01-26
2435,5.9,6.47,13.53,0.02,0.06,0.15,2012-01-26
2435,6.47,7.09,11.06,0.02,0.05,0.12,2012-01-26
2435,7.09,7.76,9.013,0.016,0.038,0.1,2012-01-26
2435,7.76,8.48,7.323,0.014,0.031,0.082,2012-01-26
2435,8.48,9.26,5.95,0.012,0.025,0.067,2012-01-26
2435,9.26,10.1,4.86,0.01,0.02,0.055,2012-01-26
2435,10.1,11.0,3.959,0.008,0.016,0.045,2012-01-26
2435,11.0,12.0,3.214,0.007,0.013,0.037,2012-01-26
2435,12.0,13.0,2.622,0.006,0.011,0.03,2012-01-26
2435,13.0,14.1,2.138,0.005,0.009,0.025,2012-01-26
2435,14.1,15.3,1.741,0.004,0.007,0.02,2012-01-26
2435,15.3,16.6,1.417,0.004,0.006,0.017,2012-01-26
2435,16.6,18.0,1.144,0.003,0.005,0.014,2012-01-26
2435,18.0,19.5,0.9298,0.0024,0.0039,0.0111,2012-01-26
2435,19.5,21.1,0.756,0.0021,0.0031,0.0091,2012-01-26
2435,21.1,22.8,0.6164,0.0018,0.0026,0.0075,2012-01-26
2435,22.8,24.7,0.4996,0.0015,0.0021,0.0061,2012-01-26
2435,24.7,26.7,0.407,0.0013,0.0017,0.005,2012-01-26
2435,26.7,28.8,0.3313,0.0011,0.0014,0.0041,2012-01-26
2435,28.8,31.1,0.2721,0.001,0.0011,0.0034,2012-01-26
