bartels_rotation_number,rigidity_min_GV,rigidity_max_GV,helium_flux m^-2sr^-1s^-1GV^-1,helium_flux_error_statistical m^-2sr^-1s^-1GV^-1,helium_flux_error_time_dependent m^-2sr^-1s^-1GV^-1,helium_flux_error_time_independent m^-2sr^-1s^-1GV^-1
2426,1.92,2.15,7.517E+01,0.023E+01,0.048E+01,0.113E+01
2426,2.15,2.40,6.811E+01,0.020E+01,0.040E+01,0.087E+01
2426,2.40,2.67,6.108E+01,0.017E+01,0.034E+01,0.071E+01
2426,2.67,2.97,5.393E+01,0.014E+01,0.029E+01,0.060E+01
2426,2.97,3.29,4.695E+01,0.012E+01,0.025E+01,0.051E+01
2426,3.29,3.64,4.040E+01,0.010E+01,0.021E+01,0.043E+01
2426,3.64,4.02,3.419E+01,0.008E+01,0.018E+01,0.037E+01
2426,4.02,4.43,2.894E+01,0.007E+01,0.015E+01,0.031E+01
2426,4.43,4.88,2.406E+01,0.006E+01,0.012E+01,0.026E+01
2426,4.88,5.37,2.008E+01,0.005E+01,0.010E+01,0.022E+01
2426,5.37,5.90,1.654E+01,0.004E+01,0.008E+01,0.018E+01
2426,5.90,6.47,1.357E+01,0.003E+01,0.007E+01,0.015E+01
2426,6.47,7.09,1.111E+01,0.003E+01,0.006E+01,0.012E+01
2426,7.09,7.76,9.052,0.023,0.045,0.100
2426,7.76,8.48,7.380,0.019,0.037,0.082
2426,8.48,9.26,5.985,0.016,0.030,0.067
2426,9.26,10.1,4.860,0.014,0.024,0.055
2426,10.1,11.0,3.959,0.012,0.020,0.045
2426,11.0,12.0,3.199,0.010,0.016,0.037
2426,12.0,13.0,2.617,0.009,0.013,0.030
2426,13.0,14.1,2.131,0.007,0.011,0.025
2426,14.1,15.3,1.741,0.006,0.009,0.020
2426,15.3,16.6,1.414,0.005,0.007,0.017
2426,16.6,18.0,1.151,0.004,0.006,0.014
2426,18.0,19.5,9.341E-01,0.034E-01,0.046E-01,0.112E-01
2426,19.5,21.1,7.582E-01,0.029E-01,0.038E-01,0.091E-01
2426,21.1,22.8,6.205E-01,0.024E-01,0.031E-01,0.075E-01
2426,22.8,24.7,5.018E-01,0.020E-01,0.025E-01,0.061E-01
2426,24.7,26.7,4.092E-01,0.018E-01,0.020E-01,0.050E-01
2426,26.7,28.8,3.337E-01,0.016E-01,0.017E-01,0.041E-01
2426,28.8,31.1,2.723E-01,0.013E-01,0.014E-01,0.034E-01
2426,31.1,33.5,2.209E-01,0.012E-01,0.011E-01,0.028E-01
2426,33.5,36.1,1.819E-01,0.010E-01,0.009E-01,0.023E-01
2426,36.1,38.9,1.485E-01,0.009E-01,0.007E-01,0.019E-01
2426,38.9,41.9,1.210E-01,0.008E-01,0.006E-01,0.015E-01
2426,41.9,45.1,9.939E-02,0.068E-02,0.049E-02,0.128E-02
2426,45.1,48.5,8.170E-02,0.060E-02,0.041E-02,0.107E-02
2426,48.5,52.2,6.612E-02,0.052E-02,0.033E-02,0.088E-02
2426,52.2,56.1,5.415E-02,0.046E-02,0.027E-02,0.073E-02
2426,56.1,60.3,4.376E-02,0.039E-02,0.022E-02,0.060E-02
2427,1.92,2.15,6.925E+01,0.017E+01,0.046E+01,0.104E+01
2427,2.15,2.40,6.325E+01,0.015E+01,0.038E+01,0.081E+01
2427,2.40,2.67,5.700E+01,0.012E+01,0.031E+01,0.066E+01
2427,2.67,2.97,5.064E+01,0.010E+01,0.027E+01,0.056E+01
2427,2.97,3.29,4.428E+01,0.009E+01,0.023E+01,0.048E+01
2427,3.29,3.64,3.836E+01,0.008E+01,0.019E+01,0.041E+01
2427,3.64,4.02,3.267E+01,0.006E+01,0.016E+01,0.035E+01
2427,4.02,4.43,2.763E+01,0.005E+01,0.014E+01,0.030E+01
2427,4.43,4.88,2.319E+01,0.004E+01,0.011E+01,0.025E+01
2427,4.88,5.37,1.925E+01,0.004E+01,0.009E+01,0.021E+01
2427,5.37,5.90,1.598E+01,0.003E+01,0.008E+01,0.017E+01
2427,5.90,6.47,1.311E+01,0.002E+01,0.006E+01,0.014E+01
2427,6.47,7.09,1.079E+01,0.002E+01,0.005E+01,0.012E+01
2427,7.09,7.76,8.804,0.017,0.042,0.098
2427,7.76,8.48,7.175,0.015,0.034,0.080
2427,8.48,9.26,5.841,0.012,0.028,0.066
2427,9.26,10.1,4.760,0.010,0.023,0.054
2427,10.1,11.0,3.879,0.009,0.018,0.044
2427,11.0,12.0,3.147,0.007,0.015,0.036
2427,12.0,13.0,2.568,0.007,0.012,0.030
2427,13.0,14.1,2.114,0.006,0.010,0.024
2427,14.1,15.3,1.722,0.005,0.008,0.020
2427,15.3,16.6,1.390,0.004,0.007,0.016
2427,16.6,18.0,1.139,0.003,0.005,0.014
2427,18.0,19.5,9.220E-01,0.026E-01,0.044E-01,0.110E-01
2427,19.5,21.1,7.486E-01,0.022E-01,0.035E-01,0.090E-01
2427,21.1,22.8,6.181E-01,0.019E-01,0.029E-01,0.075E-01
2427,22.8,24.7,5.001E-01,0.016E-01,0.024E-01,0.061E-01
2427,24.7,26.7,4.032E-01,0.014E-01,0.019E-01,0.050E-01
2427,26.7,28.8,3.308E-01,0.012E-01,0.016E-01,0.041E-01
2427,28.8,31.1,2.693E-01,0.010E-01,0.013E-01,0.033E-01
2427,31.1,33.5,2.213E-01,0.009E-01,0.010E-01,0.028E-01
2427,33.5,36.1,1.798E-01,0.008E-01,0.008E-01,0.023E-01
2427,36.1,38.9,1.471E-01,0.007E-01,0.007E-01,0.019E-01
2427,38.9,41.9,1.210E-01,0.006E-01,0.006E-01,0.015E-01
2427,41.9,45.1,9.940E-02,0.054E-02,0.047E-02,0.128E-02
2427,45.1,48.5,8.160E-02,0.047E-02,0.038E-02,0.107E-02
2427,48.5,52.2,6.631E-02,0.041E-02,0.031E-02,0.088E-02
2427,52.2,56.1,5.455E-02,0.036E-02,0.026E-02,0.074E-02
2427,56.1,60.3,4.470E-02,0.031E-02,0.021E-02,0.061E-02
2428,1.92,2.15,7.181E+01,0.017E+01,0.042E+01,0.108E+01
2428,2.15,2.40,6.572E+01,0.015E+01,0.035E+01,0.084E+01
2428,2.40,2.67,5.904E+01,0.012E+01,0.029E+01,0.069E+01
2428,2.67,2.97,5.235E+01,0.010E+01,0.025E+01,0.058E+01
2428,2.97,3.29,4.602E+01,0.009E+01,0.022E+01,0.050E+01
2428,3.29,3.64,3.965E+01,0.008E+01,0.019E+01,0.043E+01
2428,3.64,4.02,3.373E+01,0.006E+01,0.016E+01,0.036E+01
2428,4.02,4.43,2.857E+01,0.005E+01,0.013E+01,0.031E+01
2428,4.43,4.88,2.388E+01,0.004E+01,0.011E+01,0.026E+01
2428,4.88,5.37,1.989E+01,0.004E+01,0.009E+01,0.022E+01
2428,5.37,5.90,1.645E+01,0.003E+01,0.007E+01,0.018E+01
2428,5.90,6.47,1.353E+01,0.002E+01,0.006E+01,0.015E+01
2428,6.47,7.09,1.111E+01,0.002E+01,0.005E+01,0.012E+01
2428,7.09,7.76,9.062,0.017,0.041,0.101
2428,7.76,8.48,7.342,0.014,0.033,0.082
2428,8.48,9.26,6.005,0.012,0.027,0.067
2428,9.26,10.1,4.868,0.010,0.022,0.055
2428,10.1,11.0,3.972,0.009,0.018,0.045
2428,11.0,12.0,3.229,0.007,0.014,0.037
2428,12.0,13.0,2.622,0.007,0.012,0.030
2428,13.0,14.1,2.146,0.005,0.010,0.025
2428,14.1,15.3,1.753,0.005,0.008,0.020
2428,15.3,16.6,1.419,0.004,0.006,0.017
2428,16.6,18.0,1.153,0.003,0.005,0.014
2428,18.0,19.5,9.357E-01,0.026E-01,0.042E-01,0.112E-01
2428,19.5,21.1,7.577E-01,0.022E-01,0.034E-01,0.091E-01
2428,21.1,22.8,6.188E-01,0.019E-01,0.028E-01,0.075E-01
2428,22.8,24.7,5.029E-01,0.016E-01,0.022E-01,0.061E-01
2428,24.7,26.7,4.064E-01,0.013E-01,0.018E-01,0.050E-01
2428,26.7,28.8,3.330E-01,0.012E-01,0.015E-01,0.041E-01
2428,28.8,31.1,2.698E-01,0.010E-01,0.012E-01,0.034E-01
2428,31.1,33.5,2.234E-01,0.009E-01,0.010E-01,0.028E-01
2428,33.5,36.1,1.818E-01,0.008E-01,0.008E-01,0.023E-01
2428,36.1,38.9,1.497E-01,0.007E-01,0.007E-01,0.019E-01
2428,38.9,41.9,1.214E-01,0.006E-01,0.005E-01,0.016E-01
2428,41.9,45.1,9.958E-02,0.052E-02,0.045E-02,0.129E-02
2428,45.1,48.5,8.241E-02,0.046E-02,0.037E-02,0.108E-02
2428,48.5,52.2,6.691E-02,0.040E-02,0.030E-02,0.089E-02
2428,52.2,56.1,5.460E-02,0.035E-02,0.025E-02,0.074E-02
2428,56.1,60.3,4.511E-02,0.031E-02,0.020E-02,0.062E-02
2429,1.92,2.15,7.167E+01,0.016E+01,0.041E+01,0.108E+01
2429,2.15,2.40,6.575E+01,0.014E+01,0.034E+01,0.084E+01
2429,2.40,2.67,5.912E+01,0.012E+01,0.028E+01,0.069E+01
2429,2.67,2.97,5.244E+01,0.010E+01,0.024E+01,0.058E+01
2429,2.97,3.29,4.610E+01,0.009E+01,0.021E+01,0.050E+01
2429,3.29,3.64,3.975E+01,0.007E+01,0.018E+01,0.043E+01
2429,3.64,4.02,3.389E+01,0.006E+01,0.015E+01,0.036E+01
2429,4.02,4.43,2.858E+01,0.005E+01,0.013E+01,0.031E+01
2429,4.43,4.88,2.399E+01,0.004E+01,0.011E+01,0.026E+01
2429,4.88,5.37,1.996E+01,0.003E+01,0.009E+01,0.022E+01
2429,5.37,5.90,1.653E+01,0.003E+01,0.007E+01,0.018E+01
2429,5.90,6.47,1.361E+01,0.002E+01,0.006E+01,0.015E+01
2429,6.47,7.09,1.115E+01,0.002E+01,0.005E+01,0.012E+01
2429,7.09,7.76,9.089,0.016,0.039,0.101
2429,7.76,8.48,7.423,0.014,0.032,0.083
2429,8.48,9.26,6.031,0.012,0.026,0.068
2429,9.26,10.1,4.896,0.010,0.021,0.055
2429,10.1,11.0,3.984,0.008,0.017,0.045
2429,11.0,12.0,3.243,0.007,0.014,0.037
2429,12.0,13.0,2.648,0.006,0.011,0.030
2429,13.0,14.1,2.153,0.005,0.009,0.025
2429,14.1,15.3,1.761,0.004,0.008,0.021
2429,15.3,16.6,1.423,0.004,0.006,0.017
2429,16.6,18.0,1.157,0.003,0.005,0.014
2429,18.0,19.5,9.384E-01,0.025E-01,0.040E-01,0.112E-01
2429,19.5,21.1,7.619E-01,0.021E-01,0.033E-01,0.092E-01
2429,21.1,22.8,6.225E-01,0.018E-01,0.027E-01,0.076E-01
2429,22.8,24.7,5.064E-01,0.015E-01,0.022E-01,0.062E-01
2429,24.7,26.7,4.097E-01,0.013E-01,0.017E-01,0.050E-01
2429,26.7,28.8,3.359E-01,0.012E-01,0.014E-01,0.042E-01
2429,28.8,31.1,2.718E-01,0.010E-01,0.012E-01,0.034E-01
2429,31.1,33.5,2.235E-01,0.009E-01,0.010E-01,0.028E-01
2429,33.5,36.1,1.823E-01,0.008E-01,0.008E-01,0.023E-01
2429,36.1,38.9,1.500E-01,0.007E-01,0.006E-01,0.019E-01
2429,38.9,41.9,1.230E-01,0.006E-01,0.005E-01,0.016E-01
2429,41.9,45.1,1.002E-01,0.005E-01,0.004E-01,0.013E-01
2429,45.1,48.5,8.202E-02,0.045E-02,0.035E-02,0.107E-02
2429,48.5,52.2,6.672E-02,0.039E-02,0.028E-02,0.089E-02
2429,52.2,56.1,5.490E-02,0.034E-02,0.023E-02,0.074E-02
2429,56.1,60.3,4.518E-02,0.030E-02,0.019E-02,0.062E-02
2430,1.92,2.15,7.288E+01,0.016E+01,0.038E+01,0.110E+01
2430,2.15,2.40,6.619E+01,0.014E+01,0.032E+01,0.084E+01
2430,2.40,2.67,5.947E+01,0.012E+01,0.027E+01,0.069E+01
2430,2.67,2.97,5.267E+01,0.010E+01,0.023E+01,0.058E+01
2430,2.97,3.29,4.635E+01,0.009E+01,0.020E+01,0.050E+01
2430,3.29,3.64,3.989E+01,0.007E+01,0.017E+01,0.043E+01
2430,3.64,4.02,3.402E+01,0.006E+01,0.014E+01,0.036E+01
2430,4.02,4.43,2.860E+01,0.005E+01,0.012E+01,0.031E+01
2430,4.43,4.88,2.403E+01,0.004E+01,0.010E+01,0.026E+01
2430,4.88,5.37,1.998E+01,0.003E+01,0.008E+01,0.022E+01
2430,5.37,5.90,1.656E+01,0.003E+01,0.007E+01,0.018E+01
2430,5.90,6.47,1.359E+01,0.002E+01,0.005E+01,0.015E+01
2430,6.47,7.09,1.117E+01,0.002E+01,0.004E+01,0.012E+01
2430,7.09,7.76,9.061,0.016,0.036,0.101
2430,7.76,8.48,7.382,0.014,0.029,0.082
2430,8.48,9.26,6.019,0.012,0.024,0.068
2430,9.26,10.1,4.887,0.010,0.019,0.055
2430,10.1,11.0,3.974,0.008,0.016,0.045
2430,11.0,12.0,3.238,0.007,0.013,0.037
2430,12.0,13.0,2.635,0.006,0.010,0.030
2430,13.0,14.1,2.151,0.005,0.008,0.025
2430,14.1,15.3,1.748,0.004,0.007,0.020
2430,15.3,16.6,1.425,0.004,0.006,0.017
2430,16.6,18.0,1.153,0.003,0.004,0.014
2430,18.0,19.5,9.397E-01,0.024E-01,0.037E-01,0.112E-01
2430,19.5,21.1,7.598E-01,0.020E-01,0.030E-01,0.092E-01
2430,21.1,22.8,6.204E-01,0.018E-01,0.024E-01,0.075E-01
2430,22.8,24.7,5.079E-01,0.015E-01,0.020E-01,0.062E-01
2430,24.7,26.7,4.097E-01,0.013E-01,0.016E-01,0.050E-01
2430,26.7,28.8,3.319E-01,0.011E-01,0.013E-01,0.041E-01
2430,28.8,31.1,2.744E-01,0.010E-01,0.011E-01,0.034E-01
2430,31.1,33.5,2.219E-01,0.009E-01,0.009E-01,0.028E-01
2430,33.5,36.1,1.810E-01,0.007E-01,0.007E-01,0.023E-01
2430,36.1,38.9,1.480E-01,0.006E-01,0.006E-01,0.019E-01
2430,38.9,41.9,1.209E-01,0.006E-01,0.005E-01,0.015E-01
2430,41.9,45.1,9.965E-02,0.050E-02,0.039E-02,0.129E-02
2430,45.1,48.5,8.101E-02,0.044E-02,0.032E-02,0.106E-02
2430,48.5,52.2,6.660E-02,0.038E-02,0.026E-02,0.088E-02
2430,52.2,56.1,5.424E-02,0.033E-02,0.021E-02,0.073E-02
2430,56.1,60.3,4.500E-02,0.029E-02,0.018E-02,0.062E-02
2431,1.92,2.15,6.600E+01,0.015E+01,0.040E+01,0.099E+01
2431,2.15,2.40,6.092E+01,0.013E+01,0.033E+01,0.078E+01
2431,2.40,2.67,5.512E+01,0.011E+01,0.026E+01,0.064E+01
2431,2.67,2.97,4.938E+01,0.009E+01,0.022E+01,0.055E+01
2431,2.97,3.29,4.347E+01,0.008E+01,0.019E+01,0.047E+01
2431,3.29,3.64,3.779E+01,0.007E+01,0.016E+01,0.041E+01
2431,3.64,4.02,3.240E+01,0.006E+01,0.014E+01,0.035E+01
2431,4.02,4.43,2.743E+01,0.005E+01,0.011E+01,0.029E+01
2431,4.43,4.88,2.305E+01,0.004E+01,0.009E+01,0.025E+01
2431,4.88,5.37,1.925E+01,0.003E+01,0.008E+01,0.021E+01
2431,5.37,5.90,1.600E+01,0.003E+01,0.006E+01,0.017E+01
2431,5.90,6.47,1.316E+01,0.002E+01,0.005E+01,0.014E+01
2431,6.47,7.09,1.082E+01,0.002E+01,0.004E+01,0.012E+01
2431,7.09,7.76,8.846,0.016,0.035,0.098
2431,7.76,8.48,7.197,0.013,0.029,0.080
2431,8.48,9.26,5.883,0.011,0.024,0.066
2431,9.26,10.1,4.788,0.010,0.019,0.054
2431,10.1,11.0,3.909,0.008,0.016,0.044
2431,11.0,12.0,3.177,0.007,0.013,0.036
2431,12.0,13.0,2.588,0.006,0.010,0.030
2431,13.0,14.1,2.119,0.005,0.008,0.025
2431,14.1,15.3,1.727,0.004,0.007,0.020
2431,15.3,16.6,1.402,0.004,0.006,0.017
2431,16.6,18.0,1.141,0.003,0.005,0.014
2431,18.0,19.5,9.241E-01,0.024E-01,0.037E-01,0.110E-01
2431,19.5,21.1,7.556E-01,0.021E-01,0.030E-01,0.091E-01
2431,21.1,22.8,6.142E-01,0.017E-01,0.024E-01,0.074E-01
2431,22.8,24.7,5.010E-01,0.015E-01,0.020E-01,0.061E-01
2431,24.7,26.7,4.070E-01,0.013E-01,0.016E-01,0.050E-01
2431,26.7,28.8,3.334E-01,0.011E-01,0.013E-01,0.041E-01
2431,28.8,31.1,2.718E-01,0.010E-01,0.011E-01,0.034E-01
2431,31.1,33.5,2.216E-01,0.009E-01,0.009E-01,0.028E-01
2431,33.5,36.1,1.821E-01,0.007E-01,0.007E-01,0.023E-01
2431,36.1,38.9,1.508E-01,0.007E-01,0.006E-01,0.019E-01
2431,38.9,41.9,1.215E-01,0.006E-01,0.005E-01,0.016E-01
2431,41.9,45.1,9.912E-02,0.050E-02,0.040E-02,0.128E-02
2431,45.1,48.5,8.152E-02,0.044E-02,0.033E-02,0.107E-02
2431,48.5,52.2,6.636E-02,0.038E-02,0.026E-02,0.088E-02
2431,52.2,56.1,5.509E-02,0.034E-02,0.022E-02,0.074E-02
2431,56.1,60.3,4.490E-02,0.029E-02,0.018E-02,0.062E-02
2432,1.92,2.15,7.111E+01,0.016E+01,0.036E+01,0.107E+01
2432,2.15,2.40,6.499E+01,0.014E+01,0.029E+01,0.083E+01
2432,2.40,2.67,5.849E+01,0.012E+01,0.023E+01,0.068E+01
2432,2.67,2.97,5.219E+01,0.010E+01,0.019E+01,0.058E+01
2432,2.97,3.29,4.562E+01,0.009E+01,0.017E+01,0.049E+01
2432,3.29,3.64,3.960E+01,0.007E+01,0.014E+01,0.043E+01
2432,3.64,4.02,3.362E+01,0.006E+01,0.012E+01,0.036E+01
2432,4.02,4.43,2.841E+01,0.005E+01,0.010E+01,0.030E+01
2432,4.43,4.88,2.389E+01,0.004E+01,0.008E+01,0.026E+01
2432,4.88,5.37,1.988E+01,0.003E+01,0.007E+01,0.022E+01
2432,5.37,5.90,1.640E+01,0.003E+01,0.006E+01,0.018E+01
2432,5.90,6.47,1.355E+01,0.002E+01,0.005E+01,0.015E+01
2432,6.47,7.09,1.114E+01,0.002E+01,0.004E+01,0.012E+01
2432,7.09,7.76,9.042,0.016,0.030,0.100
2432,7.76,8.48,7.382,0.014,0.024,0.082
2432,8.48,9.26,5.998,0.012,0.020,0.067
2432,9.26,10.1,4.860,0.010,0.016,0.055
2432,10.1,11.0,3.981,0.008,0.013,0.045
2432,11.0,12.0,3.218,0.007,0.011,0.037
2432,12.0,13.0,2.624,0.006,0.009,0.030
2432,13.0,14.1,2.142,0.005,0.007,0.025
2432,14.1,15.3,1.751,0.004,0.006,0.020
2432,15.3,16.6,1.424,0.004,0.005,0.017
2432,16.6,18.0,1.153,0.003,0.004,0.014
2432,18.0,19.5,9.367E-01,0.025E-01,0.031E-01,0.112E-01
2432,19.5,21.1,7.581E-01,0.021E-01,0.025E-01,0.091E-01
2432,21.1,22.8,6.228E-01,0.018E-01,0.020E-01,0.076E-01
2432,22.8,24.7,5.054E-01,0.015E-01,0.017E-01,0.062E-01
2432,24.7,26.7,4.073E-01,0.013E-01,0.013E-01,0.050E-01
2432,26.7,28.8,3.322E-01,0.011E-01,0.011E-01,0.041E-01
2432,28.8,31.1,2.725E-01,0.010E-01,0.009E-01,0.034E-01
2432,31.1,33.5,2.212E-01,0.009E-01,0.007E-01,0.028E-01
2432,33.5,36.1,1.836E-01,0.008E-01,0.006E-01,0.023E-01
2432,36.1,38.9,1.489E-01,0.007E-01,0.005E-01,0.019E-01
2432,38.9,41.9,1.210E-01,0.006E-01,0.004E-01,0.015E-01
2432,41.9,45.1,1.003E-01,0.005E-01,0.003E-01,0.013E-01
2432,45.1,48.5,8.012E-02,0.044E-02,0.026E-02,0.105E-02
2432,48.5,52.2,6.740E-02,0.038E-02,0.022E-02,0.089E-02
2432,52.2,56.1,5.502E-02,0.034E-02,0.018E-02,0.074E-02
2432,56.1,60.3,4.520E-02,0.030E-02,0.015E-02,0.062E-02
2433,1.92,2.15,7.422E+01,0.017E+01,0.035E+01,0.112E+01
2433,2.15,2.40,6.797E+01,0.015E+01,0.029E+01,0.087E+01
2433,2.40,2.67,6.124E+01,0.012E+01,0.024E+01,0.071E+01
2433,2.67,2.97,5.453E+01,0.010E+01,0.021E+01,0.060E+01
2433,2.97,3.29,4.776E+01,0.009E+01,0.018E+01,0.052E+01
2433,3.29,3.64,4.109E+01,0.008E+01,0.015E+01,0.044E+01
2433,3.64,4.02,3.486E+01,0.006E+01,0.013E+01,0.037E+01
2433,4.02,4.43,2.952E+01,0.005E+01,0.011E+01,0.032E+01
2433,4.43,4.88,2.467E+01,0.004E+01,0.009E+01,0.027E+01
2433,4.88,5.37,2.044E+01,0.003E+01,0.007E+01,0.022E+01
2433,5.37,5.90,1.690E+01,0.003E+01,0.006E+01,0.018E+01
2433,5.90,6.47,1.387E+01,0.002E+01,0.005E+01,0.015E+01
2433,6.47,7.09,1.133E+01,0.002E+01,0.004E+01,0.013E+01
2433,7.09,7.76,9.226,0.017,0.032,0.102
2433,7.76,8.48,7.475,0.014,0.025,0.083
2433,8.48,9.26,6.088,0.012,0.021,0.068
2433,9.26,10.1,4.941,0.010,0.017,0.056
2433,10.1,11.0,4.008,0.008,0.014,0.045
2433,11.0,12.0,3.272,0.007,0.011,0.037
2433,12.0,13.0,2.661,0.006,0.009,0.031
2433,13.0,14.1,2.161,0.005,0.007,0.025
2433,14.1,15.3,1.766,0.004,0.006,0.021
2433,15.3,16.6,1.427,0.004,0.005,0.017
2433,16.6,18.0,1.155,0.003,0.004,0.014
2433,18.0,19.5,9.412E-01,0.025E-01,0.032E-01,0.113E-01
2433,19.5,21.1,7.592E-01,0.021E-01,0.026E-01,0.091E-01
2433,21.1,22.8,6.250E-01,0.018E-01,0.021E-01,0.076E-01
2433,22.8,24.7,5.062E-01,0.015E-01,0.017E-01,0.062E-01
2433,24.7,26.7,4.107E-01,0.013E-01,0.014E-01,0.050E-01
2433,26.7,28.8,3.344E-01,0.012E-01,0.011E-01,0.041E-01
2433,28.8,31.1,2.746E-01,0.010E-01,0.009E-01,0.034E-01
2433,31.1,33.5,2.226E-01,0.009E-01,0.007E-01,0.028E-01
2433,33.5,36.1,1.810E-01,0.008E-01,0.006E-01,0.023E-01
2433,36.1,38.9,1.483E-01,0.007E-01,0.005E-01,0.019E-01
2433,38.9,41.9,1.221E-01,0.006E-01,0.004E-01,0.016E-01
2433,41.9,45.1,9.898E-02,0.051E-02,0.033E-02,0.128E-02
2433,45.1,48.5,8.198E-02,0.045E-02,0.028E-02,0.107E-02
2433,48.5,52.2,6.668E-02,0.039E-02,0.022E-02,0.088E-02
2433,52.2,56.1,5.422E-02,0.034E-02,0.018E-02,0.073E-02
2433,56.1,60.3,4.558E-02,0.030E-02,0.015E-02,0.063E-02
2434,1.92,2.15,7.508E+01,0.017E+01,0.041E+01,0.113E+01
2434,2.15,2.40,6.846E+01,0.015E+01,0.035E+01,0.087E+01
2434,2.40,2.67,6.141E+01,0.012E+01,0.030E+01,0.071E+01
2434,2.67,2.97,5.461E+01,0.010E+01,0.026E+01,0.060E+01
2434,2.97,3.29,4.780E+01,0.009E+01,0.023E+01,0.052E+01
2434,3.29,3.64,4.119E+01,0.008E+01,0.019E+01,0.044E+01
2434,3.64,4.02,3.496E+01,0.006E+01,0.016E+01,0.037E+01
2434,4.02,4.43,2.943E+01,0.005E+01,0.014E+01,0.032E+01
2434,4.43,4.88,2.456E+01,0.004E+01,0.011E+01,0.026E+01
2434,4.88,5.37,2.039E+01,0.003E+01,0.009E+01,0.022E+01
2434,5.37,5.90,1.689E+01,0.003E+01,0.008E+01,0.018E+01
2434,5.90,6.47,1.390E+01,0.002E+01,0.006E+01,0.015E+01
2434,6.47,7.09,1.136E+01,0.002E+01,0.005E+01,0.013E+01
2434,7.09,7.76,9.214,0.016,0.041,0.102
2434,7.76,8.48,7.535,0.014,0.034,0.084
2434,8.48,9.26,6.104,0.012,0.027,0.068
2434,9.26,10.1,4.940,0.010,0.022,0.056
2434,10.1,11.0,4.025,0.008,0.018,0.046
2434,11.0,12.0,3.260,0.007,0.014,0.037
2434,12.0,13.0,2.657,0.006,0.012,0.031
2434,13.0,14.1,2.164,0.005,0.010,0.025
2434,14.1,15.3,1.769,0.004,0.008,0.021
2434,15.3,16.6,1.432,0.004,0.006,0.017
2434,16.6,18.0,1.160,0.003,0.005,0.014
2434,18.0,19.5,9.414E-01,0.025E-01,0.042E-01,0.113E-01
2434,19.5,21.1,7.638E-01,0.021E-01,0.034E-01,0.092E-01
2434,21.1,22.8,6.225E-01,0.018E-01,0.028E-01,0.075E-01
2434,22.8,24.7,5.030E-01,0.015E-01,0.022E-01,0.061E-01
2434,24.7,26.7,4.104E-01,0.013E-01,0.018E-01,0.050E-01
2434,26.7,28.8,3.359E-01,0.011E-01,0.015E-01,0.042E-01
2434,28.8,31.1,2.720E-01,0.010E-01,0.012E-01,0.034E-01
2434,31.1,33.5,2.211E-01,0.009E-01,0.010E-01,0.028E-01
2434,33.5,36.1,1.817E-01,0.008E-01,0.008E-01,0.023E-01
2434,36.1,38.9,1.484E-01,0.007E-01,0.007E-01,0.019E-01
2434,38.9,41.9,1.213E-01,0.006E-01,0.005E-01,0.016E-01
2434,41.9,45.1,9.947E-02,0.050E-02,0.044E-02,0.129E-02
2434,45.1,48.5,8.086E-02,0.044E-02,0.036E-02,0.106E-02
2434,48.5,52.2,6.560E-02,0.038E-02,0.029E-02,0.087E-02
2434,52.2,56.1,5.464E-02,0.034E-02,0.024E-02,0.074E-02
2434,56.1,60.3,4.446E-02,0.029E-02,0.020E-02,0.061E-02
2435,1.92,2.15,7.224E+01,0.016E+01,0.040E+01,0.109E+01
2435,2.15,2.40,6.566E+01,0.014E+01,0.034E+01,0.084E+01
2435,2.40,2.67,5.893E+01,0.012E+01,0.028E+01,0.068E+01
2435,2.67,2.97,5.237E+01,0.010E+01,0.024E+01,0.058E+01
2435,2.97,3.29,4.618E+01,0.009E+01,0.021E+01,0.050E+01
2435,3.29,3.64,3.963E+01,0.007E+01,0.018E+01,0.043E+01
2435,3.64,4.02,3.378E+01,0.006E+01,0.015E+01,0.036E+01
2435,4.02,4.43,2.840E+01,0.005E+01,0.012E+01,0.030E+01
2435,4.43,4.88,2.392E+01,0.004E+01,0.010E+01,0.026E+01
2435,4.88,5.37,1.987E+01,0.003E+01,0.009E+01,0.022E+01
2435,5.37,5.90,1.643E+01,0.003E+01,0.007E+01,0.018E+01
2435,5.90,6.47,1.353E+01,0.002E+01,0.006E+01,0.015E+01
2435,6.47,7.09,1.106E+01,0.002E+01,0.005E+01,0.012E+01
2435,7.09,7.76,9.013,0.016,0.038,0.100
2435,7.76,8.48,7.323,0.014,0.031,0.082
2435,8.48,9.26,5.950,0.012,0.025,0.067
2435,9.26,10.1,4.860,0.010,0.020,0.055
2435,10.1,11.0,3.959,0.008,0.016,0.045
2435,11.0,12.0,3.214,0.007,0.013,0.037
2435,12.0,13.0,2.622,0.006,0.011,0.030
2435,13.0,14.1,2.138,0.005,0.009,0.025
2435,14.1,15.3,1.741,0.004,0.007,0.020
2435,15.3,16.6,1.417,0.004,0.006,0.017
2435,16.6,18.0,1.144,0.003,0.005,0.014
2435,18.0,19.5,9.298E-01,0.024E-01,0.039E-01,0.111E-01
2435,19.5,21.1,7.560E-01,0.021E-01,0.031E-01,0.091E-01
2435,21.1,22.8,6.164E-01,0.018E-01,0.026E-01,0.075E-01
2435,22.8,24.7,4.996E-01,0.015E-01,0.021E-01,0.061E-01
2435,24.7,26.7,4.070E-01,0.013E-01,0.017E-01,0.050E-01
