bartels_rotation_number,rigidity_min GV,rigidity_max GV,proton_flux m^-2sr^-1s^-1GV^-1,proton_flux_error_statistical m^-2sr^-1s^-1GV^-1,proton_flux_error_timedependent m^-2sr^-1s^-1GV^-1,proton_flux_error_systematic_total m^-2sr^-1s^-1GV^-1,center_date
2519,16.6,22.8,4.389,0.003,0.006,0.05,2018-04-12
2519,22.8,41.9,1.25,0.001,0.001,0.015,2018-04-12
2520,1.0,1.92,1257.0,0.0,2.0,24.0,2018-05-09
2520,1.92,2.97,629.8,0.2,0.7,7.6,2018-05-09
2520,2.97,4.02,316.4,0.1,0.4,3.4,2018-05-09
2520,4.02,4.88,187.1,0.1,0.3,2.0,2018-05-09
2520,4.88,5.9,120.9,0.1,0.2,1.3,2018-05-09
2520,5.9,7.09,77.6,0.04,0.11,0.81,2018-05-09
2520,7.09,8.48,49.54,0.02,0.07,0.52,2018-05-09
2520,8.48,11.0,28.38,0.01,0.03,0.3,2018-05-09
2520,11.0,16.6,11.78,0.01,0.01,0.13,2018-05-09
2520,16.6,22.8,4.381,0.002,0.004,0.05,2018-05-09
2520,22.8,41.9,1.25,0.001,0.001,0.015,2018-05-09
2521,1.0,1.92,1292.0,0.0,2.0,25.0,2018-06-05
2521,1.92,2.97,643.1,0.2,1.2,7.8,2018-06-05
2521,2.97,4.02,321.5,0.1,0.7,3.5,2018-06-05
2521,4.02,4.88,189.6,0.1,0.5,2.0,2018-06-05
2521,4.88,5.9,122.2,0.1,0.3,1.3,2018-06-05
2521,5.9,7.09,78.2,0.04,0.2,0.83,2018-06-05
2521,7.09,8.48,49.82,0.02,0.12,0.53,2018-06-05
2521,8.48,11.0,28.49,0.01,0.06,0.31,2018-06-05
2521,11.0,16.6,11.82,0.01,0.02,0.13,2018-06-05
2521,16.6,22.8,4.39,0.002,0.008,0.051,2018-06-05
2521,22.8,41.9,1.253,0.001,0.002,0.015,2018-06-05
2522,1.0,1.92,1281.0,0.0,1.0,25.0,2018-07-02
2522,1.92,2.97,637.8,0.2,0.6,7.6,2018-07-02
2522,2.97,4.02,319.2,0.1,0.3,3.4,2018-07-02
2522,4.02,4.88,188.4,0.1,0.2,2.0,2018-07-02
2522,4.88,5.9,121.7,0.1,0.2,1.3,2018-07-02
2522,5.9,7.09,77.93,0.04,0.1,0.81,2018-07-02
2522,7.09,8.48,49.71,0.03,0.06,0.52,2018-07-02
2522,8.48,11.0,28.45,0.01,0.03,0.3,2018-07-02
2522,11.0,16.6,11.81,0.01,0.01,0.13,2018-07-02
2522,16.6,22.8,4.393,0.002,0.004,0.05,2018-07-02
2522,22.8,41.9,1.254,0.001,0.001,0.015,2018-07-02
2523,1.0,1.92,1311.0,1.0,2.0,25.0,2018-07-29
2523,1.92,2.97,646.5,0.3,0.7,7.8,2018-07-29
2523,2.97,4.02,322.5,0.2,0.4,3.5,2018-07-29
2523,4.02,4.88,189.8,0.1,0.3,2.0,2018-07-29
2523,4.88,5.9,122.4,0.1,0.2,1.3,2018-07-29
2523,5.9,7.09,78.31,0.05,0.12,0.82,2018-07-29
2523,7.09,8.48,49.94,0.03,0.08,0.53,2018-07-29
2523,8.48,11.0,28.54,0.02,0.04,0.31,2018-07-29
2523,11.0,16.6,11.83,0.01,0.01,0.13,2018-07-29
2523,16.6,22.8,4.407,0.003,0.005,0.05,2018-07-29
2523,22.8,41.9,1.257,0.001,0.001,0.015,2018-07-29
2524,1.0,1.92,1320.0,1.0,1.0,25.0,2018-08-25
2524,1.92,2.97,650.0,0.4,0.6,7.8,2018-08-25
2524,2.97,4.02,324.1,0.2,0.3,3.5,2018-08-25
2524,4.02,4.88,190.9,0.2,0.2,2.0,2018-08-25
2524,4.88,5.9,123.1,0.1,0.2,1.3,2018-08-25
2524,5.9,7.09,78.81,0.07,0.1,0.82,2018-08-25
2524,7.09,8.48,50.19,0.05,0.06,0.53,2018-08-25
2524,8.48,11.0,28.67,0.03,0.03,0.31,2018-08-25
2524,11.0,16.6,11.89,0.01,0.01,0.13,2018-08-25
2524,16.6,22.8,4.415,0.005,0.004,0.05,2018-08-25
2524,22.8,41.9,1.259,0.001,0.001,0.015,2018-08-25
2525,1.0,1.92,1317.0,0.0,2.0,25.0,2018-09-21
2525,1.92,2.97,648.9,0.2,0.8,7.8,2018-09-21
2525,2.97,4.02,324.0,0.1,0.5,3.5,2018-09-21
2525,4.02,4.88,190.4,0.1,0.3,2.0,2018-09-21
2525,4.88,5.9,122.7,0.1,0.2,1.3,2018-09-21
2525,5.9,7.09,78.41,0.04,0.14,0.82,2018-09-21
2525,7.09,8.48,49.94,0.03,0.09,0.53,2018-09-21
2525,8.48,11.0,28.56,0.01,0.04,0.31,2018-09-21
2525,11.0,16.6,11.82,0.01,0.01,0.13,2018-09-21
2525,16.6,22.8,4.392,0.002,0.005,0.05,2018-09-21
2525,22.8,41.9,1.254,0.001,0.001,0.015,2018-09-21
2526,1.0,1.92,1345.0,2.0,2.0,26.0,2018-10-18
2526,1.92,2.97,658.5,0.7,1.1,7.9,2018-10-18
2526,2.97,4.02,327.3,0.4,0.6,3.5,2018-10-18
2526,4.02,4.88,192.2,0.3,0.4,2.0,2018-10-18
2526,4.88,5.9,123.7,0.2,0.3,1.3,2018-10-18
2526,5.9,7.09,78.97,0.12,0.18,0.84,2018-10-18
2526,7.09,8.48,50.41,0.08,0.11,0.54,2018-10-18
2526,8.48,11.0,28.64,0.04,0.05,0.31,2018-10-18
2526,11.0,16.6,11.86,0.02,0.02,0.13,2018-10-18
2526,16.6,22.8,4.416,0.008,0.007,0.051,2018-10-18
2526,22.8,41.9,1.258,0.002,0.002,0.015,2018-10-18
2527,1.0,1.92,1303.0,0.0,2.0,25.0,2018-11-14
2527,1.92,2.97,644.3,0.2,0.9,7.8,2018-11-14
2527,2.97,4.02,321.0,0.1,0.5,3.5,2018-11-14
2527,4.02,4.88,189.2,0.1,0.4,2.0,2018-11-14
2527,4.88,5.9,122.0,0.1,0.2,1.3,2018-11-14
2527,5.9,7.09,78.11,0.04,0.15,0.82,2018-11-14
2527,7.09,8.48,49.77,0.03,0.09,0.53,2018-11-14
2527,8.48,11.0,28.46,0.01,0.04,0.31,2018-11-14
2527,11.0,16.6,11.82,0.01,0.01,0.13,2018-11-14
2527,16.6,22.8,4.395,0.003,0.006,0.05,2018-11-14
2527,22.8,41.9,1.251,0.001,0.001,0.015,2018-11-14
2528,1.0,1.92,1322.0,0.0,2.0,26.0,2018-12-11
2528,1.92,2.97,648.9,0.2,0.9,7.8,2018-12-11
2528,2.97,4.02,322.9,0.1,0.5,3.5,2018-12-11
2528,4.02,4.88,189.9,0.1,0.4,2.0,2018-12-11
2528,4.88,5.9,122.5,0.1,0.3,1.3,2018-12-11
2528,5.9,7.09,78.33,0.04,0.16,0.83,2018-12-11
2528,7.09,8.48,49.89,0.03,0.1,0.53,2018-12-11
2528,8.48,11.0,28.52,0.01,0.05,0.31,2018-12-11
2528,11.0,16.6,11.82,0.01,0.02,0.13,2018-12-11
2528,16.6,22.8,4.398,0.002,0.006,0.051,2018-12-11
2528,22.8,41.9,1.254,0.001,0.001,0.015,2018-12-11
2529,1.0,1.92,1333.0,0.0,1.0,26.0,2019-01-07
2529,1.92,2.97,651.0,0.2,0.6,7.8,2019-01-07
2529,2.97,4.02,322.9,0.1,0.3,3.5,2019-01-07
2529,4.02,4.88,189.8,0.1,0.2,2.0,2019-01-07
2529,4.88,5.9,122.3,0.1,0.2,1.3,2019-01-07
2529,5.9,7.09,78.23,0.04,0.1,0.82,2019-01-07
2529,7.09,8.48,49.85,0.03,0.06,0.52,2019-01-07
2529,8.48,11.0,28.5,0.01,0.03,0.3,2019-01-07
2529,11.0,16.6,11.83,0.01,0.01,0.13,2019-01-07
2529,16.6,22.8,4.399,0.003,0.004,0.05,2019-01-07
2529,22.8,41.9,1.253,0.001,0.001,0.015,2019-01-07
2530,1.0,1.92,1357.0,1.0,1.0,26.0,2019-02-03
2530,1.92,2.97,660.6,0.3,0.6,7.9,2019-02-03
2530,2.97,4.02,327.3,0.2,0.4,3.5,2019-02-03
2530,4.02,4.88,192.0,0.1,0.3,2.0,2019-02-03
2530,4.88,5.9,123.6,0.1,0.2,1.3,2019-02-03
2530,5.9,7.09,78.97,0.06,0.1,0.82,2019-02-03
2530,7.09,8.48,50.37,0.04,0.07,0.53,2019-02-03
2530,8.48,11.0,28.71,0.02,0.03,0.31,2019-02-03
2530,11.0,16.6,11.88,0.01,0.01,0.13,2019-02-03
2530,16.6,22.8,4.41,0.004,0.004,0.05,2019-02-03
2530,22.8,41.9,1.258,0.001,0.001,0.015,2019-02-03
2531,1.0,1.92,1376.0,1.0,2.0,27.0,2019-03-02
2531,1.92,2.97,663.5,0.4,0.8,8.0,2019-03-02
2531,2.97,4.02,327.2,0.2,0.4,3.5,2019-03-02
2531,4.02,4.88,191.9,0.1,0.3,2.0,2019-03-02
2531,4.88,5.9,123.3,0.1,0.2,1.3,2019-03-02
2531,5.9,7.09,78.82,0.06,0.13,0.83,2019-03-02
2531,7.09,8.48,50.17,0.04,0.08,0.53,2019-03-02
2531,8.48,11.0,28.67,0.02,0.04,0.31,2019-03-02
2531,11.0,16.6,11.88,0.01,0.01,0.13,2019-03-02
2531,16.6,22.8,4.405,0.004,0.005,0.05,2019-03-02
2531,22.8,41.9,1.255,0.001,0.001,0.015,2019-03-02
2532,1.0,1.92,1370.0,1.0,1.0,26.0,2019-03-29
2532,1.92,2.97,660.6,0.2,0.7,7.9,2019-03-29
2532,2.97,4.02,326.6,0.1,0.4,3.5,2019-03-29
2532,4.02,4.88,191.5,0.1,0.3,2.0,2019-03-29
2532,4.88,5.9,123.3,0.1,0.2,1.3,2019-03-29
2532,5.9,7.09,78.72,0.04,0.12,0.82,2019-03-29
2532,7.09,8.48,50.11,0.03,0.08,0.53,2019-03-29
2532,8.48,11.0,28.64,0.02,0.04,0.31,2019-03-29
2532,11.0,16.6,11.85,0.01,0.01,0.13,2019-03-29
2532,16.6,22.8,4.395,0.003,0.005,0.05,2019-03-29
2532,22.8,41.9,1.252,0.001,0.001,0.015,2019-03-29
2533,1.0,1.92,1353.0,1.0,2.0,26.0,2019-04-25
2533,1.92,2.97,652.5,0.5,1.2,7.9,2019-04-25
2533,2.97,4.02,323.0,0.3,0.7,3.5,2019-04-25
2533,4.02,4.88,189.7,0.2,0.5,2.0,2019-04-25
2533,4.88,5.9,121.8,0.1,0.3,1.3,2019-04-25
2533,5.9,7.09,77.99,0.08,0.2,0.83,2019-04-25
2533,7.09,8.48,49.67,0.05,0.13,0.53,2019-04-25
2533,8.48,11.0,28.44,0.03,0.06,0.31,2019-04-25
2533,11.0,16.6,11.77,0.01,0.02,0.13,2019-04-25
2533,16.6,22.8,4.382,0.005,0.008,0.051,2019-04-25
2533,22.8,41.9,1.249,0.002,0.002,0.015,2019-04-25
2534,1.0,1.92,1324.0,0.0,3.0,26.0,2019-05-22
2534,1.92,2.97,642.8,0.2,1.6,7.9,2019-05-22
2534,2.97,4.02,318.8,0.1,0.9,3.5,2019-05-22
2534,4.02,4.88,187.4,0.1,0.7,2.1,2019-05-22
2534,4.88,5.9,120.9,0.1,0.4,1.3,2019-05-22
2534,5.9,7.09,77.29,0.04,0.28,0.85,2019-05-22
2534,7.09,8.48,49.32,0.02,0.18,0.54,2019-05-22
2534,8.48,11.0,28.28,0.01,0.08,0.31,2019-05-22
2534,11.0,16.6,11.74,0.01,0.03,0.13,2019-05-22
2534,16.6,22.8,4.369,0.002,0.011,0.051,2019-05-22
2534,22.8,41.9,1.248,0.001,0.002,0.015,2019-05-22
2535,1.0,1.92,1359.0,2.0,3.0,26.0,2019-06-18
2535,1.92,2.97,656.5,1.0,1.4,8.0,2019-06-18
2535,2.97,4.02,325.5,0.6,0.8,3.6,2019-06-18
2535,4.02,4.88,191.5,0.4,0.6,2.1,2019-06-18
2535,4.88,5.9,123.4,0.3,0.4,1.3,2019-06-18
2535,5.9,7.09,78.5,0.18,0.22,0.84,2019-06-18
2535,7.09,8.48,50.19,0.12,0.14,0.54,2019-06-18
2535,8.48,11.0,28.58,0.07,0.07,0.31,2019-06-18
2535,11.0,16.6,11.84,0.03,0.02,0.13,2019-06-18
2535,16.6,22.8,4.377,0.012,0.009,0.051,2019-06-18
2535,22.8,41.9,1.252,0.003,0.002,0.015,2019-06-18
2536,1.0,1.92,1379.0,1.0,2.0,27.0,2019-07-15
2536,1.92,2.97,663.9,0.3,1.2,8.0,2019-07-15
2536,2.97,4.02,327.7,0.1,0.7,3.6,2019-07-15
2536,4.02,4.88,192.1,0.1,0.5,2.1,2019-07-15
2536,4.88,5.9,123.5,0.1,0.3,1.3,2019-07-15
2536,5.9,7.09,78.89,0.05,0.21,0.84,2019-07-15
2536,7.09,8.48,50.18,0.03,0.13,0.54,2019-07-15
2536,8.48,11.0,28.63,0.02,0.06,0.31,2019-07-15
2536,11.0,16.6,11.86,0.01,0.02,0.13,2019-07-15
2536,16.6,22.8,4.409,0.003,0.008,0.051,2019-07-15
2536,22.8,41.9,1.257,0.001,0.002,0.015,2019-07-15
2537,1.0,1.92,1372.0,1.0,1.0,27.0,2019-08-11
2537,1.92,2.97,661.5,0.5,0.8,8.0,2019-08-11
2537,2.97,4.02,327.3,0.3,0.5,3.5,2019-08-11
2537,4.02,4.88,191.7,0.2,0.3,2.0,2019-08-11
2537,4.88,5.9,123.4,0.1,0.2,1.3,2019-08-11
2537,5.9,7.09,78.73,0.08,0.13,0.83,2019-08-11
2537,7.09,8.48,50.11,0.06,0.08,0.53,2019-08-11
2537,8.48,11.0,28.6,0.03,0.04,0.31,2019-08-11
2537,11.0,16.6,11.83,0.01,0.01,0.13,2019-08-11
2537,16.6,22.8,4.398,0.006,0.005,0.05,2019-08-11
2537,22.8,41.9,1.25,0.002,0.001,0.015,2019-08-11
2538,1.0,1.92,1391.0,1.0,2.0,27.0,2019-09-07
2538,1.92,2.97,666.9,0.3,1.1,8.1,2019-09-07
2538,2.97,4.02,328.5,0.1,0.6,3.6,2019-09-07
2538,4.02,4.88,192.6,0.1,0.5,2.0,2019-09-07
2538,4.88,5.9,123.7,0.1,0.3,1.3,2019-09-07
2538,5.9,7.09,78.91,0.05,0.19,0.84,2019-09-07
2538,7.09,8.48,50.25,0.03,0.12,0.54,2019-09-07
2538,8.48,11.0,28.65,0.02,0.06,0.31,2019-09-07
2538,11.0,16.6,11.87,0.01,0.02,0.13,2019-09-07
2538,16.6,22.8,4.408,0.003,0.008,0.051,2019-09-07
2538,22.8,41.9,1.254,0.001,0.002,0.015,2019-09-07
2539,1.0,1.92,1386.0,0.0,2.0,27.0,2019-10-04
2539,1.92,2.97,667.2,0.2,1.0,8.0,2019-10-04
2539,2.97,4.02,329.3,0.1,0.6,3.6,2019-10-04
2539,4.02,4.88,192.8,0.1,0.4,2.0,2019-10-04
2539,4.88,5.9,124.2,0.1,0.3,1.3,2019-10-04
2539,5.9,7.09,79.17,0.04,0.17,0.84,2019-10-04
2539,7.09,8.48,50.38,0.03,0.11,0.54,2019-10-04
2539,8.48,11.0,28.77,0.01,0.05,0.31,2019-10-04
2539,11.0,16.6,11.92,0.01,0.02,0.13,2019-10-04
2539,16.6,22.8,4.415,0.003,0.007,0.051,2019-10-04
2539,22.8,41.9,1.26,0.001,0.002,0.015,2019-10-04
2540,1.0,1.92,1380.0,1.0,1.0,27.0,2019-10-31
2540,1.92,2.97,665.3,0.3,0.8,8.0,2019-10-31
2540,2.97,4.02,328.9,0.2,0.4,3.5,2019-10-31
2540,4.02,4.88,192.7,0.1,0.3,2.0,2019-10-31
2540,4.88,5.9,124.2,0.1,0.2,1.3,2019-10-31
2540,5.9,7.09,79.36,0.06,0.13,0.83,2019-10-31
2540,7.09,8.48,50.48,0.04,0.08,0.53,2019-10-31
2540,8.48,11.0,28.77,0.02,0.04,0.31,2019-10-31
2540,11.0,16.6,11.91,0.01,0.01,0.13,2019-10-31
2540,16.6,22.8,4.425,0.004,0.005,0.051,2019-10-31
2540,22.8,41.9,1.259,0.001,0.001,0.015,2019-10-31
2543,1.0,1.92,1395.0,1.0,1.0,27.0,2020-01-20
2543,1.92,2.97,666.3,0.4,0.6,8.0,2020-01-20
2543,2.97,4.02,327.8,0.2,0.3,3.5,2020-01-20
2543,4.02,4.88,192.2,0.2,0.2,2.0,2020-01-20
2543,4.88,5.9,123.7,0.1,0.1,1.3,2020-01-20
2543,5.9,7.09,79.05,0.07,0.1,0.82,2020-01-20
2543,7.09,8.48,50.37,0.05,0.06,0.53,2020-01-20
2543,8.48,11.0,28.75,0.03,0.03,0.31,2020-01-20
2543,11.0,16.6,11.92,0.01,0.01,0.13,2020-01-20
2543,16.6,22.8,4.425,0.005,0.004,0.051,2020-01-20
2543,22.8,41.9,1.257,0.001,0.001,0.015,2020-01-20
2544,1.0,1.92,1411.0,0.0,1.0,27.0,2020-02-16
2544,1.92,2.97,673.8,0.2,0.7,8.1,2020-02-16
2544,2.97,4.02,332.2,0.1,0.4,3.6,2020-02-16
2544,4.02,4.88,194.5,0.1,0.3,2.0,2020-02-16
2544,4.88,5.9,125.0,0.1,0.2,1.3,2020-02-16
2544,5.9,7.09,79.76,0.04,0.11,0.83,2020-02-16
2544,7.09,8.48,50.7,0.03,0.07,0.53,2020-02-16
2544,8.48,11.0,28.94,0.01,0.03,0.31,2020-02-16
2544,11.0,16.6,11.98,0.01,0.01,0.13,2020-02-16
2544,16.6,22.8,4.435,0.002,0.004,0.051,2020-02-16
2544,22.8,41.9,1.26,0.001,0.001,0.015,2020-02-16
2545,1.0,1.92,1428.0,1.0,2.0,28.0,2020-03-14
2545,1.92,2.97,680.7,0.2,1.2,8.2,2020-03-14
2545,2.97,4.02,334.2,0.1,0.7,3.6,2020-03-14
2545,4.02,4.88,195.4,0.1,0.5,2.1,2020-03-14
2545,4.88,5.9,125.5,0.1,0.3,1.3,2020-03-14
2545,5.9,7.09,80.05,0.04,0.19,0.85,2020-03-14
2545,7.09,8.48,50.82,0.03,0.12,0.54,2020-03-14
2545,8.48,11.0,28.95,0.01,0.06,0.31,2020-03-14
2545,11.0,16.6,11.97,0.01,0.02,0.13,2020-03-14
2545,16.6,22.8,4.432,0.003,0.008,0.051,2020-03-14
2545,22.8,41.9,1.26,0.001,0.002,0.015,2020-03-14
2546,1.0,1.92,1435.0,1.0,2.0,28.0,2020-04-10
2546,1.92,2.97,681.0,0.2,0.9,8.2,2020-04-10
2546,2.97,4.02,334.0,0.1,0.5,3.6,2020-04-10
2546,4.02,4.88,195.2,0.1,0.3,2.1,2020-04-10
2546,4.88,5.9,125.5,0.1,0.2,1.3,2020-04-10
2546,5.9,7.09,79.99,0.04,0.14,0.84,2020-04-10
2546,7.09,8.48,50.85,0.03,0.09,0.54,2020-04-10
2546,8.48,11.0,28.99,0.01,0.04,0.31,2020-04-10
2546,11.0,16.6,11.97,0.01,0.01,0.13,2020-04-10
2546,16.6,22.8,4.43,0.002,0.006,0.051,2020-04-10
2546,22.8,41.9,1.26,0.001,0.001,0.015,2020-04-10
2547,1.0,1.92,1435.0,1.0,2.0,28.0,2020-05-07
2547,1.92,2.97,680.5,0.2,0.9,8.2,2020-05-07
2547,2.97,4.02,334.2,0.1,0.5,3.6,2020-05-07
2547,4.02,4.88,195.4,0.1,0.4,2.1,2020-05-07
2547,4.88,5.9,125.6,0.1,0.2,1.3,2020-05-07
2547,5.9,7.09,80.05,0.04,0.15,0.84,2020-05-07
2547,7.09,8.48,50.86,0.03,0.1,0.54,2020-05-07
2547,8.48,11.0,29.01,0.01,0.05,0.31,2020-05-07
2547,11.0,16.6,11.97,0.01,0.01,0.13,2020-05-07
2547,16.6,22.8,4.44,0.002,0.006,0.051,2020-05-07
2547,22.8,41.9,1.259,0.001,0.001,0.015,2020-05-07
2548,1.0,1.92,1438.0,1.0,3.0,28.0,2020-06-03
2548,1.92,2.97,678.6,0.3,1.7,8.3,2020-06-03
2548,2.97,4.02,332.8,0.2,0.9,3.7,2020-06-03
2548,4.02,4.88,194.5,0.1,0.7,2.1,2020-06-03
2548,4.88,5.9,124.8,0.1,0.4,1.4,2020-06-03
2548,5.9,7.09,79.62,0.05,0.27,0.87,2020-06-03
2548,7.09,8.48,50.55,0.03,0.17,0.56,2020-06-03
2548,8.48,11.0,28.82,0.02,0.08,0.32,2020-06-03
2548,11.0,16.6,11.91,0.01,0.03,0.13,2020-06-03
2548,16.6,22.8,4.413,0.003,0.011,0.051,2020-06-03
2548,22.8,41.9,1.255,0.001,0.002,0.015,2020-06-03
2552,1.0,1.92,1444.0,1.0,1.0,28.0,2020-09-19
2552,1.92,2.97,681.2,0.3,0.7,8.2,2020-09-19
2552,2.97,4.02,334.0,0.2,0.4,3.6,2020-09-19
2552,4.02,4.88,195.0,0.1,0.3,2.0,2020-09-19
2552,4.88,5.9,125.2,0.1,0.2,1.3,2020-09-19
2552,5.9,7.09,79.77,0.06,0.11,0.83,2020-09-19
2552,7.09,8.48,50.69,0.04,0.07,0.53,2020-09-19
2552,8.48,11.0,28.85,0.02,0.03,0.31,2020-09-19
2552,11.0,16.6,11.95,0.01,0.01,0.13,2020-09-19
2552,16.6,22.8,4.426,0.004,0.005,0.051,2020-09-19
2552,22.8,41.9,1.257,0.001,0.001,0.015,2020-09-19
2553,1.0,1.92,1386.0,1.0,1.0,27.0,2020-10-16
2553,1.92,2.97,660.1,0.3,0.6,7.9,2020-10-16
2553,2.97,4.02,325.6,0.1,0.3,3.5,2020-10-16
2553,4.02,4.88,190.9,0.1,0.2,2.0,2020-10-16
2553,4.88,5.9,123.0,0.1,0.2,1.3,2020-10-16
2553,5.9,7.09,78.52,0.04,0.1,0.82,2020-10-16
2553,7.09,8.48,50.01,0.03,0.06,0.53,2020-10-16
2553,8.48,11.0,28.58,0.02,0.03,0.3,2020-10-16
2553,11.0,16.6,11.85,0.01,0.01,0.13,2020-10-16
2553,16.6,22.8,4.4,0.003,0.004,0.05,2020-10-16
2553,22.8,41.9,1.251,0.001,0.001,0.015,2020-10-16
2554,1.0,1.92,1410.0,1.0,2.0,27.0,2020-11-12
2554,1.92,2.97,666.9,0.3,0.9,8.0,2020-11-12
2554,2.97,4.02,328.2,0.1,0.5,3.5,2020-11-12
2554,4.02,4.88,192.2,0.1,0.4,2.0,2020-11-12
2554,4.88,5.9,123.8,0.1,0.2,1.3,2020-11-12
2554,5.9,7.09,78.99,0.04,0.15,0.83,2020-11-12
2554,7.09,8.48,50.33,0.03,0.09,0.53,2020-11-12
2554,8.48,11.0,28.74,0.02,0.04,0.31,2020-11-12
2554,11.0,16.6,11.89,0.01,0.01,0.13,2020-11-12
2554,16.6,22.8,4.415,0.003,0.006,0.051,2020-11-12
2554,22.8,41.9,1.254,0.001,0.001,0.015,2020-11-12
2555,1.0,1.92,1366.0,1.0,1.0,26.0,2020-12-09
2555,1.92,2.97,652.8,0.2,0.7,7.8,2020-12-09
2555,2.97,4.02,323.5,0.1,0.4,3.5,2020-12-09
2555,4.02,4.88,190.2,0.1,0.3,2.0,2020-12-09
2555,4.88,5.9,122.6,0.1,0.2,1.3,2020-12-09
2555,5.9,7.09,78.53,0.04,0.12,0.82,2020-12-09
2555,7.09,8.48,49.97,0.03,0.07,0.53,2020-12-09
2555,8.48,11.0,28.62,0.02,0.03,0.31,2020-12-09
2555,11.0,16.6,11.86,0.01,0.01,0.13,2020-12-09
2555,16.6,22.8,4.399,0.003,0.005,0.05,2020-12-09
2555,22.8,41.9,1.252,0.001,0.001,0.015,2020-12-09
2556,1.0,1.92,1362.0,1.0,2.0,26.0,2021-01-05
2556,1.92,2.97,652.6,0.2,1.0,7.9,2021-01-05
2556,2.97,4.02,323.2,0.1,0.6,3.5,2021-01-05
2556,4.02,4.88,189.9,0.1,0.4,2.0,2021-01-05
2556,4.88,5.9,122.4,0.1,0.3,1.3,2021-01-05
2556,5.9,7.09,78.28,0.04,0.17,0.83,2021-01-05
2556,7.09,8.48,49.86,0.03,0.11,0.53,2021-01-05
2556,8.48,11.0,28.53,0.01,0.05,0.31,2021-01-05
2556,11.0,16.6,11.82,0.01,0.02,0.13,2021-01-05
2556,16.6,22.8,4.392,0.003,0.007,0.051,2021-01-05
2556,22.8,41.9,1.251,0.001,0.001,0.015,2021-01-05
2557,1.0,1.92,1352.0,1.0,1.0,26.0,2021-02-01
2557,1.92,2.97,649.1,0.2,0.7,7.8,2021-02-01
2557,2.97,4.02,322.0,0.1,0.4,3.4,2021-02-01
2557,4.02,4.88,189.5,0.1,0.3,2.0,2021-02-01
2557,4.88,5.9,122.3,0.1,0.2,1.3,2021-02-01
2557,5.9,7.09,78.26,0.04,0.12,0.82,2021-02-01
2557,7.09,8.48,49.93,0.03,0.08,0.53,2021-02-01
2557,8.48,11.0,28.56,0.01,0.04,0.31,2021-02-01
2557,11.0,16.6,11.84,0.01,0.01,0.13,2021-02-01
2557,16.6,22.8,4.398,0.003,0.005,0.05,2021-02-01
2557,22.8,41.9,1.252,0.001,0.001,0.015,2021-02-01
2558,1.0,1.92,1338.0,1.0,1.0,26.0,2021-02-28
2558,1.92,2.97,643.2,0.3,0.6,7.7,2021-02-28
2558,2.97,4.02,319.2,0.1,0.3,3.4,2021-02-28
2558,4.02,4.88,188.1,0.1,0.2,2.0,2021-02-28
2558,4.88,5.9,121.3,0.1,0.2,1.3,2021-02-28
2558,5.9,7.09,77.65,0.04,0.1,0.81,2021-02-28
2558,7.09,8.48,49.53,0.03,0.06,0.52,2021-02-28
2558,8.48,11.0,28.36,0.02,0.03,0.3,2021-02-28
2558,11.0,16.6,11.77,0.01,0.01,0.13,2021-02-28
2558,16.6,22.8,4.378,0.003,0.004,0.05,2021-02-28
2558,22.8,41.9,1.247,0.001,0.001,0.015,2021-02-28
2559,1.0,1.92,1346.0,1.0,1.0,26.0,2021-03-27
2559,1.92,2.97,648.1,0.3,0.7,7.8,2021-03-27
2559,2.97,4.02,321.6,0.1,0.4,3.4,2021-03-27
2559,4.02,4.88,189.2,0.1,0.3,2.0,2021-03-27
2559,4.88,5.9,121.9,0.1,0.2,1.3,2021-03-27
2559,5.9,7.09,77.97,0.04,0.11,0.81,2021-03-27
2559,7.09,8.48,49.71,0.03,0.07,0.52,2021-03-27
2559,8.48,11.0,28.47,0.02,0.03,0.3,2021-03-27
2559,11.0,16.6,11.8,0.01,0.01,0.13,2021-03-27
2559,16.6,22.8,4.381,0.003,0.005,0.05,2021-03-27
2559,22.8,41.9,1.248,0.001,0.001,0.015,2021-03-27
2560,1.0,1.92,1337.0,1.0,1.0,26.0,2021-04-23
2560,1.92,2.97,648.6,0.3,0.7,7.8,2021-04-23
2560,2.97,4.02,321.8,0.1,0.4,3.4,2021-04-23
2560,4.02,4.88,189.4,0.1,0.3,2.0,2021-04-23
2560,4.88,5.9,122.2,0.1,0.2,1.3,2021-04-23
2560,5.9,7.09,78.18,0.04,0.12,0.82,2021-04-23
2560,7.09,8.48,49.82,0.03,0.08,0.53,2021-04-23
2560,8.48,11.0,28.46,0.02,0.04,0.3,2021-04-23
2560,11.0,16.6,11.8,0.01,0.01,0.13,2021-04-23
2560,16.6,22.8,4.385,0.003,0.005,0.05,2021-04-23
2560,22.8,41.9,1.249,0.001,0.001,0.015,2021-04-23
2561,1.0,1.92,1377.0,1.0,2.0,27.0,2021-05-20
2561,1.92,2.97,663.3,0.3,1.1,8.0,2021-05-20
2561,2.97,4.02,327.4,0.2,0.6,3.5,2021-05-20
2561,4.02,4.88,192.1,0.1,0.4,2.0,2021-05-20
2561,4.88,5.9,123.5,0.1,0.3,1.3,2021-05-20
2561,5.9,7.09,78.96,0.05,0.18,0.84,2021-05-20
2561,7.09,8.48,50.17,0.03,0.11,0.54,2021-05-20
2561,8.48,11.0,28.69,0.02,0.05,0.31,2021-05-20
