Date_Time,North_Pole_Field_Gauss,South_Pole_Field_Gauss,Average_Field_Gauss,North_Filtered_Gauss,South_Filtered_Gauss,Average_Filtered_Gauss
2009:11:24_21h:07m:13s,-49N,41S,-45Avg,-45Nf,51Sf,-48Avgf
2009:12:04_21h:07m:13s,-55N,40S,-48Avg,-46Nf,51Sf,-48Avgf
2009:12:14_21h:07m:13s,-38N,47S,-42Avg,-46Nf,51Sf,-48Avgf
2009:12:24_21h:07m:13s,-23N,57S,-40Avg,-46Nf,50Sf,-48Avgf
2010:01:03_21h:07m:13s,-18N,60S,-39Avg,-46Nf,50Sf,-48Avgf
2010:01:13_21h:07m:13s,-29N,63S,-46Avg,-45Nf,50Sf,-48Avgf
2010:01:23_21h:07m:13s,-32N,64S,-48Avg,-45Nf,50Sf,-48Avgf
2010:02:02_21h:07m:13s,-23N,87S,-55Avg,-45Nf,50Sf,-47Avgf
2010:02:12_21h:07m:13s,-28N,80S,-54Avg,-45Nf,49Sf,-47Avgf
2010:02:22_21h:07m:13s,-19N,91S,-55Avg,-45Nf,49Sf,-47Avgf
2010:03:04_21h:07m:13s,-17N,65S,-41Avg,-45Nf,49Sf,-47Avgf
2010:03:14_21h:07m:13s,-22N,69S,-46Avg,-44Nf,49Sf,-46Avgf
2010:03:24_21h:07m:13s,-25N,68S,-47Avg,-44Nf,48Sf,-46Avgf
2010:04:03_21h:07m:13s,-32N,73S,-52Avg,-44Nf,48Sf,-46Avgf
2010:04:13_21h:07m:13s,-28N,58S,-43Avg,-43Nf,48Sf,-45Avgf
2010:04:23_21h:07m:13s,-31N,63S,-47Avg,-43Nf,47Sf,-45Avgf
2010:05:03_21h:07m:13s,-30N,67S,-48Avg,-42Nf,47Sf,-45Avgf
2010:05:13_21h:07m:13s,-32N,68S,-50Avg,-42Nf,47Sf,-44Avgf
2010:05:23_21h:07m:13s,-41N,55S,-48Avg,-41Nf,46Sf,-44Avgf
2010:06:02_21h:07m:13s,-45N,51S,-48Avg,-40Nf,46Sf,-43Avgf
2010:06:12_21h:07m:13s,-44N,47S,-46Avg,-40Nf,46Sf,-43Avgf
2010:06:22_21h:07m:13s,-51N,39S,-45Avg,-39Nf,45Sf,-42Avgf
2010:07:02_21h:07m:13s,-49N,39S,-44Avg,-38Nf,45Sf,-42Avgf
2010:07:12_21h:07m:13s,-52N,35S,-44Avg,-37Nf,45Sf,-41Avgf
2010:07:22_21h:07m:13s,-51N,32S,-42Avg,-36Nf,44Sf,-40Avgf
2010:08:01_21h:07m:13s,-58N,28S,-43Avg,-36Nf,44Sf,-40Avgf
2010:08:11_21h:07m:13s,-58N,25S,-42Avg,-35Nf,44Sf,-39Avgf
2010:08:21_21h:07m:13s,-54N,20S,-37Avg,-34Nf,43Sf,-38Avgf
2010:08:31_21h:07m:13s,-53N,15S,-34Avg,-33Nf,43Sf,-38Avgf
2010:09:10_21h:07m:13s,-53N,13S,-33Avg,-32Nf,42Sf,-37Avgf
2010:09:20_21h:07m:13s,-52N,18S,-35Avg,-31Nf,42Sf,-37Avgf
2010:09:30_21h:07m:13s,-51N,20S,-35Avg,-30Nf,41Sf,-36Avgf
2010:10:10_21h:07m:13s,-54N,22S,-38Avg,-29Nf,41Sf,-35Avgf
2010:10:20_21h:07m:13s,-57N,22S,-39Avg,-29Nf,41Sf,-35Avgf
2010:10:30_21h:07m:13s,-51N,18S,-35Avg,-28Nf,40Sf,-34Avgf
2010:11:09_21h:07m:13s,-45N,21S,-33Avg,-27Nf,40Sf,-33Avgf
2010:11:19_21h:07m:13s,-44N,26S,-35Avg,-26Nf,40Sf,-33Avgf
2010:11:29_21h:07m:13s,-28N,43S,-36Avg,-25Nf,39Sf,-32Avgf
2010:12:09_21h:07m:13s,-14N,51S,-32Avg,-25Nf,39Sf,-32Avgf
2010:12:19_21h:07m:13s,-5N,50S,-28Avg,-24Nf,39Sf,-31Avgf
2010:12:29_21h:07m:13s,-4N,49S,-27Avg,-23Nf,39Sf,-31Avgf
2011:01:08_21h:07m:13s,8N,41S,-16Avg,-22Nf,38Sf,-30Avgf
2011:01:18_21h:07m:13s,1N,46S,-22Avg,-22Nf,38Sf,-30Avgf
2011:01:28_21h:07m:13s,12N,52S,-20Avg,-21Nf,38Sf,-30Avgf
2011:02:07_21h:07m:13s,9N,58S,-25Avg,-20Nf,38Sf,-29Avgf
2011:02:17_21h:07m:13s,11N,59S,-24Avg,-20Nf,38Sf,-29Avgf
2011:02:27_21h:07m:13s,3N,63S,-30Avg,-19Nf,38Sf,-29Avgf
2011:03:09_21h:07m:13s,7N,69S,-31Avg,-19Nf,38Sf,-28Avgf
2011:03:19_21h:07m:13s,5N,48S,-22Avg,-18Nf,38Sf,-28Avgf
2011:03:29_21h:07m:13s,-6N,45S,-26Avg,-18Nf,38Sf,-28Avgf
2011:04:08_21h:07m:13s,-4N,47S,-25Avg,-17Nf,39Sf,-28Avgf
2011:04:18_21h:07m:13s,-0N,51S,-26Avg,-17Nf,39Sf,-28Avgf
2011:04:28_21h:07m:13s,0N,51S,-25Avg,-16Nf,39Sf,-28Avgf
2011:05:08_21h:07m:13s,1N,49S,-24Avg,-16Nf,39Sf,-28Avgf
2011:05:18_21h:07m:13s,-4N,47S,-26Avg,-16Nf,40Sf,-28Avgf
2011:05:28_21h:07m:13s,-18N,46S,-32Avg,-16Nf,40Sf,-28Avgf
2011:06:07_21h:07m:13s,-23N,45S,-34Avg,-15Nf,40Sf,-28Avgf
2011:06:17_21h:07m:13s,-20N,42S,-31Avg,-15Nf,41Sf,-28Avgf
2011:06:27_21h:07m:13s,-20N,33S,-27Avg,-15Nf,41Sf,-28Avgf
2011:07:07_21h:07m:13s,-25N,30S,-27Avg,-15Nf,42Sf,-28Avgf
2011:07:17_21h:07m:13s,-28N,29S,-28Avg,-14Nf,42Sf,-28Avgf
2011:07:27_21h:07m:13s,-27N,30S,-29Avg,-14Nf,42Sf,-28Avgf
2011:08:06_21h:07m:13s,-34N,28S,-31Avg,-14Nf,43Sf,-28Avgf
2011:08:16_21h:07m:13s,-38N,31S,-34Avg,-14Nf,43Sf,-28Avgf
2011:08:26_21h:07m:13s,-35N,29S,-32Avg,-14Nf,43Sf,-29Avgf
2011:09:05_21h:07m:13s,-31N,24S,-27Avg,-14Nf,43Sf,-29Avgf
2011:09:15_21h:07m:13s,-32N,23S,-28Avg,-14Nf,44Sf,-29Avgf
2011:09:25_21h:07m:13s,-37N,24S,-30Avg,-14Nf,44Sf,-29Avgf
2011:10:05_21h:07m:13s,-32N,27S,-29Avg,-13Nf,44Sf,-29Avgf
2011:10:15_21h:07m:13s,-29N,24S,-27Avg,-13Nf,44Sf,-29Avgf
2011:10:25_21h:07m:13s,-29N,26S,-28Avg,-13Nf,44Sf,-28Avgf
2011:11:04_21h:07m:13s,-30N,33S,-32Avg,-13Nf,44Sf,-28Avgf
2011:11:14_21h:07m:13s,-26N,36S,-31Avg,-12Nf,44Sf,-28Avgf
2011:11:24_21h:07m:13s,-16N,38S,-27Avg,-12Nf,44Sf,-28Avgf
2011:12:04_21h:07m:13s,-13N,41S,-27Avg,-12Nf,44Sf,-28Avgf
2011:12:14_21h:07m:13s,-5N,45S,-25Avg,-11Nf,44Sf,-28Avgf
2011:12:24_21h:07m:13s,-7N,49S,-28Avg,-11Nf,43Sf,-27Avgf
2012:01:03_21h:07m:13s,-7N,49S,-28Avg,-11Nf,43Sf,-27Avgf
2012:01:13_21h:07m:13s,-7N,50S,-28Avg,-10Nf,43Sf,-27Avgf
2012:01:23_21h:07m:13s,2N,56S,-27Avg,-10Nf,43Sf,-26Avgf
2012:02:02_21h:07m:13s,2N,66S,-32Avg,-9Nf,42Sf,-26Avgf
2012:02:12_21h:07m:13s,7N,59S,-26Avg,-8Nf,42Sf,-25Avgf
2012:02:22_21h:07m:13s,8N,55S,-23Avg,-8Nf,42Sf,-25Avgf
2012:03:03_21h:07m:13s,17N,53S,-18Avg,-7Nf,41Sf,-24Avgf
2012:03:13_21h:07m:13s,8N,60S,-26Avg,-6Nf,41Sf,-24Avgf
2012:03:23_21h:07m:13s,8N,71S,-32Avg,-6Nf,41Sf,-23Avgf
2012:04:02_21h:07m:13s,11N,68S,-28Avg,-5Nf,40Sf,-23Avgf
2012:04:12_21h:07m:13s,8N,61S,-27Avg,-4Nf,40Sf,-22Avgf
2012:04:22_21h:07m:13s,8N,49S,-21Avg,-4Nf,39Sf,-21Avgf
2012:05:02_21h:07m:13s,8N,51S,-21Avg,-3Nf,38Sf,-21Avgf
2012:05:12_21h:07m:13s,6N,47S,-21Avg,-2Nf,38Sf,-20Avgf
2012:05:22_21h:07m:13s,1N,50S,-25Avg,-1Nf,37Sf,-19Avgf
2012:06:01_21h:07m:13s,-5N,42S,-23Avg,-1Nf,37Sf,-19Avgf
2012:06:11_21h:07m:13s,-2N,36S,-19Avg,0Nf,36Sf,-18Avgf
2012:06:21_21h:07m:13s,-2N,33S,-17Avg,1Nf,35Sf,-17Avgf
2012:07:01_21h:07m:13s,-4N,26S,-15Avg,1Nf,35Sf,-17Avgf
2012:07:11_21h:07m:13s,-5N,23S,-14Avg,2Nf,34Sf,-16Avgf
2012:07:21_21h:07m:13s,-9N,17S,-13Avg,3Nf,33Sf,-15Avgf
2012:07:31_21h:07m:13s,-9N,16S,-13Avg,4Nf,32Sf,-14Avgf
2012:08:10_21h:07m:13s,-15N,11S,-13Avg,4Nf,31Sf,-14Avgf
2012:08:20_21h:07m:13s,-6N,10S,-8Avg,5Nf,31Sf,-13Avgf
2012:08:30_21h:07m:13s,-7N,8S,-7Avg,5Nf,30Sf,-12Avgf
2012:09:09_21h:07m:13s,-5N,8S,-7Avg,6Nf,29Sf,-11Avgf
2012:09:19_21h:07m:13s,-9N,6S,-7Avg,6Nf,28Sf,-11Avgf
2012:09:29_21h:07m:13s,-1N,9S,-5Avg,7Nf,27Sf,-10Avgf
2012:10:09_21h:07m:13s,1N,8S,-3Avg,7Nf,26Sf,-9Avgf
2012:10:19_21h:07m:13s,1N,3S,-1Avg,8Nf,25Sf,-9Avgf
2012:10:29_21h:07m:13s,5N,1S,2Avg,8Nf,24Sf,-8Avgf
2012:11:08_21h:07m:13s,12N,2S,5Avg,9Nf,23Sf,-7Avgf
2012:11:18_21h:07m:13s,15N,1S,7Avg,9Nf,22Sf,-7Avgf
2012:11:28_21h:07m:13s,13N,15S,-1Avg,9Nf,21Sf,-6Avgf
2012:12:08_21h:07m:13s,12N,22S,-5Avg,10Nf,20Sf,-5Avgf
2012:12:18_21h:07m:13s,16N,25S,-4Avg,10Nf,19Sf,-5Avgf
2012:12:28_21h:07m:13s,10N,30S,-10Avg,10Nf,18Sf,-4Avgf
2013:01:07_21h:07m:13s,16N,31S,-8Avg,11Nf,17Sf,-3Avgf
2013:01:17_21h:07m:13s,18N,33S,-8Avg,11Nf,16Sf,-3Avgf
2013:01:27_21h:07m:13s,18N,33S,-8Avg,11Nf,15Sf,-2Avgf
2013:02:06_21h:07m:13s,15N,46S,-16Avg,11Nf,14Sf,-1Avgf
2013:02:16_21h:07m:13s,20N,38S,-9Avg,12Nf,14Sf,-1Avgf
2013:02:26_21h:07m:13s,20N,39S,-10Avg,12Nf,13Sf,-0Avgf
2013:03:08_21h:07m:13s,16N,30S,-7Avg,12Nf,12Sf,0Avgf
2013:03:18_21h:07m:13s,12N,35S,-11Avg,12Nf,11Sf,1Avgf
2013:03:28_21h:07m:13s,9N,25S,-8Avg,12Nf,10Sf,1Avgf
2013:04:07_21h:07m:13s,10N,27S,-8Avg,12Nf,9Sf,2Avgf
2013:04:17_21h:07m:13s,11N,28S,-9Avg,12Nf,8Sf,2Avgf
2013:04:27_21h:07m:13s,14N,22S,-4Avg,12Nf,7Sf,3Avgf
2013:05:07_21h:07m:13s,13N,16S,-2Avg,12Nf,6Sf,3Avgf
2013:05:17_21h:07m:13s,7N,3S,2Avg,12Nf,5Sf,3Avgf
2013:05:27_21h:07m:13s,14N,-3S,9Avg,12Nf,4Sf,4Avgf
2013:06:06_21h:07m:13s,16N,-7S,12Avg,12Nf,4Sf,4Avgf
2013:06:16_21h:07m:13s,15N,-13S,14Avg,12Nf,3Sf,4Avgf
2013:06:26_21h:07m:13s,2N,-8S,5Avg,11Nf,2Sf,5Avgf
2013:07:06_21h:07m:13s,4N,-21S,12Avg,11Nf,1Sf,5Avgf
2013:07:16_21h:07m:13s,9N,-18S,13Avg,11Nf,0Sf,5Avgf
2013:07:26_21h:07m:13s,10N,-14S,12Avg,10Nf,-1Sf,5Avgf
2013:08:05_21h:07m:13s,10N,-10S,10Avg,10Nf,-1Sf,6Avgf
2013:08:15_21h:07m:13s,11N,-14S,12Avg,10Nf,-2Sf,6Avgf
2013:08:25_21h:07m:13s,11N,-13S,12Avg,9Nf,-3Sf,6Avgf
2013:09:04_21h:07m:13s,14N,-14S,14Avg,9Nf,-4Sf,6Avgf
2013:09:14_21h:07m:13s,10N,-10S,10Avg,8Nf,-4Sf,6Avgf
2013:09:24_21h:07m:13s,10N,-9S,9Avg,8Nf,-5Sf,6Avgf
2013:10:04_21h:07m:13s,10N,-11S,10Avg,7Nf,-6Sf,6Avgf
2013:10:14_21h:07m:13s,13N,-13S,13Avg,6Nf,-6Sf,6Avgf
2013:10:24_21h:07m:13s,14N,-16S,15Avg,6Nf,-7Sf,6Avgf
2013:11:03_21h:07m:13s,8N,-13S,11Avg,5Nf,-7Sf,6Avgf
2013:11:13_21h:07m:13s,10N,-10S,10Avg,5Nf,-8Sf,6Avgf
2013:11:23_21h:07m:13s,7N,-17S,12Avg,4Nf,-9Sf,6Avgf
2013:12:03_21h:07m:13s,5N,-15S,10Avg,3Nf,-9Sf,6Avgf
2013:12:13_21h:07m:13s,3N,-15S,9Avg,3Nf,-10Sf,6Avgf
2013:12:23_21h:07m:13s,2N,-12S,7Avg,2Nf,-10Sf,6Avgf
2014:01:02_21h:07m:13s,-3N,-12S,4Avg,2Nf,-11Sf,6Avgf
2014:01:12_21h:07m:13s,-10N,-9S,-0Avg,1Nf,-11Sf,6Avgf
2014:01:22_21h:07m:13s,-10N,-6S,-2Avg,1Nf,-11Sf,6Avgf
2014:02:01_21h:07m:13s,-8N,-6S,-1Avg,0Nf,-12Sf,6Avgf
2014:02:11_21h:07m:13s,-2N,-6S,2Avg,-0Nf,-12Sf,6Avgf
2014:02:21_21h:07m:13s,1N,-6S,3Avg,-1Nf,-13Sf,6Avgf
2014:03:03_21h:07m:13s,-3N,-2S,-1Avg,-1Nf,-13Sf,6Avgf
2014:03:13_21h:07m:13s,-8N,-5S,-2Avg,-1Nf,-14Sf,6Avgf
2014:03:23_21h:07m:13s,-9N,-5S,-2Avg,-1Nf,-14Sf,6Avgf
2014:04:02_21h:07m:13s,-4N,-7S,1Avg,-2Nf,-15Sf,7Avgf
2014:04:12_21h:07m:13s,-4N,-5S,0Avg,-2Nf,-15Sf,7Avgf
2014:04:22_21h:07m:13s,-3N,-10S,3Avg,-2Nf,-16Sf,7Avgf
2014:05:02_21h:07m:13s,-3N,-11S,4Avg,-2Nf,-16Sf,7Avgf
2014:05:12_21h:07m:13s,-2N,-15S,6Avg,-2Nf,-17Sf,7Avgf
2014:05:22_21h:07m:13s,0N,-14S,7Avg,-2Nf,-18Sf,8Avgf
2014:06:01_21h:07m:13s,-1N,-20S,10Avg,-2Nf,-18Sf,8Avgf
2014:06:11_21h:07m:13s,-0N,-20S,10Avg,-2Nf,-19Sf,9Avgf
2014:06:21_21h:07m:13s,-6N,-20S,7Avg,-2Nf,-20Sf,9Avgf
2014:07:01_21h:07m:13s,-6N,-21S,7Avg,-1Nf,-21Sf,10Avgf
2014:07:11_21h:07m:13s,-2N,-20S,9Avg,-1Nf,-22Sf,10Avgf
2014:07:21_21h:07m:13s,0N,-21S,10Avg,-1Nf,-23Sf,11Avgf
2014:07:31_21h:07m:13s,5N,-22S,13Avg,-1Nf,-24Sf,11Avgf
2014:08:10_21h:07m:13s,6N,-21S,14Avg,-1Nf,-25Sf,12Avgf
2014:08:20_21h:07m:13s,9N,-26S,17Avg,-0Nf,-26Sf,13Avgf
2014:08:30_21h:07m:13s,5N,-24S,14Avg,0Nf,-27Sf,14Avgf
2014:09:09_21h:07m:13s,3N,-30S,17Avg,1Nf,-28Sf,14Avgf
2014:09:19_21h:07m:13s,6N,-36S,21Avg,1Nf,-29Sf,15Avgf
2014:09:29_21h:07m:13s,2N,-40S,21Avg,1Nf,-31Sf,16Avgf
2014:10:09_21h:07m:13s,1N,-37S,19Avg,2Nf,-32Sf,17Avgf
2014:10:19_21h:07m:13s,-1N,-34S,16Avg,2Nf,-33Sf,18Avgf
2014:10:29_21h:07m:13s,5N,-34S,20Avg,3Nf,-35Sf,19Avgf
2014:11:08_21h:07m:13s,3N,-38S,21Avg,3Nf,-36Sf,20Avgf
2014:11:18_21h:07m:13s,6N,-44S,25Avg,4Nf,-38Sf,21Avgf
2014:11:28_21h:07m:13s,6N,-45S,26Avg,4Nf,-39Sf,22Avgf
2014:12:08_21h:07m:13s,0N,-44S,22Avg,5Nf,-41Sf,23Avgf
2014:12:18_21h:07m:13s,-6N,-40S,17Avg,5Nf,-42Sf,24Avgf
2014:12:28_21h:07m:13s,-8N,-44S,18Avg,6Nf,-44Sf,25Avgf
2015:01:07_21h:07m:13s,1N,-43S,22Avg,6Nf,-45Sf,26Avgf
2015:01:17_21h:07m:13s,9N,-45S,27Avg,7Nf,-47Sf,27Avgf
2015:01:27_21h:07m:13s,18N,-41S,29Avg,7Nf,-48Sf,28Avgf
2015:02:06_21h:07m:13s,12N,-44S,28Avg,8Nf,-50Sf,29Avgf
2015:02:16_21h:07m:13s,8N,-48S,28Avg,8Nf,-51Sf,30Avgf
2015:02:26_21h:07m:13s,8N,-50S,29Avg,9Nf,-53Sf,31Avgf
2015:03:08_21h:07m:13s,15N,-51S,33Avg,9Nf,-54Sf,32Avgf
2015:03:18_21h:07m:13s,26N,-50S,38Avg,10Nf,-56Sf,33Avgf
2015:03:28_21h:07m:13s,23N,-54S,38Avg,10Nf,-57Sf,34Avgf
2015:04:07_21h:07m:13s,15N,-56S,36Avg,10Nf,-59Sf,35Avgf
2015:04:17_21h:07m:13s,11N,-59S,35Avg,11Nf,-60Sf,35Avgf
2015:04:27_21h:07m:13s,13N,-63S,38Avg,11Nf,-61Sf,36Avgf
2015:05:07_21h:07m:13s,16N,-66S,41Avg,12Nf,-63Sf,37Avgf
2015:05:17_21h:07m:13s,15N,-71S,43Avg,12Nf,-64Sf,38Avgf
2015:05:27_21h:07m:13s,12N,-81S,47Avg,13Nf,-66Sf,39Avgf
2015:06:06_21h:07m:13s,6N,-76S,41Avg,13Nf,-67Sf,40Avgf
2015:06:16_21h:07m:13s,5N,-75S,40Avg,13Nf,-69Sf,41Avgf
2015:06:26_21h:07m:13s,5N,-74S,39Avg,14Nf,-70Sf,42Avgf
2015:07:06_21h:07m:13s,10N,-76S,43Avg,14Nf,-71Sf,43Avgf
2015:07:16_21h:07m:13s,12N,-75S,44Avg,15Nf,-72Sf,43Avgf
2015:07:26_21h:07m:13s,13N,-71S,42Avg,15Nf,-73Sf,44Avgf
2015:08:05_21h:07m:13s,12N,-67S,39Avg,15Nf,-75Sf,45Avgf
2015:08:15_21h:07m:13s,13N,-64S,39Avg,16Nf,-76Sf,46Avgf
2015:08:25_21h:07m:13s,17N,-64S,41Avg,16Nf,-77Sf,46Avgf
2015:09:04_21h:07m:13s,19N,-68S,43Avg,17Nf,-77Sf,47Avgf
2015:09:14_21h:07m:13s,19N,-68S,44Avg,17Nf,-78Sf,48Avgf
2015:09:24_21h:07m:13s,20N,-70S,45Avg,18Nf,-79Sf,48Avgf
2015:10:04_21h:07m:13s,22N,-71S,47Avg,18Nf,-80Sf,49Avgf
2015:10:14_21h:07m:13s,24N,-67S,45Avg,19Nf,-80Sf,49Avgf
2015:10:24_21h:07m:13s,26N,-69S,48Avg,19Nf,-81Sf,50Avgf
2015:11:03_21h:07m:13s,26N,-67S,46Avg,20Nf,-81Sf,50Avgf
2015:11:13_21h:07m:13s,26N,-75S,51Avg,20Nf,-82Sf,51Avgf
2015:11:23_21h:07m:13s,22N,-74S,48Avg,21Nf,-82Sf,51Avgf
2015:12:03_21h:07m:13s,20N,-84S,52Avg,21Nf,-82Sf,52Avgf
2015:12:13_21h:07m:13s,18N,-89S,53Avg,22Nf,-82Sf,52Avgf
2015:12:23_21h:07m:13s,21N,-92S,56Avg,22Nf,-82Sf,52Avgf
2016:01:02_21h:07m:13s,19N,-82S,50Avg,23Nf,-82Sf,52Avgf
2016:01:12_21h:07m:13s,25N,-86S,56Avg,23Nf,-82Sf,53Avgf
2016:01:22_21h:07m:13s,21N,-84S,52Avg,24Nf,-82Sf,53Avgf
2016:02:01_21h:07m:13s,22N,-94S,58Avg,24Nf,-81Sf,53Avgf
2016:02:11_21h:07m:13s,16N,-91S,54Avg,25Nf,-81Sf,53Avgf
2016:02:21_21h:07m:13s,19N,-94S,56Avg,25Nf,-81Sf,53Avgf
2016:03:02_21h:07m:13s,15N,-94S,54Avg,26Nf,-80Sf,53Avgf
2016:03:12_21h:07m:13s,21N,-92S,56Avg,26Nf,-80Sf,53Avgf
2016:03:22_21h:07m:13s,26N,-94S,60Avg,27Nf,-80Sf,53Avgf
2016:04:01_21h:07m:13s,28N,-93S,61Avg,27Nf,-79Sf,53Avgf
2016:04:11_21h:07m:13s,29N,-98S,64Avg,28Nf,-79Sf,53Avgf
2016:04:21_21h:07m:13s,30N,-101S,66Avg,28Nf,-78Sf,53Avgf
2016:05:01_21h:07m:13s,33N,-100S,66Avg,29Nf,-78Sf,53Avgf
2016:05:11_21h:07m:13s,36N,-96S,66Avg,29Nf,-77Sf,53Avgf
2016:05:21_21h:07m:13s,28N,-85S,56Avg,30Nf,-77Sf,53Avgf
2016:05:31_21h:07m:13s,31N,-82S,57Avg,30Nf,-76Sf,53Avgf
2016:06:10_21h:07m:13s,32N,-78S,55Avg,31Nf,-75Sf,53Avgf
2016:06:20_21h:07m:13s,33N,-74S,54Avg,31Nf,-75Sf,53Avgf
2016:06:30_21h:07m:13s,33N,-65S,49Avg,31Nf,-74Sf,53Avgf
2016:07:10_21h:07m:13s,36N,-65S,50Avg,32Nf,-74Sf,53Avgf
2016:07:20_21h:07m:13s,41N,-60S,50Avg,32Nf,-74Sf,53Avgf
2016:07:30_21h:07m:13s,37N,-55S,46Avg,33Nf,-73Sf,53Avgf
2016:08:09_21h:07m:13s,35N,-50S,43Avg,33Nf,-73Sf,53Avgf
2016:08:19_21h:07m:13s,37N,-44S,40Avg,34Nf,-72Sf,53Avgf
2016:08:29_21h:07m:13s,43N,-46S,44Avg,34Nf,-72Sf,53Avgf
2016:09:08_21h:07m:13s,42N,-42S,42Avg,35Nf,-72Sf,53Avgf
2016:09:18_21h:07m:13s,42N,-38S,40Avg,35Nf,-71Sf,53Avgf
2016:09:28_21h:07m:13s,39N,-41S,40Avg,36Nf,-71Sf,54Avgf
2016:10:08_21h:07m:13s,39N,-34S,37Avg,37Nf,-71Sf,54Avgf
2016:10:18_21h:07m:13s,35N,-44S,40Avg,37Nf,-71Sf,54Avgf
2016:10:28_21h:07m:13s,35N,-45S,40Avg,38Nf,-70Sf,54Avgf
2016:11:07_21h:07m:13s,39N,-48S,43Avg,38Nf,-70Sf,54Avgf
2016:11:17_21h:07m:13s,43N,-50S,46Avg,39Nf,-70Sf,55Avgf
2016:11:27_21h:07m:13s,40N,-61S,50Avg,40Nf,-70Sf,55Avgf
2016:12:07_21h:07m:13s,30N,-71S,51Avg,40Nf,-70Sf,55Avgf
2016:12:17_21h:07m:13s,32N,-80S,56Avg,41Nf,-70Sf,55Avgf
2016:12:27_21h:07m:13s,36N,-79S,57Avg,42Nf,-70Sf,56Avgf
2017:01:06_21h:07m:13s,45N,-95S,70Avg,42Nf,-70Sf,56Avgf
2017:01:16_21h:07m:13s,37N,-103S,70Avg,43Nf,-69Sf,56Avgf
2017:01:26_21h:07m:13s,36N,-103S,70Avg,44Nf,-69Sf,57Avgf
2017:02:05_21h:07m:13s,32N,-96S,64Avg,45Nf,-69Sf,57Avgf
2017:02:15_21h:07m:13s,35N,-94S,65Avg,45Nf,-69Sf,57Avgf
2017:02:25_21h:07m:13s,37N,-100S,68Avg,46Nf,-69Sf,58Avgf
2017:03:07_21h:07m:13s,40N,-105S,73Avg,47Nf,-69Sf,58Avgf
2017:03:17_21h:07m:13s,46N,-100S,73Avg,47Nf,-69Sf,58Avgf
2017:03:27_21h:07m:13s,44N,-95S,70Avg,48Nf,-70Sf,59Avgf
2017:04:06_21h:07m:13s,48N,-90S,69Avg,49Nf,-70Sf,59Avgf
2017:04:16_21h:07m:13s,41N,-86S,64Avg,49Nf,-70Sf,59Avgf
2017:04:26_21h:07m:13s,41N,-81S,61Avg,50Nf,-70Sf,60Avgf
2017:05:06_21h:07m:13s,38N,-81S,60Avg,50Nf,-70Sf,60Avgf
2017:05:16_21h:07m:13s,43N,-77S,60Avg,51Nf,-70Sf,60Avgf
2017:05:26_21h:07m:13s,49N,-71S,60Avg,51Nf,-70Sf,61Avgf
2017:06:05_21h:07m:13s,50N,-66S,58Avg,52Nf,-70Sf,61Avgf
2017:06:15_21h:07m:13s,55N,-63S,59Avg,52Nf,-71Sf,61Avgf
2017:06:25_21h:07m:13s,60N,-61S,60Avg,53Nf,-71Sf,62Avgf
2017:07:05_21h:07m:13s,63N,-57S,60Avg,53Nf,-71Sf,62Avgf
2017:07:15_21h:07m:13s,61N,-57S,59Avg,53Nf,-71Sf,62Avgf
2017:07:25_21h:07m:13s,55N,-58S,57Avg,54Nf,-71Sf,62Avgf
2017:08:04_21h:07m:13s,72N,-44S,58Avg,54Nf,-71Sf,63Avgf
2017:08:14_21h:07m:13s,71N,-47S,59Avg,54Nf,-71Sf,63Avgf
2017:08:24_21h:07m:13s,73N,-44S,58Avg,55Nf,-72Sf,63Avgf
2017:09:03_21h:07m:13s,71N,-44S,58Avg,55Nf,-72Sf,63Avgf
2017:09:13_21h:07m:13s,67N,-41S,54Avg,55Nf,-72Sf,63Avgf
2017:09:23_21h:07m:13s,68N,-47S,58Avg,56Nf,-72Sf,64Avgf
2017:10:03_21h:07m:13s,68N,-51S,60Avg,56Nf,-72Sf,64Avgf
2017:10:13_21h:07m:13s,73N,-56S,64Avg,56Nf,-72Sf,64Avgf
2017:10:23_21h:07m:13s,71N,-55S,63Avg,56Nf,-72Sf,64Avgf
2017:11:02_21h:07m:13s,69N,-56S,62Avg,57Nf,-72Sf,64Avgf
2017:11:12_21h:07m:13s,65N,-53S,59Avg,57Nf,-72Sf,64Avgf
2017:11:22_21h:07m:13s,58N,-74S,66Avg,57Nf,-72Sf,64Avgf
2017:12:02_21h:07m:13s,54N,-72S,63Avg,57Nf,-71Sf,64Avgf
2017:12:12_21h:07m:13s,53N,-72S,63Avg,57Nf,-71Sf,64Avgf
2017:12:22_21h:07m:13s,50N,-69S,60Avg,58Nf,-71Sf,64Avgf
2018:01:01_21h:07m:13s,53N,-76S,64Avg,58Nf,-71Sf,64Avgf
2018:01:11_21h:07m:13s,47N,-86S,66Avg,58Nf,-71Sf,64Avgf
2018:01:21_21h:07m:13s,36N,-88S,62Avg,58Nf,-71Sf,64Avgf
2018:01:31_21h:07m:13s,36N,-97S,67Avg,59Nf,-70Sf,64Avgf
2018:02:10_21h:07m:13s,35N,-103S,69Avg,59Nf,-70Sf,64Avgf
2018:02:20_21h:07m:13s,38N,-106S,72Avg,59Nf,-70Sf,64Avgf
2018:03:02_21h:07m:13s,36N,-106S,71Avg,59Nf,-70Sf,64Avgf
2018:03:12_21h:07m:13s,36N,-93S,64Avg,59Nf,-69Sf,64Avgf
