Date_Time,North_Pole_Field_Gauss,South_Pole_Field_Gauss,Average_Field_Gauss,North_Filtered_Gauss,South_Filtered_Gauss,Average_Filtered_Gauss
2004:04:14_21h:07m:13s,-34N,85S,-60Avg,-56Nf,70Sf,-63Avgf
2004:04:24_21h:07m:13s,-49N,82S,-65Avg,-56Nf,69Sf,-63Avgf
2004:05:04_21h:07m:13s,-45N,80S,-63Avg,-56Nf,68Sf,-62Avgf
2004:05:14_21h:07m:13s,-48N,82S,-65Avg,-56Nf,68Sf,-62Avgf
2004:05:24_21h:07m:13s,-53N,82S,-68Avg,-56Nf,67Sf,-62Avgf
2004:06:03_21h:07m:13s,-64N,71S,-67Avg,-56Nf,66Sf,-61Avgf
2004:06:13_21h:07m:13s,-68N,66S,-67Avg,-56Nf,65Sf,-61Avgf
2004:06:23_21h:07m:13s,-81N,53S,-67Avg,-56Nf,65Sf,-61Avgf
2004:07:03_21h:07m:13s,-83N,55S,-69Avg,-57Nf,64Sf,-60Avgf
2004:07:13_21h:07m:13s,-81N,45S,-63Avg,-57Nf,63Sf,-60Avgf
2004:07:23_21h:07m:13s,-80N,37S,-59Avg,-57Nf,62Sf,-59Avgf
2004:08:02_21h:07m:13s,-84N,24S,-54Avg,-56Nf,61Sf,-59Avgf
2004:08:12_21h:07m:13s,-80N,23S,-52Avg,-56Nf,61Sf,-59Avgf
2004:08:22_21h:07m:13s,-73N,23S,-48Avg,-56Nf,60Sf,-58Avgf
2004:09:01_21h:07m:13s,-72N,25S,-48Avg,-56Nf,59Sf,-58Avgf
2004:09:11_21h:07m:13s,-84N,25S,-55Avg,-56Nf,58Sf,-57Avgf
2004:09:21_21h:07m:13s,-85N,32S,-59Avg,-56Nf,58Sf,-57Avgf
2004:10:01_21h:07m:13s,-76N,35S,-56Avg,-56Nf,57Sf,-57Avgf
2004:10:11_21h:07m:13s,-71N,37S,-54Avg,-56Nf,57Sf,-56Avgf
2004:10:21_21h:07m:13s,-70N,35S,-52Avg,-56Nf,56Sf,-56Avgf
2004:10:31_21h:07m:13s,-76N,38S,-57Avg,-56Nf,56Sf,-56Avgf
2004:11:10_21h:07m:13s,-75N,39S,-57Avg,-56Nf,55Sf,-55Avgf
2004:11:20_21h:07m:13s,-58N,40S,-49Avg,-56Nf,55Sf,-55Avgf
2004:11:30_21h:07m:13s,-60N,41S,-50Avg,-55Nf,54Sf,-55Avgf
2004:12:10_21h:07m:13s,-55N,61S,-58Avg,-55Nf,54Sf,-55Avgf
2004:12:20_21h:07m:13s,-67N,66S,-67Avg,-55Nf,54Sf,-54Avgf
