Carr Rot,Start Date,R_av,R_n,R_s,L_av,L_n,L_s
CR 1719,1982-02-25 19h,31.4,31.4,-31.4,41.1,41.4,-40.9
CR 1720,1982-03-25 02h,38.9,36.2,-41.5,50.9,51.4,-50.5
CR 1721,1982-04-21 09h,41.5,35.2,-47.7,55.5,50.1,-60.9
CR 1722,1982-05-18 15h,44.9,42.7,-47.1,57.2,55.3,-59.1
CR 1723,1982-06-14 22h,48.9,46.3,-51.5,58.4,58.4,-58.4
CR 1724,1982-07-12 05h,47.8,47.5,-48.1,60.1,63,-57.1
CR 1725,1982-08-08 11h,49.1,47.2,-50.9,61.1,62.9,-59.2
CR 1726,1982-09-04 18h,46.7,46,-47.3,61.3,62.4,-60.2
CR 1727,1982-10-02 00h,34.7,37.1,-32.3,53.8,57.6,-49.9
CR 1728,1982-10-29 07h,28.2,31.9,-24.5,47.6,52.5,-42.8
CR 1729,1982-11-25 14h,24.3,26.3,-22.3,43.5,42.1,-45
CR 1730,1982-12-22 20h,26.1,23.3,-28.8,48.1,48.8,-47.3
CR 1731,1983-01-19 03h,32.9,33.9,-31.8,47.4,47.4,-47.5
CR 1732,1983-02-15 09h,28,29.7,-26.3,45.4,45,-45.8
CR 1733,1983-03-14 16h,27.4,31.7,-23.1,41.3,44.5,-38
CR 1734,1983-04-10 23h,33,35.3,-30.7,46.6,47.1,-46.2
CR 1735,1983-05-08 05h,31.2,30.8,-31.6,49.9,49.1,-50.6
CR 1736,1983-06-04 12h,24.3,20.4,-28.3,42.5,36.4,-48.5
CR 1737,1983-07-01 18h,25.1,22.2,-27.9,44.4,38.9,-50
CR 1738,1983-07-29 01h,25,23.8,-26.2,42.5,38.9,-46.1
CR 1739,1983-08-25 08h,23.4,18.7,-28,39.8,33.7,-45.9
CR 1740,1983-09-21 14h,21.8,19.6,-24,38.2,33.2,-43.2
CR 1741,1983-10-18 21h,18.2,15.7,-20.7,35.5,31.5,-39.5
CR 1742,1983-11-15 03h,20,18.4,-21.6,36.6,34.9,-38.4
CR 1743,1983-12-12 10h,15.7,14.8,-16.7,31.2,34.7,-27.8
CR 1744,1984-01-08 17h,17.4,13.1,-21.7,32.8,32.2,-33.5
CR 1745,1984-02-04 23h,20,13.8,-26.1,36.2,34,-38.4
CR 1746,1984-03-03 06h,23.8,21.9,-25.6,41.2,42,-40.3
